group,cell,condition,variant,window_count,valid_count,candidate_count,cluster_count,concentration,disagreement,unknown_mass,available
cea-08,joint,intact,0,14,13,1,1,0.92789013389951,0.07210986610048997,0.07210986610048997,1
cea-08,joint,intact,0,12,12,1,1,1.0,0.0,0.0,1
cea-08,joint,intact,0,10,8,1,1,0.7968548842185519,0.20314511578144812,0.20314511578144812,1
cea-08,joint,intact,0,8,8,1,1,1.0,0.0,0.0,1
cea-08,joint,intact,0,14,14,1,1,1.0,0.0,0.0,1
cea-08,joint,intact,0,14,14,1,1,1.0,0.0,0.0,1
cea-08,joint,intact,0,6,6,1,1,1.0,0.0,0.0,1
cea-08,joint,intact,1,14,12,1,1,0.8569623251624966,0.1430376748375034,0.1430376748375034,1
cea-08,joint,intact,1,12,12,1,1,1.0,0.0,0.0,1
cea-08,joint,intact,1,10,9,2,2,0.8120488680124768,0.18795113198752322,0.10157486939912819,1
cea-08,joint,intact,1,8,8,1,1,1.0,0.0,0.0,1
cea-08,joint,intact,1,14,13,1,1,0.92789013389951,0.07210986610048997,0.07210986610048997,1
cea-08,joint,intact,1,12,12,1,1,1.0,0.0,0.0,1
cea-08,joint,intact,1,10,8,1,1,0.7960816305481451,0.20391836945185493,0.20391836945185493,1
cea-08,joint,intact,1,6,6,1,1,1.0,0.0,0.0,1
cea-08,joint,intact,1,14,14,1,1,1.0,0.0,0.0,1
cea-08,joint,intact,1,14,14,1,1,1.0,0.0,0.0,1
cea-08,joint,intact,1,6,6,1,1,1.0,0.0,0.0,1
cea-08,joint,reset,0,14,14,1,1,1.0,0.0,0.0,1
cea-08,joint,reset,0,14,14,1,1,1.0,0.0,0.0,1
cea-08,joint,reset,0,6,6,1,1,1.0,0.0,0.0,1
cea-08,joint,reset,1,14,14,1,1,1.0,0.0,0.0,1
cea-08,joint,reset,1,14,14,1,1,1.0,0.0,0.0,1
cea-08,joint,reset,1,6,6,1,1,1.0,0.0,0.0,1
cea-08,joint,removal,0,14,12,1,1,0.8569623251624966,0.1430376748375034,0.1430376748375034,1
cea-08,joint,removal,0,12,12,1,1,1.0,0.0,0.0,1
cea-08,joint,removal,0,4,4,1,1,1.0,0.0,0.0,1
cea-08,joint,removal,0,14,13,1,1,0.92789013389951,0.07210986610048997,0.07210986610048997,1
cea-08,joint,removal,0,12,12,1,1,1.0,0.0,0.0,1
cea-08,joint,removal,0,4,4,1,1,1.0,0.0,0.0,1
cea-08,joint,removal,0,14,14,1,1,1.0,0.0,0.0,1
cea-08,joint,removal,0,14,14,1,1,1.0,0.0,0.0,1
cea-08,joint,removal,0,6,6,1,1,1.0,0.0,0.0,1
cea-08,joint,removal,1,14,12,1,1,0.8569623251624966,0.1430376748375034,0.1430376748375034,1
cea-08,joint,removal,1,12,12,1,1,1.0,0.0,0.0,1
cea-08,joint,removal,1,4,4,1,1,1.0,0.0,0.0,1
cea-08,joint,removal,1,14,13,1,1,0.92789013389951,0.07210986610048997,0.07210986610048997,1
cea-08,joint,removal,1,12,12,1,1,1.0,0.0,0.0,1
cea-08,joint,removal,1,4,4,1,1,1.0,0.0,0.0,1
cea-08,joint,removal,1,14,14,1,1,1.0,0.0,0.0,1
cea-08,joint,removal,1,14,14,1,1,1.0,0.0,0.0,1
cea-08,joint,removal,1,6,6,1,1,1.0,0.0,0.0,1
cea-08,joint,swap,0,14,12,1,1,0.8569623251624966,0.1430376748375034,0.1430376748375034,1
cea-08,joint,swap,0,12,12,1,1,1.0,0.0,0.0,1
cea-08,joint,swap,0,10,9,2,2,0.8120488680124768,0.18795113198752322,0.10157486939912819,1
cea-08,joint,swap,0,8,8,1,1,1.0,0.0,0.0,1
cea-08,joint,swap,0,14,13,1,1,0.92789013389951,0.07210986610048997,0.07210986610048997,1
cea-08,joint,swap,0,12,12,1,1,1.0,0.0,0.0,1
cea-08,joint,swap,0,10,8,1,1,0.7960816305481451,0.20391836945185493,0.20391836945185493,1
cea-08,joint,swap,0,6,6,1,1,1.0,0.0,0.0,1
cea-08,joint,swap,0,14,14,1,1,1.0,0.0,0.0,1
cea-08,joint,swap,0,14,14,1,1,1.0,0.0,0.0,1
cea-08,joint,swap,0,6,6,1,1,1.0,0.0,0.0,1
cea-08,joint,swap,1,14,12,1,1,0.8569623251624966,0.1430376748375034,0.1430376748375034,1
cea-08,joint,swap,1,12,12,1,1,1.0,0.0,0.0,1
cea-08,joint,swap,1,10,8,1,1,0.7998916296423463,0.20010837035765372,0.20010837035765372,1
cea-08,joint,swap,1,6,6,1,1,1.0,0.0,0.0,1
cea-08,joint,swap,1,14,13,1,1,0.92789013389951,0.07210986610048997,0.07210986610048997,1
cea-08,joint,swap,1,12,12,1,1,1.0,0.0,0.0,1
cea-08,joint,swap,1,10,8,1,1,0.7968548842185519,0.20314511578144812,0.20314511578144812,1
cea-08,joint,swap,1,8,8,1,1,1.0,0.0,0.0,1
cea-08,joint,swap,1,14,14,1,1,1.0,0.0,0.0,1
cea-08,joint,swap,1,14,14,1,1,1.0,0.0,0.0,1
cea-08,joint,swap,1,6,6,1,1,1.0,0.0,0.0,1
cea-08,joint,shuffle,0,14,12,1,1,0.8569623251624966,0.1430376748375034,0.1430376748375034,1
cea-08,joint,shuffle,0,14,12,1,1,0.8571032532646846,0.14289674673531538,0.14289674673531538,1
cea-08,joint,shuffle,0,8,7,1,1,0.873071231865653,0.12692876813434695,0.12692876813434695,1
cea-08,joint,shuffle,0,8,8,1,1,1.0,0.0,0.0,1
cea-08,joint,shuffle,0,14,13,1,1,0.9279040412761003,0.07209595872389973,0.07209595872389973,1
cea-08,joint,shuffle,0,12,12,1,1,1.0,0.0,0.0,1
cea-08,joint,shuffle,0,10,8,1,1,0.7960816305481451,0.20391836945185493,0.20391836945185493,1
cea-08,joint,shuffle,0,6,6,1,1,1.0,0.0,0.0,1
cea-08,joint,shuffle,0,14,14,1,1,1.0,0.0,0.0,1
cea-08,joint,shuffle,0,14,14,1,1,1.0,0.0,0.0,1
cea-08,joint,shuffle,0,6,6,1,1,1.0,0.0,0.0,1
cea-08,joint,shuffle,1,14,12,1,1,0.8569623251624966,0.1430376748375034,0.1430376748375034,1
cea-08,joint,shuffle,1,14,12,1,1,0.8571032532646846,0.14289674673531538,0.14289674673531538,1
cea-08,joint,shuffle,1,8,6,1,1,0.7498709293233563,0.2501290706766437,0.2501290706766437,1
cea-08,joint,shuffle,1,6,6,1,1,1.0,0.0,0.0,1
cea-08,joint,shuffle,1,14,13,1,1,0.9279040412761003,0.07209595872389973,0.07209595872389973,1
cea-08,joint,shuffle,1,12,12,1,1,1.0,0.0,0.0,1
cea-08,joint,shuffle,1,10,8,1,1,0.7968548842185519,0.20314511578144812,0.20314511578144812,1
cea-08,joint,shuffle,1,8,8,1,1,1.0,0.0,0.0,1
cea-08,joint,shuffle,1,14,14,1,1,1.0,0.0,0.0,1
cea-08,joint,shuffle,1,14,14,1,1,1.0,0.0,0.0,1
cea-08,joint,shuffle,1,6,6,1,1,1.0,0.0,0.0,1
cea-08,joint,ambiguous,0,14,12,1,1,0.8569623251624966,0.1430376748375034,0.1430376748375034,1
cea-08,joint,ambiguous,0,12,12,1,1,1.0,0.0,0.0,1
cea-08,joint,ambiguous,0,10,8,1,1,0.7998916296423463,0.20010837035765372,0.20010837035765372,1
cea-08,joint,ambiguous,0,6,6,1,1,1.0,0.0,0.0,1
cea-08,joint,ambiguous,0,14,13,1,1,0.9279040412761003,0.07209595872389973,0.07209595872389973,1
cea-08,joint,ambiguous,0,12,12,1,1,1.0,0.0,0.0,1
cea-08,joint,ambiguous,0,10,8,1,1,0.7968548842185519,0.20314511578144812,0.20314511578144812,1
cea-08,joint,ambiguous,0,8,8,1,1,1.0,0.0,0.0,1
cea-08,joint,ambiguous,0,14,14,1,1,1.0,0.0,0.0,1
cea-08,joint,ambiguous,0,14,14,1,1,1.0,0.0,0.0,1
cea-08,joint,ambiguous,0,6,6,1,1,1.0,0.0,0.0,1
cea-08,joint,ambiguous,1,14,12,1,1,0.8569623251624966,0.1430376748375034,0.1430376748375034,1
cea-08,joint,ambiguous,1,12,12,1,1,1.0,0.0,0.0,1
cea-08,joint,ambiguous,1,10,8,1,1,0.7998916296423463,0.20010837035765372,0.20010837035765372,1
cea-08,joint,ambiguous,1,6,6,1,1,1.0,0.0,0.0,1
cea-08,joint,ambiguous,1,14,13,1,1,0.9279040412761003,0.07209595872389973,0.07209595872389973,1
cea-08,joint,ambiguous,1,12,12,1,1,1.0,0.0,0.0,1
cea-08,joint,ambiguous,1,10,8,1,1,0.7968548842185519,0.20314511578144812,0.20314511578144812,1
cea-08,joint,ambiguous,1,8,8,1,1,1.0,0.0,0.0,1
cea-08,joint,ambiguous,1,14,14,1,1,1.0,0.0,0.0,1
cea-08,joint,ambiguous,1,14,14,1,1,1.0,0.0,0.0,1
cea-08,joint,ambiguous,1,6,6,1,1,1.0,0.0,0.0,1
cea-09,detached,intact,0,12,12,1,1,1.0,0.0,0.0,1
cea-09,detached,intact,0,12,12,1,1,1.0,0.0,0.0,1
cea-09,detached,intact,0,10,10,1,1,1.0,0.0,0.0,1
cea-09,detached,intact,0,12,12,1,1,1.0,0.0,0.0,1
cea-09,detached,intact,0,12,12,1,1,1.0,0.0,0.0,1
cea-09,detached,intact,0,12,12,1,1,1.0,0.0,0.0,1
cea-09,detached,intact,0,10,10,1,1,1.0,0.0,0.0,1
cea-09,detached,intact,0,10,10,1,1,1.0,0.0,0.0,1
cea-09,detached,intact,0,12,12,1,1,1.0,0.0,0.0,1
cea-09,detached,intact,0,12,12,1,1,1.0,0.0,0.0,1
cea-09,detached,intact,0,10,10,1,1,1.0,0.0,0.0,1
cea-09,detached,intact,1,12,12,1,1,1.0,0.0,0.0,1
cea-09,detached,intact,1,12,12,1,1,1.0,0.0,0.0,1
cea-09,detached,intact,1,10,10,1,1,1.0,0.0,0.0,1
cea-09,detached,intact,1,10,10,1,1,1.0,0.0,0.0,1
cea-09,detached,intact,1,12,12,1,1,1.0,0.0,0.0,1
cea-09,detached,intact,1,12,12,1,1,1.0,0.0,0.0,1
cea-09,detached,intact,1,10,10,1,1,1.0,0.0,0.0,1
cea-09,detached,intact,1,12,12,1,1,1.0,0.0,0.0,1
cea-09,detached,intact,1,12,12,1,1,1.0,0.0,0.0,1
cea-09,detached,intact,1,12,12,1,1,1.0,0.0,0.0,1
cea-09,detached,intact,1,10,10,1,1,1.0,0.0,0.0,1
cea-09,legato,intact,0,12,12,1,1,1.0,0.0,0.0,1
cea-09,legato,intact,0,12,12,1,1,1.0,0.0,0.0,1
cea-09,legato,intact,0,12,12,1,1,1.0,0.0,0.0,1
cea-09,legato,intact,0,12,12,1,1,1.0,0.0,0.0,1
cea-09,legato,intact,0,10,10,1,1,1.0,0.0,0.0,1
cea-09,legato,intact,0,14,14,1,1,1.0,0.0,0.0,1
cea-09,legato,intact,0,10,10,1,1,1.0,0.0,0.0,1
cea-09,legato,intact,0,10,10,1,1,1.0,0.0,0.0,1
cea-09,legato,intact,0,10,10,1,1,1.0,0.0,0.0,1
cea-09,legato,intact,0,14,14,1,1,1.0,0.0,0.0,1
cea-09,legato,intact,0,10,10,1,1,1.0,0.0,0.0,1
cea-09,legato,intact,1,12,12,1,1,1.0,0.0,0.0,1
cea-09,legato,intact,1,12,12,1,1,1.0,0.0,0.0,1
cea-09,legato,intact,1,12,11,1,1,0.9157469303500256,0.08425306964997437,0.08425306964997437,1
cea-09,legato,intact,1,10,10,1,1,1.0,0.0,0.0,1
cea-09,legato,intact,1,10,10,1,1,1.0,0.0,0.0,1
cea-09,legato,intact,1,14,14,1,1,1.0,0.0,0.0,1
cea-09,legato,intact,1,10,10,1,1,1.0,0.0,0.0,1
cea-09,legato,intact,1,12,12,1,1,1.0,0.0,0.0,1
cea-09,legato,intact,1,10,10,1,1,1.0,0.0,0.0,1
cea-09,legato,intact,1,14,14,1,1,1.0,0.0,0.0,1
cea-09,legato,intact,1,10,10,1,1,1.0,0.0,0.0,1
cea-09,duration,intact,0,14,12,1,1,0.8569655873809249,0.14303441261907512,0.14303441261907512,1
cea-09,duration,intact,0,14,13,2,2,0.8631466444428468,0.13685335555715317,0.07196068706724745,1
cea-09,duration,intact,0,6,6,1,1,1.0,0.0,0.0,1
cea-09,duration,intact,0,14,14,1,1,1.0,0.0,0.0,1
cea-09,duration,intact,0,16,14,1,1,0.8740919569511182,0.1259080430488818,0.1259080430488818,1
cea-09,duration,intact,0,12,12,1,1,1.0,0.0,0.0,1
