group,window_count,valid_count,candidate_count,cluster_count,concentration,disagreement,unknown_mass,available
cea-08,10.730337078651685,10.241573033707866,1.050561797752809,1.050561797752809,0.9541801825587816,0.04581981744121855,0.042049841614244486,1.0
cea-09,11.955056179775282,11.646067415730338,1.0561797752808988,1.0561797752808988,0.9751525356945341,0.02484746430546592,0.021234864462519643,1.0
cea-10,12.157303370786517,11.92134831460674,1.1348314606741574,1.1348314606741574,0.9739029052038736,0.026097094796126413,0.017617317862997913,1.0
cea-11,11.221052631578948,11.16842105263158,0.9368421052631579,0.9368421052631579,0.9335149401602653,0.06648505983973473,0.06648505983973473,0.9368421052631579
cea-12,10.808988764044944,10.224719101123595,1.0112359550561798,1.0224719101123596,0.9271593281303923,0.07003187155046431,0.0707528800864305,0.9213483146067416
cea-13,11.97752808988764,11.601123595505618,1.0730337078651686,1.0730337078651686,0.9642346012637251,0.03576539873627506,0.029882276894177436,1.0
cea-14,12.191011235955056,11.9438202247191,1.0561797752808988,1.0561797752808988,0.9815732136125763,0.018426786387423785,0.015339451353161806,1.0
cea-15,14.926829268292684,14.853658536585366,1.2134146341463414,1.3170731707317074,0.9426894112724293,0.05731058872757062,0.013594337274668926,0.9512195121951219
