front,group,cell,condition,variant,true_events,predicted_events,matched_events,bounded_matches,precision,recall,f1,split_count,merge_count,split_rate,merge_rate,pitch_accuracy,pitch_availability,mean_pitch_error_available,octave_error_rate,mean_onset_error_s,mean_end_error_s,max_true_end_latency_s,max_inferred_end_latency_s
map,cea-15,detached,intact,0,11,10,9,9,0.9,0.8181818181818182,0.8571428571428571,0,1,0.0,0.09090909090909091,0.8181818181818182,0.8181818181818182,0.0012995288961706012,0.0,0.006430555555555556,0.005666666666666667,0.1119375,0.104
mixture,cea-15,detached,intact,0,11,10,9,9,0.9,0.8181818181818182,0.8571428571428571,0,1,0.0,0.09090909090909091,0.8181818181818182,0.8181818181818182,0.0012995288961706012,0.0,0.006430555555555556,0.005666666666666667,0.1119375,0.104
repaired,cea-15,detached,intact,0,11,10,9,9,0.9,0.8181818181818182,0.8571428571428571,0,1,0.0,0.09090909090909091,0.8181818181818182,0.8181818181818182,0.0018782556007930712,0.0,0.006430555555555556,0.005666666666666667,0.1119375,0.104
streaming,cea-15,detached,intact,0,11,10,9,9,0.9,0.8181818181818182,0.8571428571428571,0,1,0.0,0.09090909090909091,0.8181818181818182,0.8181818181818182,0.07051361647216108,0.0,0.006430555555555556,0.005666666666666667,0.1119375,0.104
fixed,cea-15,detached,intact,0,11,18,9,3,0.16666666666666666,0.2727272727272727,0.20689655172413793,10,4,0.9090909090909091,0.36363636363636365,0.8181818181818182,0.8181818181818182,0.015234235355409156,0.0,0.015916666666666666,0.0180625,0.0040625,0.0
oracle-boundary,cea-15,detached,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.003261397497314598,0.0,0.0,0.0,0.063875,0.063875
map,cea-15,detached,intact,1,11,10,9,9,0.9,0.8181818181818182,0.8571428571428571,0,1,0.0,0.09090909090909091,0.8181818181818182,0.8181818181818182,0.0013106207909976161,0.0,0.006430555555555556,0.005666666666666667,0.103125,0.096
mixture,cea-15,detached,intact,1,11,10,9,9,0.9,0.8181818181818182,0.8571428571428571,0,1,0.0,0.09090909090909091,0.8181818181818182,0.8181818181818182,0.0013106207909976161,0.0,0.006430555555555556,0.005666666666666667,0.103125,0.096
repaired,cea-15,detached,intact,1,11,10,9,9,0.9,0.8181818181818182,0.8571428571428571,0,1,0.0,0.09090909090909091,0.8181818181818182,0.8181818181818182,0.0019068270711272027,0.0,0.006430555555555556,0.005666666666666667,0.103125,0.096
streaming,cea-15,detached,intact,1,11,10,9,9,0.9,0.8181818181818182,0.8571428571428571,0,1,0.0,0.09090909090909091,0.8181818181818182,0.8181818181818182,0.08047796926986767,0.0,0.006430555555555556,0.005666666666666667,0.103125,0.096
