front,group,precision,recall,f1,split_rate,merge_rate,pitch_accuracy,pitch_availability,octave_error_rate,mean_pitch_error_available,mean_onset_error_s,mean_end_error_s,max_true_end_latency_s,max_inferred_end_latency_s
map,cea-08,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0014147962150039802,0.008954475308641973,0.010131383277216612,0.10075,0.104
map,cea-09,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0027037326834864353,0.007459175084175084,0.009477413019079688,0.1164375,0.104
map,cea-10,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0036346588886625153,0.009732112794612795,0.009318532547699217,0.1156875,0.104
map,cea-11,0.9444444444444444,1.0,0.9710144927536231,0.0,0.0,1.0,1.0,0.0,0.004420599653601686,0.007773989898989899,0.00840242704826038,0.1149375,0.104
map,cea-12,1.0,1.0,1.0,0.0,0.0,0.9292929292929293,0.9292929292929293,0.0,0.006060093766951826,0.009781074635241301,0.010897446689113355,0.0955,0.1
map,cea-13,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.00366512920871573,0.008284511784511783,0.010057800224466892,0.1134375,0.104
map,cea-14,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0017748889505106035,0.009029952300785633,0.008904531425364761,0.1126875,0.104
map,cea-15,0.9194444444444445,0.8540965207631874,0.8851540616246498,0.0,0.07295173961840629,0.8591470258136925,0.8591470258136925,0.0,0.004367790105117714,0.009205551046176048,0.009243149751483085,0.12025,0.104
mixture,cea-08,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0014147962150039802,0.008954475308641973,0.010131383277216612,0.10075,0.104
mixture,cea-09,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0027037326834864353,0.007459175084175084,0.009477413019079688,0.1164375,0.104
mixture,cea-10,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0036346588886625153,0.009732112794612795,0.009318532547699217,0.1156875,0.104
