stratum,group_id,length,family,query_n,group_n,max_pair_n,available_pair_n,queries_all_max_pairs_available,queries_with_tied_exact_absent_maxima,queries_any_alternate_reference_max,pairs_all_12_equal,queries_any_all_12_equal,queries_all_all_12_equal,pairs_only_cost_timing_differ,queries_any_only_cost_timing_differ,queries_all_only_cost_timing_differ,pairs_other_differences,queries_any_other_differences,queries_all_other_differences,pairs_unavailable,queries_any_unavailable,queries_all_unavailable,outcome_true_singleton,outcome_wrong_singleton,outcome_multiple_candidates,outcome_none,queries_any_ten_equal,queries_all_ten_equal,absent_false_accept_queries,true_vs_absent_max_score_near_queries,queries_with_extra_score_near_maxima,true_margin_min,true_margin_median,true_margin_max,absent_margin_min,absent_margin_median,absent_margin_max,true_minus_absent_max_min,true_minus_absent_max_median,true_minus_absent_max_max
group_id,e08,,,36,1,54,54,36,5,9,21,4,4,19,19,19,14,13,13,0,0,0,8,0,0,28,23,23,0,4,6,-4.946186154860261,-0.3812589798622623,2.382312863856603,-8.712273583901114,-3.661459074651185,-0.1259876330312455,-0.00015553590628591962,0.0002410806695980483,7.479388488107336
group_id,e09,,,36,1,36,36,36,0,0,0,0,0,1,1,1,35,35,35,0,0,0,18,0,0,18,1,1,0,0,0,-2.8919188386936554,-0.2083671819039088,1.6693163903768156,-8.286434341141607,-4.671389152579163,-2.1533829106917093,0.0003500134958756007,4.671139180547408,5.395085317516261
group_id,e10,,,36,1,36,36,36,0,0,0,0,0,0,0,0,36,36,36,0,0,0,8,0,0,28,0,0,0,0,0,-2.179623835835672,-0.2702849755566419,1.1367723002663563,-7.5757599698210445,-3.6415340849566964,-2.0067695951541484,0.00046050298017874525,3.1591228794375716,6.904933256371649
group_id,e11,,,36,1,36,36,36,0,0,0,0,0,0,0,0,36,36,36,0,0,0,8,0,0,28,0,0,0,0,0,-1.895042713303802,-0.41351562110091233,0.7115440566763187,-6.506275340515631,-4.330081437074371,-2.181396829092396,1.8080029640483435,3.404894031989057,5.041563977554482
group_id,e12,,,36,1,46,46,36,4,5,12,3,3,9,9,9,25,24,24,0,0,0,8,0,0,28,12,12,0,4,7,-4.946186356287848,-0.3812589798622623,2.382312863856603,-8.712394152404347,-3.891906579072457,-0.12614316887572663,-2.102291603218907,4.218942499311509,7.479147428991735
group_id,e13,,,36,1,36,36,36,0,0,0,0,0,1,1,1,35,35,35,0,0,0,17,0,0,19,1,1,0,0,6,-2.891920717814262,-0.2083672018770315,1.6693163903768156,-8.304513370548623,-4.880125599710219,-2.153382910756905,0.00035001356107144943,4.671865172733957,5.785654846217758
group_id,e14,,,36,1,36,36,36,0,0,1,1,1,20,20,20,15,15,15,0,0,0,8,0,0,28,21,21,0,1,0,-2.1796224498537224,-0.2702850971340638,1.1367723002663563,-4.286350949422047,-2.0067710528660365,-0.11403922531689936,-3.220661918490464e-06,0.00023325422841224963,3.615527015507528
group_id,e15,,,36,1,36,36,36,0,0,0,0,0,0,0,0,36,36,36,0,0,0,8,0,0,28,0,0,0,0,0,-1.8950425994496651,-0.41351552644850287,0.7115440566763187,-7.721588595025264,-5.65584624219504,-4.161951768178606,2.8795916362772287,5.367498173947498,5.826545995575599
group_id,e16,,,36,1,49,49,36,5,20,14,4,4,10,10,10,25,22,22,0,0,0,8,0,0,28,14,14,0,4,0,-4.946186112227343,-0.38125932480148705,2.382312863856603,-8.712895235700543,-3.891990221544117,-0.1259876330312455,-0.0001562257847353976,3.615808641068158,6.274340310392351
group_id,e17,,,36,1,36,36,36,0,0,0,0,0,0,0,0,36,36,36,0,0,0,17,0,0,19,0,0,0,0,0,-2.891918731290078,-0.20836754632733445,1.6693163903768156,-10.350452064130181,-5.088530846462233,-2.5191658706357156,3.863310563068003,4.671586999611645,9.609636516644636
group_id,e18,,,36,1,36,36,36,0,0,0,0,0,0,0,0,36,36,36,0,0,0,8,0,0,28,0,0,0,0,0,-2.1796220114939917,-0.27028509709061677,1.1367723002663563,-8.33733764006164,-5.165832778413922,-2.0067698369248657,2.953854079616276,3.7489148587090932,6.904933248128449
group_id,e19,,,36,1,36,36,36,0,0,0,0,0,0,0,0,36,36,36,0,0,0,8,0,0,28,0,0,0,0,0,-1.8950427294213181,-0.41351552647428047,0.7115440566763187,-7.721588738161671,-5.65584624211855,-4.161951768178606,2.8795916362772287,5.367498173947498,5.826546008740353
group_id,e20,,,36,1,51,51,36,4,14,19,4,4,20,20,20,12,12,12,0,0,0,8,0,0,28,24,24,0,4,0,-4.946186384594724,-0.38125932480148705,2.382312863856603,-6.2278342011825085,-3.6614955440419825,-0.1259876330312455,-0.0001562257847353976,0.0004977148359244232,6.274338809569528
group_id,e21,,,36,1,36,36,36,0,0,1,1,1,12,12,12,23,23,23,0,0,0,16,0,0,20,13,13,0,1,0,-2.8919187304060987,-0.20836762768925876,1.6693163903768156,-8.286784236335855,-2.519255096291065,-1.2761520000736937e-06,0.0,4.188488912966331,5.395085317516261
