front,group,cell,condition,variant,true_events,predicted_events,matched_events,bounded_matches,precision,recall,f1,split_count,merge_count,split_rate,merge_rate,pitch_accuracy,pitch_availability,mean_pitch_error_available,octave_error_rate,mean_onset_error_s,mean_end_error_s,max_true_end_latency_s,max_inferred_end_latency_s
fixed,civ-32,detached,intact,0,11,16,10,1,0.0625,0.09090909090909091,0.07407407407407407,6,1,0.5454545454545454,0.09090909090909091,0.9090909090909091,0.9090909090909091,0.06011485288862228,0.0,0.024081250000000002,0.01693125,0.0104375,0.0
oracle-boundary,civ-32,detached,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00975649818053908,0.0,0.0,0.0,0.041,0.041
streaming,civ-32,detached,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.03355786927640398,0.0,0.006261363636363637,0.0073465909090909085,0.0991875,0.104
fixed,civ-32,detached,intact,1,11,16,10,1,0.0625,0.09090909090909091,0.07407407407407407,6,1,0.5454545454545454,0.09090909090909091,0.9090909090909091,0.9090909090909091,0.04988531284636839,0.0,0.024081250000000002,0.01693125,0.0104375,0.0
oracle-boundary,civ-32,detached,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00975649818053908,0.0,0.0,0.0,0.041,0.041
streaming,civ-32,legato,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.8181818181818182,0.8181818181818182,0.05710209943118042,0.0,0.006181818181818182,0.0073465909090909085,0.102375,0.104
fixed,civ-32,legato,intact,0,11,16,9,1,0.0625,0.09090909090909091,0.07407407407407407,7,1,0.6363636363636364,0.09090909090909091,0.6363636363636364,0.8181818181818182,1.4250606371817804,0.09090909090909091,0.022555555555555558,0.01818055555555555,0.0104375,0.0
oracle-boundary,civ-32,legato,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,3.326723519294437e-05,0.0,0.0,0.0,0.041,0.041
streaming,civ-32,legato,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.8181818181818182,0.8181818181818182,0.05700110509442841,0.0,0.006181818181818182,0.007130681818181817,0.102375,0.104
fixed,civ-32,legato,intact,1,11,16,9,1,0.0625,0.09090909090909091,0.07407407407407407,6,1,0.5454545454545454,0.09090909090909091,0.7272727272727273,0.8181818181818182,0.09928787860467435,0.0,0.02220138888888889,0.017826388888888888,0.0104375,0.0
oracle-boundary,civ-32,legato,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,3.326723519294437e-05,0.0,0.0,0.0,0.041,0.041
streaming,civ-32,duration,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.9090909090909091,1.0,0.1172537951410785,0.0,0.0069375,0.0075340909090909096,0.095375,0.096
fixed,civ-32,duration,intact,0,11,18,9,1,0.05555555555555555,0.09090909090909091,0.06896551724137931,9,1,0.8181818181818182,0.09090909090909091,0.8181818181818182,0.8181818181818182,0.03974601659957279,0.0,0.019347222222222224,0.02034722222222222,0.008125,0.0
