model,group,cell,condition,variant,accuracy,log_loss,brier
repaired_absolute,for-08,duration,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired_present,for-08,duration,intact,1,0.0,0.9817763680502767,0.5626252924999999
repaired_recency,for-08,duration,intact,1,0.0,6.907755278982137,1.90245
repaired_reference,for-08,duration,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired_transition1,for-08,duration,intact,1,0.0,0.69410764165507,0.50000048
repaired_transition2,for-08,duration,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired_transition3,for-08,duration,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
old_absolute,for-08,joint,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
old_present,for-08,joint,intact,0,1.0,0.9817763680502767,0.5626252924999999
old_recency,for-08,joint,intact,0,0.0,6.907755278982137,1.90245
old_reference,for-08,joint,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
old_transition1,for-08,joint,intact,0,1.0,0.69410764165507,0.50000048
old_transition2,for-08,joint,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
old_transition3,for-08,joint,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired_absolute,for-08,joint,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired_present,for-08,joint,intact,0,1.0,0.9817763680502767,0.5626252924999999
repaired_recency,for-08,joint,intact,0,0.0,6.907755278982137,1.90245
repaired_reference,for-08,joint,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired_transition1,for-08,joint,intact,0,1.0,0.69410764165507,0.50000048
repaired_transition2,for-08,joint,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired_transition3,for-08,joint,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
old_absolute,for-08,joint,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
old_present,for-08,joint,intact,1,0.0,0.9817763680502767,0.5626252924999999
old_recency,for-08,joint,intact,1,0.0,6.907755278982137,1.90245
old_reference,for-08,joint,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
old_transition1,for-08,joint,intact,1,0.0,0.69410764165507,0.50000048
old_transition2,for-08,joint,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
old_transition3,for-08,joint,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired_absolute,for-08,joint,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired_present,for-08,joint,intact,1,0.0,0.9817763680502767,0.5626252924999999
repaired_recency,for-08,joint,intact,1,0.0,6.907755278982137,1.90245
repaired_reference,for-08,joint,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired_transition1,for-08,joint,intact,1,0.0,0.69410764165507,0.50000048
repaired_transition2,for-08,joint,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired_transition3,for-08,joint,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
old_absolute,for-08,joint,reset,0,1.0,0.9817763680502767,0.5626252924999999
old_present,for-08,joint,reset,0,1.0,0.9817763680502767,0.5626252924999999
old_recency,for-08,joint,reset,0,1.0,1.0293194621721604,0.5694812499999999
old_reference,for-08,joint,reset,0,1.0,0.9817763680502767,0.5626252924999999
old_transition1,for-08,joint,reset,0,1.0,0.9817763680502767,0.5626252924999999
old_transition2,for-08,joint,reset,0,1.0,0.9817763680502767,0.5626252924999999
old_transition3,for-08,joint,reset,0,1.0,0.9817763680502767,0.5626252924999999
repaired_absolute,for-08,joint,reset,0,1.0,0.9817763680502767,0.5626252924999999
repaired_present,for-08,joint,reset,0,1.0,0.9817763680502767,0.5626252924999999
repaired_recency,for-08,joint,reset,0,1.0,1.0293194621721604,0.5694812499999999
repaired_reference,for-08,joint,reset,0,1.0,0.9817763680502767,0.5626252924999999
repaired_transition1,for-08,joint,reset,0,1.0,0.9817763680502767,0.5626252924999999
repaired_transition2,for-08,joint,reset,0,1.0,0.9817763680502767,0.5626252924999999
repaired_transition3,for-08,joint,reset,0,1.0,0.9817763680502767,0.5626252924999999
old_absolute,for-08,joint,reset,1,0.0,0.9817763680502767,0.5626252924999999
old_present,for-08,joint,reset,1,0.0,0.9817763680502767,0.5626252924999999
old_recency,for-08,joint,reset,1,0.0,1.0293194621721604,0.5694812499999999
old_reference,for-08,joint,reset,1,0.0,0.9817763680502767,0.5626252924999999
old_transition1,for-08,joint,reset,1,0.0,0.9817763680502767,0.5626252924999999
old_transition2,for-08,joint,reset,1,0.0,0.9817763680502767,0.5626252924999999
old_transition3,for-08,joint,reset,1,0.0,0.9817763680502767,0.5626252924999999
repaired_absolute,for-08,joint,reset,1,0.0,0.9817763680502767,0.5626252924999999
repaired_present,for-08,joint,reset,1,0.0,0.9817763680502767,0.5626252924999999
repaired_recency,for-08,joint,reset,1,0.0,1.0293194621721604,0.5694812499999999
repaired_reference,for-08,joint,reset,1,0.0,0.9817763680502767,0.5626252924999999
repaired_transition1,for-08,joint,reset,1,0.0,0.9817763680502767,0.5626252924999999
repaired_transition2,for-08,joint,reset,1,0.0,0.9817763680502767,0.5626252924999999
repaired_transition3,for-08,joint,reset,1,0.0,0.9817763680502767,0.5626252924999999
old_absolute,for-08,joint,removal,0,1.0,0.9817763680502767,0.5626252924999999
old_present,for-08,joint,removal,0,1.0,0.9817763680502767,0.5626252924999999
old_recency,for-08,joint,removal,0,1.0,1.0293194621721604,0.5694812499999999
old_reference,for-08,joint,removal,0,1.0,0.9817763680502767,0.5626252924999999
old_transition1,for-08,joint,removal,0,1.0,0.9817763680502767,0.5626252924999999
old_transition2,for-08,joint,removal,0,1.0,0.9817763680502767,0.5626252924999999
old_transition3,for-08,joint,removal,0,1.0,0.9817763680502767,0.5626252924999999
repaired_absolute,for-08,joint,removal,0,1.0,0.9817763680502767,0.5626252924999999
repaired_present,for-08,joint,removal,0,1.0,0.9817763680502767,0.5626252924999999
repaired_recency,for-08,joint,removal,0,1.0,1.0293194621721604,0.5694812499999999
repaired_reference,for-08,joint,removal,0,1.0,0.9817763680502767,0.5626252924999999
repaired_transition1,for-08,joint,removal,0,1.0,0.9817763680502767,0.5626252924999999
repaired_transition2,for-08,joint,removal,0,1.0,0.9817763680502767,0.5626252924999999
repaired_transition3,for-08,joint,removal,0,1.0,0.9817763680502767,0.5626252924999999
old_absolute,for-08,joint,removal,1,0.0,0.9817763680502767,0.5626252924999999
old_present,for-08,joint,removal,1,0.0,0.9817763680502767,0.5626252924999999
old_recency,for-08,joint,removal,1,0.0,1.0293194621721604,0.5694812499999999
old_reference,for-08,joint,removal,1,0.0,0.9817763680502767,0.5626252924999999
old_transition1,for-08,joint,removal,1,0.0,0.9817763680502767,0.5626252924999999
old_transition2,for-08,joint,removal,1,0.0,0.9817763680502767,0.5626252924999999
old_transition3,for-08,joint,removal,1,0.0,0.9817763680502767,0.5626252924999999
repaired_absolute,for-08,joint,removal,1,0.0,0.9817763680502767,0.5626252924999999
repaired_present,for-08,joint,removal,1,0.0,0.9817763680502767,0.5626252924999999
repaired_recency,for-08,joint,removal,1,0.0,1.0293194621721604,0.5694812499999999
repaired_reference,for-08,joint,removal,1,0.0,0.9817763680502767,0.5626252924999999
repaired_transition1,for-08,joint,removal,1,0.0,0.9817763680502767,0.5626252924999999
repaired_transition2,for-08,joint,removal,1,0.0,0.9817763680502767,0.5626252924999999
repaired_transition3,for-08,joint,removal,1,0.0,0.9817763680502767,0.5626252924999999
old_absolute,for-08,joint,swap,0,1.0,0.0009804805139614205,9.800000000392828e-07
old_present,for-08,joint,swap,0,0.0,0.9817763680502767,0.5626252924999999
old_recency,for-08,joint,swap,0,0.0,6.907755278982137,1.90245
old_reference,for-08,joint,swap,0,1.0,0.0009804805139614205,9.800000000392828e-07
old_transition1,for-08,joint,swap,0,0.0,0.69410764165507,0.50000048
old_transition2,for-08,joint,swap,0,1.0,0.0009804805139614205,9.800000000392828e-07
old_transition3,for-08,joint,swap,0,1.0,0.0009804805139614205,9.800000000392828e-07
repaired_absolute,for-08,joint,swap,0,1.0,0.0009804805139614205,9.800000000392828e-07
repaired_present,for-08,joint,swap,0,0.0,0.9817763680502767,0.5626252924999999
repaired_recency,for-08,joint,swap,0,0.0,6.907755278982137,1.90245
repaired_reference,for-08,joint,swap,0,1.0,0.0009804805139614205,9.800000000392828e-07
repaired_transition1,for-08,joint,swap,0,0.0,0.69410764165507,0.50000048
repaired_transition2,for-08,joint,swap,0,1.0,0.0009804805139614205,9.800000000392828e-07
repaired_transition3,for-08,joint,swap,0,1.0,0.0009804805139614205,9.800000000392828e-07
old_absolute,for-08,joint,swap,1,1.0,0.0009804805139616427,9.800000000392828e-07
old_present,for-08,joint,swap,1,1.0,0.9817763680502767,0.5626252924999999
old_recency,for-08,joint,swap,1,0.0,6.907755278982137,1.90245
old_reference,for-08,joint,swap,1,1.0,0.0009804805139616427,9.800000000392828e-07
old_transition1,for-08,joint,swap,1,1.0,0.69410764165507,0.50000048
old_transition2,for-08,joint,swap,1,1.0,0.0009804805139616427,9.800000000392828e-07
old_transition3,for-08,joint,swap,1,1.0,0.0009804805139616427,9.800000000392828e-07
repaired_absolute,for-08,joint,swap,1,1.0,0.0009804805139616427,9.800000000392828e-07
repaired_present,for-08,joint,swap,1,1.0,0.9817763680502767,0.5626252924999999
repaired_recency,for-08,joint,swap,1,0.0,6.907755278982137,1.90245
repaired_reference,for-08,joint,swap,1,1.0,0.0009804805139616427,9.800000000392828e-07
repaired_transition1,for-08,joint,swap,1,1.0,0.69410764165507,0.50000048
repaired_transition2,for-08,joint,swap,1,1.0,0.0009804805139616427,9.800000000392828e-07
repaired_transition3,for-08,joint,swap,1,1.0,0.0009804805139616427,9.800000000392828e-07
old_absolute,for-08,joint,shuffle,0,1.0,0.0009804805139616427,9.800000000392828e-07
old_present,for-08,joint,shuffle,0,1.0,0.9817763680502767,0.5626252924999999
old_recency,for-08,joint,shuffle,0,1.0,0.05024121643674679,0.0024500000000000632
old_reference,for-08,joint,shuffle,0,1.0,0.0009804805139616427,9.800000000392828e-07
old_transition1,for-08,joint,shuffle,0,1.0,0.69410764165507,0.50000048
old_transition2,for-08,joint,shuffle,0,1.0,0.0009804805139616427,9.800000000392828e-07
old_transition3,for-08,joint,shuffle,0,1.0,0.0009804805139616427,9.800000000392828e-07
