model,group,cell,condition,variant,source_accuracy,false_match,rejection,pitch_accuracy,time_accuracy,timbre_accuracy,alignment_coverage,alignment_end_error,pitch_shift,time_ratio,spectral_residual,energy_residual
patch-multi/absolute,sp-16,timbre,intact,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0069375,0.0,1.3333333333333333,0.08289100228513013,0.13187197939940465
patch-multi/reference,sp-16,timbre,intact,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0069375,0.0,1.3333333333333333,0.08289100228513013,0.13187197939940465
patch-multi/absolute,sp-17,unchanged,intact,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.006375,0.0,1.3333333333333333,0.06443074803613798,0.11610131260848443
patch-multi/reference,sp-17,unchanged,intact,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.006375,0.0,1.3333333333333333,0.06443074803613798,0.11610131260848443
patch-multi/absolute,sp-17,unchanged,intact,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.006375,0.0,1.3333333333333333,0.06428656449550194,0.11534558015481623
patch-multi/reference,sp-17,unchanged,intact,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.006375,0.0,1.3333333333333333,0.06428656449550194,0.11534558015481623
patch-multi/absolute,sp-17,unchanged,reset,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/reference,sp-17,unchanged,reset,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/absolute,sp-17,unchanged,reset,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/reference,sp-17,unchanged,reset,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/absolute,sp-17,unchanged,removal,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.006375,0.0,1.3333333333333333,0.06433816778141761,0.11121809166643763
patch-multi/reference,sp-17,unchanged,removal,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.006375,0.0,1.3333333333333333,0.06433816778141761,0.11121809166643763
patch-multi/absolute,sp-17,unchanged,removal,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.006375,0.0,1.3333333333333333,0.06433816778141761,0.11121809166643763
patch-multi/reference,sp-17,unchanged,removal,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.006375,0.0,1.3333333333333333,0.06433816778141761,0.11121809166643763
patch-multi/absolute,sp-17,unchanged,swap,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.006375,0.0,1.3333333333333333,0.06428656449550194,0.11534558015481623
patch-multi/reference,sp-17,unchanged,swap,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.006375,0.0,1.3333333333333333,0.06428656449550194,0.11534558015481623
patch-multi/absolute,sp-17,unchanged,swap,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.006375,0.0,1.3333333333333333,0.06443074803613798,0.11610131260848443
patch-multi/reference,sp-17,unchanged,swap,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.006375,0.0,1.3333333333333333,0.06443074803613798,0.11610131260848443
patch-multi/absolute,sp-17,unchanged,shuffle,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0478125,0.0,1.0,0.022810688469035275,0.10630686156833452
patch-multi/reference,sp-17,unchanged,shuffle,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0478125,0.0,1.0,0.022810688469035275,0.10630686156833452
patch-multi/absolute,sp-17,unchanged,shuffle,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0478125,0.0,1.0,0.026468982256353153,0.1086344116542835
patch-multi/reference,sp-17,unchanged,shuffle,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0478125,0.0,1.0,0.026468982256353153,0.1086344116542835
patch-multi/absolute,sp-17,unchanged,ambiguous,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0478125,0.0,1.0,0.026468982256353153,0.1086344116542835
patch-multi/reference,sp-17,unchanged,ambiguous,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0478125,0.0,1.0,0.026468982256353153,0.1086344116542835
patch-multi/absolute,sp-17,unchanged,ambiguous,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0478125,0.0,1.0,0.026468982256353153,0.1086344116542835
patch-multi/reference,sp-17,unchanged,ambiguous,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0478125,0.0,1.0,0.026468982256353153,0.1086344116542835
patch-multi/absolute,sp-17,unchanged,unrelated,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/reference,sp-17,unchanged,unrelated,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/absolute,sp-17,unchanged,unrelated,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/reference,sp-17,unchanged,unrelated,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/absolute,sp-17,transpose,intact,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/reference,sp-17,transpose,intact,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.006375,-3.0,1.3333333333333333,0.07207492013406126,0.122880596089423
patch-multi/absolute,sp-17,transpose,intact,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/reference,sp-17,transpose,intact,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.006375,-3.0,1.3333333333333333,0.07193507520146283,0.12212486363575481
patch-multi/absolute,sp-17,stretch,intact,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.006375,0.0,1.3333333333333333,0.13766430298645022,0.16893218828414908
patch-multi/reference,sp-17,stretch,intact,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.006375,0.0,1.3333333333333333,0.13766430298645022,0.16893218828414908
patch-multi/absolute,sp-17,stretch,intact,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.006375,0.0,1.3333333333333333,0.13752982778419096,0.16817645583048088
patch-multi/reference,sp-17,stretch,intact,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.006375,0.0,1.3333333333333333,0.13752982778419096,0.16817645583048088
patch-multi/absolute,sp-17,timbre,intact,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/reference,sp-17,timbre,intact,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/absolute,sp-17,timbre,intact,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/reference,sp-17,timbre,intact,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/absolute,sp-18,unchanged,intact,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.04430157334055626,0.23249728879108783
patch-multi/reference,sp-18,unchanged,intact,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.04430157334055626,0.23249728879108783
patch-multi/absolute,sp-18,unchanged,intact,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.03213161410973205,0.23004798689476874
patch-multi/reference,sp-18,unchanged,intact,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.03213161410973205,0.23004798689476874
patch-multi/absolute,sp-18,unchanged,reset,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
