model,cell,condition,bin,count,confidence,accuracy
a32_48/transition1,unchanged,removal,3,40,0.37464499999999995,0.075
a32_48/transition1,unchanged,removal,6,4,0.6876442327141695,0.0
a32_48/transition1,unchanged,removal,9,4,0.9990199999999999,0.25
a32_48/transition1,unchanged,reset,3,44,0.37464499999999995,0.06818181818181818
a32_48/transition1,unchanged,reset,9,4,0.99902,0.0
a32_48/transition1,unchanged,shuffle,3,5,0.3723153006960445,0.0
a32_48/transition1,unchanged,shuffle,4,4,0.4632328127147855,0.5
a32_48/transition1,unchanged,shuffle,5,28,0.5364721765754632,0.5357142857142857
a32_48/transition1,unchanged,shuffle,6,3,0.6506439234983975,0.3333333333333333
a32_48/transition1,unchanged,shuffle,9,8,0.99902,0.375
a32_48/transition1,unchanged,swap,3,5,0.3804870078225814,0.0
a32_48/transition1,unchanged,swap,4,8,0.48140866672025223,0.5
a32_48/transition1,unchanged,swap,5,25,0.5372636760912186,0.8
a32_48/transition1,unchanged,swap,6,3,0.6372756796909766,0.6666666666666666
a32_48/transition1,unchanged,swap,9,7,0.9990199999999999,0.2857142857142857
a32_48/transition1,unchanged,unrelated,3,25,0.37464499999999995,0.08
a32_48/transition1,unchanged,unrelated,5,2,0.5088157089396923,1.0
a32_48/transition1,unchanged,unrelated,6,1,0.6624557097022226,0.0
a32_48/transition1,unchanged,unrelated,9,20,0.9990200000000001,0.05
a32_48/transition2,stretch,intact,3,10,0.374645,0.0
a32_48/transition2,stretch,intact,9,38,0.9990200000000001,1.0
a32_48/transition2,timbre,intact,3,9,0.37464499999999995,0.0
a32_48/transition2,timbre,intact,9,39,0.9990200000000001,1.0
a32_48/transition2,transpose,intact,3,48,0.37464499999999995,0.08333333333333333
a32_48/transition2,unchanged,ambiguous,3,6,0.37464499999999995,0.0
a32_48/transition2,unchanged,ambiguous,4,2,0.4995597625503945,0.5
a32_48/transition2,unchanged,ambiguous,5,30,0.535315177381421,0.5
a32_48/transition2,unchanged,ambiguous,6,4,0.6558814237732709,0.5
a32_48/transition2,unchanged,ambiguous,9,6,0.9990199999999999,0.5
a32_48/transition2,unchanged,intact,3,9,0.37464499999999995,0.0
a32_48/transition2,unchanged,intact,9,39,0.9990200000000001,1.0
a32_48/transition2,unchanged,removal,3,48,0.37464499999999995,0.0625
a32_48/transition2,unchanged,reset,3,48,0.37464499999999995,0.0625
a32_48/transition2,unchanged,shuffle,3,9,0.37464499999999995,0.0
a32_48/transition2,unchanged,shuffle,9,39,0.9990200000000001,1.0
a32_48/transition2,unchanged,swap,3,9,0.37464499999999995,0.0
a32_48/transition2,unchanged,swap,9,39,0.9990200000000001,1.0
a32_48/transition2,unchanged,unrelated,3,48,0.37464499999999995,0.08333333333333333
a32_48/transition3,stretch,intact,3,10,0.374645,0.0
a32_48/transition3,stretch,intact,9,38,0.9990200000000001,1.0
a32_48/transition3,timbre,intact,3,10,0.374645,0.0
a32_48/transition3,timbre,intact,9,38,0.9990200000000001,1.0
a32_48/transition3,transpose,intact,3,48,0.37464499999999995,0.08333333333333333
a32_48/transition3,unchanged,ambiguous,3,8,0.37464499999999995,0.0
a32_48/transition3,unchanged,ambiguous,4,4,0.49961511394987407,0.5
a32_48/transition3,unchanged,ambiguous,5,28,0.5216419366824514,0.5
a32_48/transition3,unchanged,ambiguous,6,4,0.6469078077662396,0.5
