model,cell,condition,accuracy,accuracy_lower95,accuracy_upper95,log_loss,log_loss_lower95,log_loss_upper95,brier,brier_lower95,brier_upper95,entropy,entropy_lower95,entropy_upper95,unknown_mass,unknown_mass_lower95,unknown_mass_upper95,confidence,confidence_lower95,confidence_upper95,paired_success,paired_success_lower95,paired_success_upper95
a32_48/absolute,stretch,intact,0.7916666666666666,0.625,0.9375,2.0728238482062626,0.5384012812664568,3.8326380360605756,0.26810500343750004,0.08199312453125003,0.4867507221875,0.27275792797589843,0.0899354100460155,0.48169794846719327,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.868941875,0.7648793749999999,0.9599965625000001,0.75,0.5833333333333334,0.9166666666666666
a32_48/absolute,timbre,intact,0.7916666666666666,0.625,0.9375,2.0728238482062626,0.5384012812664568,3.8326380360605756,0.26810500343750004,0.08199312453125003,0.4867507221875,0.27275792797589843,0.0899354100460155,0.48169794846719327,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.868941875,0.7648793749999999,0.9599965625000001,0.75,0.5833333333333334,0.9166666666666666
a32_48/absolute,transpose,intact,0.08333333333333333,0.020833333333333332,0.16666666666666666,6.995237200917093,5.0829666591704985,8.634904186977096,1.1245627925,1.0100940424999998,1.2286252925,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995,0.0,0.0,0.0
a32_48/absolute,unchanged,ambiguous,0.4166666666666667,0.3333333333333333,0.4791666666666667,2.7802890595601077,1.318663385718665,4.463016249739413,0.6821537916609238,0.5638960904675719,0.8169618488583227,0.7343548452682293,0.6049429354384498,0.855196776416587,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.545527206541106,0.4901914238922936,0.6156488408296256,0.0,0.0,0.0
a32_48/absolute,unchanged,intact,0.7916666666666666,0.625,0.9375,2.0728238482062626,0.5384012812664568,3.8326380360605756,0.26810500343750004,0.08199312453125003,0.4867507221875,0.27275792797589843,0.0899354100460155,0.48169794846719327,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.868941875,0.7648793749999999,0.9599965625000001,0.75,0.5833333333333334,0.9166666666666666
a32_48/absolute,unchanged,removal,0.0625,0.0,0.125,7.769299630337625,5.9028001522004985,9.31742448917869,1.1661877925,1.0621252925,1.2494377925,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995,0.0,0.0,0.0
a32_48/absolute,unchanged,reset,0.0625,0.0,0.125,7.769299630337625,5.9028001522004985,9.31742448917869,1.1661877925,1.0621252925,1.2494377925,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995,0.0,0.0,0.0
a32_48/absolute,unchanged,shuffle,0.7916666666666666,0.625,0.9375,2.0728238482062626,0.5384012812664568,3.8326380360605756,0.26810500343750004,0.08199312453125003,0.4867507221875,0.27275792797589843,0.0899354100460155,0.48169794846719327,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.868941875,0.7648793749999999,0.9599965625000001,0.75,0.5833333333333334,0.9166666666666666
a32_48/absolute,unchanged,swap,0.7916666666666666,0.625,0.9375,2.0728238482062626,0.5384012812664568,3.8326380360605756,0.26810500343750004,0.08199312453125003,0.4867507221875,0.27275792797589843,0.0899354100460155,0.48169794846719327,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.868941875,0.7648793749999999,0.9599965625000001,0.75,0.5833333333333334,0.9166666666666666
a32_48/absolute,unchanged,unrelated,0.08333333333333333,0.020833333333333332,0.16666666666666666,6.631091518011562,4.7188209762649675,8.497590996148688,1.1141565425,0.9996877925,1.2078127925000002,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995,0.0,0.0,0.0
a32_48/present,stretch,intact,0.0625,0.0,0.125,7.769299630337625,5.9028001522004985,9.31742448917869,1.1661877925,1.0621252925,1.2494377925,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995,0.0,0.0,0.0
a32_48/present,timbre,intact,0.0625,0.0,0.125,7.769299630337625,5.9028001522004985,9.31742448917869,1.1661877925,1.0621252925,1.2494377925,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995,0.0,0.0,0.0
a32_48/present,transpose,intact,0.08333333333333333,0.020833333333333332,0.16666666666666666,6.995237200917093,5.0829666591704985,8.634904186977096,1.1245627925,1.0100940424999998,1.2286252925,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995,0.0,0.0,0.0
a32_48/present,unchanged,ambiguous,0.0625,0.0,0.125,7.769299630337625,5.9028001522004985,9.31742448917869,1.1661877925,1.0621252925,1.2494377925,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995,0.0,0.0,0.0
a32_48/present,unchanged,intact,0.0625,0.0,0.125,7.769299630337625,5.9028001522004985,9.31742448917869,1.1661877925,1.0621252925,1.2494377925,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995,0.0,0.0,0.0
a32_48/present,unchanged,removal,0.0625,0.0,0.125,7.769299630337625,5.9028001522004985,9.31742448917869,1.1661877925,1.0621252925,1.2494377925,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995,0.0,0.0,0.0
a32_48/present,unchanged,reset,0.0625,0.0,0.125,7.769299630337625,5.9028001522004985,9.31742448917869,1.1661877925,1.0621252925,1.2494377925,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995,0.0,0.0,0.0
a32_48/present,unchanged,shuffle,0.0625,0.0,0.125,7.769299630337625,5.9028001522004985,9.31742448917869,1.1661877925,1.0621252925,1.2494377925,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995,0.0,0.0,0.0
a32_48/present,unchanged,swap,0.0625,0.0,0.125,7.769299630337625,5.9028001522004985,9.31742448917869,1.1661877925,1.0621252925,1.2494377925,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995,0.0,0.0,0.0
a32_48/present,unchanged,unrelated,0.08333333333333333,0.020833333333333332,0.16666666666666666,6.631091518011562,4.7188209762649675,8.497590996148688,1.1141565425,0.9996877925,1.2078127925000002,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995,0.0,0.0,0.0
a32_48/recency,stretch,intact,0.375,0.20833333333333334,0.5625,4.336187505527615,3.0504036188003547,5.479106515951847,1.151170703125,0.8078471354166666,1.4807638020833334,0.4597124485501107,0.3862594055014708,0.5821341869645105,0.001,0.001,0.001,0.913890625,0.8520416666666666,0.951,0.2916666666666667,0.125,0.5
a32_48/recency,timbre,intact,0.375,0.20833333333333334,0.5625,4.336187505527615,3.0504036188003547,5.479106515951847,1.151170703125,0.8078471354166666,1.4807638020833334,0.4597124485501107,0.3862594055014708,0.5821341869645105,0.001,0.001,0.001,0.913890625,0.8520416666666666,0.951,0.2916666666666667,0.125,0.5
a32_48/recency,transpose,intact,0.10416666666666667,0.041666666666666664,0.1875,5.186975320341067,4.155456939612955,6.12117172395444,1.2749304687499998,1.0984135416666667,1.4514473958333332,1.2187272267193892,0.9738837498905898,1.4146020081824286,0.001,0.001,0.001,0.5304270833333332,0.4314687499999999,0.654125,0.0,0.0,0.0
a32_48/recency,unchanged,ambiguous,0.3958333333333333,0.3125,0.4791666666666667,4.193322629224586,3.621863124012471,4.764782134436702,1.0986609375,0.9920333333333334,1.2311414062500001,0.48419679623299067,0.3862594055014708,0.6311028823302703,0.001,0.001,0.001,0.9015208333333332,0.8273020833333332,0.951,0.0,0.0,0.0
a32_48/recency,unchanged,intact,0.375,0.20833333333333334,0.5625,4.336187505527615,3.0504036188003547,5.479106515951847,1.151170703125,0.8078471354166666,1.4807638020833334,0.4597124485501107,0.3862594055014708,0.5821341869645105,0.001,0.001,0.001,0.913890625,0.8520416666666666,0.951,0.2916666666666667,0.125,0.5
