model,group,cell,condition,source_accuracy,false_match,rejection,pitch_accuracy,time_accuracy,timbre_accuracy,alignment_coverage
patch-multi/absolute,sp-29,unchanged,shuffle,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-29,unchanged,shuffle,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-29,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-29,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-29,unchanged,unrelated,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-29,unchanged,unrelated,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-29,transpose,intact,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-29,transpose,intact,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/absolute,sp-29,stretch,intact,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/reference,sp-29,stretch,intact,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/absolute,sp-29,timbre,intact,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-29,timbre,intact,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-30,unchanged,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-30,unchanged,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-30,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-30,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-30,unchanged,removal,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/reference,sp-30,unchanged,removal,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/absolute,sp-30,unchanged,swap,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-30,unchanged,swap,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-30,unchanged,shuffle,0.5,0.0,0.0,1.0,0.5,1.0,1.0
patch-multi/reference,sp-30,unchanged,shuffle,0.5,0.0,0.0,1.0,0.5,1.0,1.0
patch-multi/absolute,sp-30,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-30,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-30,unchanged,unrelated,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-30,unchanged,unrelated,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-30,transpose,intact,0.0,0.0,0.5,0.0,0.0,0.0,0.5
patch-multi/reference,sp-30,transpose,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-30,stretch,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-30,stretch,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-30,timbre,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-30,timbre,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-31,unchanged,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-31,unchanged,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-31,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-31,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-31,unchanged,removal,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/reference,sp-31,unchanged,removal,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/absolute,sp-31,unchanged,swap,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-31,unchanged,swap,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-31,unchanged,shuffle,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/reference,sp-31,unchanged,shuffle,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/absolute,sp-31,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-31,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-31,unchanged,unrelated,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-31,unchanged,unrelated,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-31,transpose,intact,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-31,transpose,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-31,stretch,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-31,stretch,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-31,timbre,intact,1.0,0.0,0.0,1.0,1.0,0.0,1.0
patch-multi/reference,sp-31,timbre,intact,1.0,0.0,0.0,1.0,1.0,0.0,1.0
patch-multi/absolute,sp-32,unchanged,intact,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/reference,sp-32,unchanged,intact,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/absolute,sp-32,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-32,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-32,unchanged,removal,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/reference,sp-32,unchanged,removal,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/absolute,sp-32,unchanged,swap,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/reference,sp-32,unchanged,swap,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/absolute,sp-32,unchanged,shuffle,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-32,unchanged,shuffle,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-32,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-32,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-32,unchanged,unrelated,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-32,unchanged,unrelated,0.0,1.0,0.0,0.0,0.0,0.0,1.0
patch-multi/absolute,sp-32,transpose,intact,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-32,transpose,intact,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/absolute,sp-32,stretch,intact,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/reference,sp-32,stretch,intact,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/absolute,sp-32,timbre,intact,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-32,timbre,intact,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-33,unchanged,intact,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/reference,sp-33,unchanged,intact,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/absolute,sp-33,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-33,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-33,unchanged,removal,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/reference,sp-33,unchanged,removal,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/absolute,sp-33,unchanged,swap,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/reference,sp-33,unchanged,swap,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/absolute,sp-33,unchanged,shuffle,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-33,unchanged,shuffle,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-33,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-33,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-33,unchanged,unrelated,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-33,unchanged,unrelated,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-33,transpose,intact,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-33,transpose,intact,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/absolute,sp-33,stretch,intact,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/reference,sp-33,stretch,intact,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/absolute,sp-33,timbre,intact,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/reference,sp-33,timbre,intact,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/absolute,sp-34,unchanged,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-34,unchanged,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-34,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-34,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-34,unchanged,removal,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/reference,sp-34,unchanged,removal,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/absolute,sp-34,unchanged,swap,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-34,unchanged,swap,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-34,unchanged,shuffle,0.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-34,unchanged,shuffle,0.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-34,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-34,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-34,unchanged,unrelated,0.0,1.0,0.0,1.0,0.0,0.0,1.0
patch-multi/reference,sp-34,unchanged,unrelated,0.0,1.0,0.0,1.0,0.0,0.0,1.0
patch-multi/absolute,sp-34,transpose,intact,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-34,transpose,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-34,stretch,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-34,stretch,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-34,timbre,intact,1.0,0.0,0.0,1.0,1.0,0.0,1.0
patch-multi/reference,sp-34,timbre,intact,1.0,0.0,0.0,1.0,1.0,0.0,1.0
patch-multi/absolute,sp-35,unchanged,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-35,unchanged,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-35,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-35,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-35,unchanged,removal,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/reference,sp-35,unchanged,removal,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/absolute,sp-35,unchanged,swap,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-35,unchanged,swap,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-35,unchanged,shuffle,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-35,unchanged,shuffle,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-35,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-35,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-35,unchanged,unrelated,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-35,unchanged,unrelated,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-35,transpose,intact,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-35,transpose,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-35,stretch,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-35,stretch,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-35,timbre,intact,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-35,timbre,intact,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-36,unchanged,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-36,unchanged,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-36,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-36,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-36,unchanged,removal,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/reference,sp-36,unchanged,removal,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/absolute,sp-36,unchanged,swap,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-36,unchanged,swap,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-36,unchanged,shuffle,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-36,unchanged,shuffle,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-36,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-36,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-36,unchanged,unrelated,0.0,1.0,0.0,1.0,0.0,0.0,1.0
patch-multi/reference,sp-36,unchanged,unrelated,0.0,1.0,0.0,0.0,0.0,0.0,1.0
patch-multi/absolute,sp-36,transpose,intact,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-36,transpose,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-36,stretch,intact,0.5,0.0,0.0,1.0,0.5,0.0,1.0
patch-multi/reference,sp-36,stretch,intact,0.5,0.0,0.0,1.0,0.5,0.0,1.0
patch-multi/absolute,sp-36,timbre,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-36,timbre,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-37,unchanged,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-37,unchanged,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-37,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-37,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-37,unchanged,removal,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/reference,sp-37,unchanged,removal,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/absolute,sp-37,unchanged,swap,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-37,unchanged,swap,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-37,unchanged,shuffle,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-37,unchanged,shuffle,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-37,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-37,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-37,unchanged,unrelated,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-37,unchanged,unrelated,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-37,transpose,intact,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-37,transpose,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-37,stretch,intact,0.0,0.0,0.0,1.0,0.5,0.0,1.0
patch-multi/reference,sp-37,stretch,intact,0.0,0.0,0.0,1.0,0.5,0.0,1.0
patch-multi/absolute,sp-37,timbre,intact,1.0,0.0,0.0,1.0,1.0,0.0,1.0
patch-multi/reference,sp-37,timbre,intact,1.0,0.0,0.0,1.0,1.0,0.0,1.0
patch-multi/absolute,sp-38,unchanged,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-38,unchanged,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-38,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-38,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-38,unchanged,removal,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/reference,sp-38,unchanged,removal,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/absolute,sp-38,unchanged,swap,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-38,unchanged,swap,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-38,unchanged,shuffle,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-38,unchanged,shuffle,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-38,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-38,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-38,unchanged,unrelated,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-38,unchanged,unrelated,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-38,transpose,intact,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-38,transpose,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-38,stretch,intact,0.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-38,stretch,intact,0.0,0.0,0.0,0.5,1.0,1.0,1.0
patch-multi/absolute,sp-38,timbre,intact,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-38,timbre,intact,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-39,unchanged,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-39,unchanged,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-39,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-39,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-39,unchanged,removal,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/reference,sp-39,unchanged,removal,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/absolute,sp-39,unchanged,swap,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-39,unchanged,swap,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-39,unchanged,shuffle,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-39,unchanged,shuffle,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-39,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-39,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-39,unchanged,unrelated,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-39,unchanged,unrelated,0.0,0.5,0.5,0.0,0.5,0.0,0.5
patch-multi/absolute,sp-39,transpose,intact,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-39,transpose,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-39,stretch,intact,0.5,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-39,stretch,intact,0.5,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-39,timbre,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-39,timbre,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
