model,group,cell,condition,source_accuracy,false_match,rejection,pitch_accuracy,time_accuracy,timbre_accuracy,alignment_coverage
patch-multi/reference,sp-19,unchanged,intact,0.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-19,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-19,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-19,unchanged,removal,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/reference,sp-19,unchanged,removal,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/absolute,sp-19,unchanged,swap,0.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-19,unchanged,swap,0.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-19,unchanged,shuffle,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/reference,sp-19,unchanged,shuffle,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/absolute,sp-19,unchanged,ambiguous,0.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-19,unchanged,ambiguous,0.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-19,unchanged,unrelated,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-19,unchanged,unrelated,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-19,transpose,intact,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-19,transpose,intact,0.0,0.0,0.0,1.0,1.0,0.0,1.0
patch-multi/absolute,sp-19,stretch,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-19,stretch,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-19,timbre,intact,0.0,0.0,0.0,1.0,1.0,0.0,1.0
patch-multi/reference,sp-19,timbre,intact,0.0,0.0,0.0,1.0,1.0,0.0,1.0
patch-multi/absolute,sp-20,unchanged,intact,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/reference,sp-20,unchanged,intact,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/absolute,sp-20,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-20,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-20,unchanged,removal,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/reference,sp-20,unchanged,removal,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/absolute,sp-20,unchanged,swap,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/reference,sp-20,unchanged,swap,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/absolute,sp-20,unchanged,shuffle,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-20,unchanged,shuffle,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-20,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-20,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-20,unchanged,unrelated,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-20,unchanged,unrelated,0.0,1.0,0.0,0.0,1.0,0.0,1.0
patch-multi/absolute,sp-20,transpose,intact,0.0,0.0,0.5,0.0,0.5,0.0,0.5
patch-multi/reference,sp-20,transpose,intact,0.0,0.0,0.0,1.0,1.0,0.0,1.0
patch-multi/absolute,sp-20,stretch,intact,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/reference,sp-20,stretch,intact,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/absolute,sp-20,timbre,intact,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-20,timbre,intact,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-21,unchanged,intact,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/reference,sp-21,unchanged,intact,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/absolute,sp-21,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-21,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-21,unchanged,removal,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/reference,sp-21,unchanged,removal,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/absolute,sp-21,unchanged,swap,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/reference,sp-21,unchanged,swap,1.0,0.0,0.0,1.0,0.0,1.0,1.0
