model,group,cell,condition,accuracy,paired_success,log_loss,brier
fixed/recency,ewr-16,joint,shuffle,0.0,0.0,6.907755278982137,1.592215625
fixed/reference,ewr-16,joint,shuffle,0.0,0.0,10.819778284410283,1.3118752925
fixed/transition1,ewr-16,joint,shuffle,0.0,0.0,10.819778284410283,1.3118752925
fixed/transition2,ewr-16,joint,shuffle,0.0,0.0,10.819778284410283,1.3118752925
fixed/transition3,ewr-16,joint,shuffle,0.0,0.0,10.819778284410283,1.3118752925
oracle-boundary/absolute,ewr-16,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/present,ewr-16,joint,shuffle,0.0,0.0,10.819778284410283,1.3118752925
oracle-boundary/recency,ewr-16,joint,shuffle,1.0,1.0,0.05024121643674679,0.0024500000000000632
oracle-boundary/reference,ewr-16,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/transition1,ewr-16,joint,shuffle,0.5,0.0,0.69410764165507,0.50000048
oracle-boundary/transition2,ewr-16,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/transition3,ewr-16,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired/absolute,ewr-16,joint,ambiguous,0.5,0.0,0.6941357574064865,0.5000285410061216
repaired/present,ewr-16,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925
repaired/recency,ewr-16,joint,ambiguous,0.5,0.0,3.4789982477094417,0.95245
repaired/reference,ewr-16,joint,ambiguous,0.5,0.0,0.6941146348794136,0.5000074597549871
repaired/transition1,ewr-16,joint,ambiguous,0.5,0.0,0.6941357574064865,0.5000285410061216
repaired/transition2,ewr-16,joint,ambiguous,0.5,0.0,0.6941357574064865,0.5000285410061216
repaired/transition3,ewr-16,joint,ambiguous,0.5,0.0,0.6941357574064865,0.5000285410061216
streaming/absolute,ewr-16,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925
streaming/present,ewr-16,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925
streaming/recency,ewr-16,joint,ambiguous,0.5,0.0,3.4789982477094417,0.95245
streaming/reference,ewr-16,joint,ambiguous,0.5,0.0,5.410379382462122,0.9990009799999997
streaming/transition1,ewr-16,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925
streaming/transition2,ewr-16,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925
streaming/transition3,ewr-16,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925
