front,precision,precision_lower95,precision_upper95,recall,recall_lower95,recall_upper95,f1,f1_lower95,f1_upper95,split_rate,split_rate_lower95,split_rate_upper95,merge_rate,merge_rate_lower95,merge_rate_upper95,pitch_accuracy,pitch_accuracy_lower95,pitch_accuracy_upper95,pitch_availability,pitch_availability_lower95,pitch_availability_upper95,octave_error_rate,octave_error_rate_lower95,octave_error_rate_upper95,mean_pitch_error_available,mean_pitch_error_available_lower95,mean_pitch_error_available_upper95,mean_onset_error_s,mean_onset_error_s_lower95,mean_onset_error_s_upper95,mean_end_error_s,mean_end_error_s_lower95,mean_end_error_s_upper95,max_true_end_latency_s,max_inferred_end_latency_s
repaired,0.9656631562881562,0.9440637294803963,0.9855324074074074,0.9739992517770295,0.9496820052375607,0.9939206883651327,0.9685102742926531,0.9491369627430727,0.9856149983512347,0.0017770295548073325,0.0,0.005331088664421998,0.014777403666292556,0.004395809951365507,0.026094276094276097,0.9695800598578378,0.9461045641601197,0.989501496445941,0.970000935278713,0.9467124953236065,0.989501496445941,0.0,0.0,0.0,0.0019217456298509276,0.001302271963648613,0.0026134959687713322,0.008412001337782587,0.0077719510749024645,0.009016297649110149,0.009170676173106728,0.008631363068515847,0.009650228308214418,0.119375,0.104
streaming,0.9656631562881562,0.9440637294803963,0.9855324074074074,0.9739992517770295,0.9496820052375607,0.9939206883651327,0.9685102742926531,0.9491369627430727,0.9856149983512347,0.0017770295548073325,0.0,0.005331088664421998,0.014777403666292556,0.004395809951365507,0.026094276094276097,0.7276468387579499,0.678708380097269,0.779835390946502,0.9476243920688366,0.9187944257388702,0.9757528993640104,0.09495417134306022,0.058244481855592965,0.1315001870557426,3.3603812226974465,2.4623028118959853,4.243433578172804,0.008412001337782587,0.0077719510749024645,0.009016297649110149,0.009170676173106728,0.008631363068515847,0.009650228308214418,0.119375,0.104
fixed,0.13117842643260813,0.10786101796109966,0.15599261069677306,0.18219229330340436,0.16133557800224466,0.20230078563411893,0.1506187776536346,0.1283133458036721,0.1734248952166437,0.604353722409278,0.48940796857463525,0.7127057613168724,0.1248597081930415,0.08553123830901609,0.16437523381967825,0.7230873550317994,0.6776094276094277,0.7717919940142162,0.8062803965581743,0.7560091657313879,0.8569725028058363,0.020225402169846616,0.006734006734006735,0.03656939768050879,1.2821164122848758,0.7484138884838986,1.8878225894617355,0.020168548915076693,0.019496090305335098,0.020864878259279306,0.01981860077294105,0.01916406907095926,0.02052202325628975,0.0143125,0.0
oracle-boundary,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.001998475619879972,0.001432618911855475,0.00264402479972259,0.0,0.0,0.0,0.0,0.0,0.0,0.0639375,0.0639375
