group,cell,condition,variant,whole_duration_s,support_duration_s,available,cycles,extra_processing_seconds
ewr-16,joint,intact,0,0.076,0.044,1,7.2527365964803705,0.00014925
ewr-16,joint,intact,0,0.092,0.06,1,11.759874780026362,0.000283375
ewr-16,joint,intact,0,0.112,0.08,1,24.890497993754433,0.000692416
ewr-16,joint,intact,0,0.108,0.076,1,16.719929540668584,0.000256542
ewr-16,joint,intact,0,0.072,0.04,1,6.5923517763614345,0.000599708
ewr-16,joint,intact,1,0.108,0.076,1,23.64610438036464,0.000575042
ewr-16,joint,intact,1,0.1,0.068,1,14.95985787809695,0.000202667
ewr-16,joint,intact,1,0.08,0.048,1,7.911454214893737,0.000669458
ewr-16,joint,intact,1,0.092,0.06,1,11.760307996336062,0.000150917
ewr-16,joint,intact,1,0.104,0.072,1,22.40104121215266,0.000761458
ewr-16,joint,intact,1,0.108,0.076,1,18.767828080160957,0.000286125
ewr-16,joint,intact,1,0.084,0.052,1,8.571120138655505,0.0006835
ewr-16,joint,intact,1,0.076,0.044,1,6.098043830000968,0.000358
ewr-16,joint,intact,1,0.112,0.08,1,24.890497993754433,0.000685375
ewr-16,joint,intact,1,0.108,0.076,1,16.719929540668584,0.000242083
ewr-16,joint,intact,1,0.072,0.04,1,6.5923517763614345,0.000567375
ewr-16,joint,reset,0,0.112,0.08,1,24.890497993754433,0.000694917
ewr-16,joint,reset,0,0.108,0.076,1,16.719929540668584,0.000242875
ewr-16,joint,reset,0,0.072,0.04,1,6.5923517763614345,0.00056725
ewr-16,joint,reset,1,0.112,0.08,1,24.890497993754433,0.000693208
ewr-16,joint,reset,1,0.108,0.076,1,16.719929540668584,0.0002455
ewr-16,joint,reset,1,0.072,0.04,1,6.5923517763614345,0.000584208
ewr-16,joint,removal,0,0.108,0.076,1,23.64610438036464,0.000575958
ewr-16,joint,removal,0,0.1,0.068,1,14.95985787809695,0.000205208
ewr-16,joint,removal,0,0.068,0.036,1,5.9337051088106385,0.000584417
ewr-16,joint,removal,0,0.104,0.072,1,22.40104121215266,0.000761667
ewr-16,joint,removal,0,0.108,0.076,1,18.767828080160957,0.000288667
ewr-16,joint,removal,0,0.064,0.032,1,5.275122306073951,0.0007195
ewr-16,joint,removal,0,0.112,0.08,1,24.890497993754433,0.000700084
ewr-16,joint,removal,0,0.108,0.076,1,16.719929540668584,0.000252791
ewr-16,joint,removal,0,0.072,0.04,1,6.5923517763614345,0.000598333
ewr-16,joint,removal,1,0.108,0.076,1,23.64610438036464,0.000569542
ewr-16,joint,removal,1,0.1,0.068,1,14.95985787809695,0.000206083
ewr-16,joint,removal,1,0.068,0.036,1,5.9337051088106385,0.000573875
ewr-16,joint,removal,1,0.104,0.072,1,22.40104121215266,0.000751459
ewr-16,joint,removal,1,0.108,0.076,1,18.767828080160957,0.000294042
ewr-16,joint,removal,1,0.064,0.032,1,5.275122306073951,0.000681041
ewr-16,joint,removal,1,0.112,0.08,1,24.890497993754433,0.0006935
ewr-16,joint,removal,1,0.108,0.076,1,16.719929540668584,0.000241375
ewr-16,joint,removal,1,0.072,0.04,1,6.5923517763614345,0.0005685
ewr-16,joint,swap,0,0.108,0.076,1,23.64610438036464,0.000577625
ewr-16,joint,swap,0,0.1,0.068,1,14.95985787809695,0.000206084
ewr-16,joint,swap,0,0.08,0.048,1,7.911454214893737,0.000669416
ewr-16,joint,swap,0,0.092,0.06,1,11.760307996336062,0.000151
ewr-16,joint,swap,0,0.104,0.072,1,22.40104121215266,0.000755083
ewr-16,joint,swap,0,0.108,0.076,1,18.767828080160957,0.000290291
ewr-16,joint,swap,0,0.084,0.052,1,8.571120138655505,0.000693792
ewr-16,joint,swap,0,0.076,0.044,1,6.098043830000968,0.000369667
ewr-16,joint,swap,0,0.112,0.08,1,24.890497993754433,0.000690542
ewr-16,joint,swap,0,0.108,0.076,1,16.719929540668584,0.000245667
ewr-16,joint,swap,0,0.072,0.04,1,6.5923517763614345,0.000582959
