front,group,cell,condition,variant,true_events,predicted_events,matched_events,bounded_matches,precision,recall,f1,split_count,merge_count,split_rate,merge_rate,pitch_accuracy,pitch_availability,mean_pitch_error_available,octave_error_rate,mean_onset_error_s,mean_end_error_s,max_true_end_latency_s,max_inferred_end_latency_s
fixed,ewr-28,joint,shuffle,0,11,14,9,1,0.07142857142857142,0.09090909090909091,0.08,4,0,0.36363636363636365,0.0,0.7272727272727273,0.8181818181818182,2.125478223271716,0.0,0.018354166666666668,0.022208333333333333,0.0105,0.0
oracle-boundary,ewr-28,joint,shuffle,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00011226112253890498,0.0,0.0,0.0,0.0533125,0.0533125
repaired,ewr-28,joint,shuffle,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0003656109351410143,0.0,0.009778409090909091,0.010386363636363636,0.098375,0.1
streaming,ewr-28,joint,shuffle,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.45454545454545453,0.8181818181818182,6.934084122089296,0.18181818181818182,0.009778409090909091,0.010386363636363636,0.098375,0.1
fixed,ewr-28,joint,shuffle,1,11,13,9,1,0.07692307692307693,0.09090909090909091,0.08333333333333333,3,0,0.2727272727272727,0.0,0.7272727272727273,0.8181818181818182,2.1138805368080975,0.0,0.018090277777777778,0.021944444444444444,0.008875,0.0
oracle-boundary,ewr-28,joint,shuffle,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00011226112253890498,0.0,0.0,0.0,0.0533125,0.0533125
repaired,ewr-28,joint,ambiguous,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00034747309598808835,0.0,0.009778409090909091,0.010386363636363636,0.098375,0.1
streaming,ewr-28,joint,ambiguous,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.5454545454545454,0.8181818181818182,4.851086287264409,0.18181818181818182,0.009778409090909091,0.010386363636363636,0.098375,0.1
fixed,ewr-28,joint,ambiguous,0,11,13,9,1,0.07692307692307693,0.09090909090909091,0.08333333333333333,3,0,0.2727272727272727,0.0,0.7272727272727273,0.8181818181818182,2.11389634252417,0.0,0.018090277777777778,0.021944444444444444,0.008875,0.0
oracle-boundary,ewr-28,joint,ambiguous,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00011108810174597184,0.0,0.0,0.0,0.0533125,0.0533125
repaired,ewr-28,joint,ambiguous,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00034747309598808835,0.0,0.009778409090909091,0.010386363636363636,0.098375,0.1
streaming,ewr-28,joint,ambiguous,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.5454545454545454,0.8181818181818182,4.851086287264409,0.18181818181818182,0.009778409090909091,0.010386363636363636,0.098375,0.1
fixed,ewr-28,joint,ambiguous,1,11,13,9,1,0.07692307692307693,0.09090909090909091,0.08333333333333333,3,0,0.2727272727272727,0.0,0.7272727272727273,0.8181818181818182,2.11389634252417,0.0,0.018090277777777778,0.021944444444444444,0.008875,0.0
oracle-boundary,ewr-28,joint,ambiguous,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00011108810174597184,0.0,0.0,0.0,0.0533125,0.0533125
repaired,ewr-29,detached,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0008212001551327317,0.0,0.004573863636363636,0.004471590909090909,0.106875,0.104
streaming,ewr-29,detached,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.05208448441917132,0.0,0.004573863636363636,0.004471590909090909,0.106875,0.104
fixed,ewr-29,detached,intact,0,11,16,7,3,0.1875,0.2727272727272727,0.2222222222222222,7,2,0.6363636363636364,0.18181818181818182,0.6363636363636364,0.6363636363636364,0.025785261747924743,0.0,0.02032142857142857,0.018883928571428572,0.01025,0.0
oracle-boundary,ewr-29,detached,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.01160514028453331,0.0,0.0,0.0,0.044375,0.044375
repaired,ewr-29,detached,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0015627274235134275,0.0,0.0049375,0.005039772727272727,0.1014375,0.096
streaming,ewr-29,detached,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.06601766874738567,0.0,0.0049375,0.005039772727272727,0.1014375,0.096
