left,right,difference,lower95,upper95
acoustic/candidate,acoustic/reference,0.0,0.0,0.0
oracle/candidate,acoustic/candidate,0.25,0.08333333333333333,0.4166666666666667
oracle/reference,acoustic/reference,0.25,0.08333333333333333,0.4166666666666667
