kind,model,cell,condition,accuracy,accuracy_lower95,accuracy_upper95,paired_success,paired_success_lower95,paired_success_upper95,log_loss,log_loss_lower95,log_loss_upper95,brier,brier_lower95,brier_upper95
acoustic,candidate,duration,intact,1.0,1.0,1.0,1.0,1.0,1.0,0.05024121643674679,0.05024121643674679,0.05024121643674679,0.0024500000000000632,0.0024500000000000632,0.0024500000000000632
acoustic,candidate,joint,ambiguous,0.375,0.2916666666666667,0.4583333333333333,0.0,0.0,0.0,2.283691888308572,1.2561222459366685,3.3112615306804756,0.7387000000000002,0.5803666666666668,0.8970333333333338
acoustic,candidate,joint,intact,0.75,0.5833333333333334,0.9166666666666666,0.75,0.5833333333333334,0.9166666666666666,1.7646197320730943,0.6217007216488626,2.907538742497326,0.47744999999999965,0.16078333333333325,0.794116666666666
acoustic,candidate,joint,removal,0.125,0.041666666666666664,0.20833333333333334,0.0,0.0,0.0,3.1173617768352124,2.286237599965266,3.982042424526602,0.9175671874999999,0.8631401041666669,0.9769421874999994
acoustic,candidate,joint,reset,0.125,0.041666666666666664,0.20833333333333334,0.0,0.0,0.0,3.1173617768352124,2.286237599965266,3.982042424526602,0.9175671874999999,0.8631401041666669,0.9769421874999994
acoustic,candidate,joint,shuffle,0.75,0.5833333333333334,0.9166666666666666,0.75,0.5833333333333334,0.9166666666666666,1.7646197320730943,0.6217007216488626,2.907538742497326,0.47744999999999965,0.16078333333333325,0.794116666666666
acoustic,candidate,joint,swap,0.75,0.5833333333333334,0.9166666666666666,0.75,0.5833333333333334,0.9166666666666666,1.7646197320730943,0.6217007216488626,2.907538742497326,0.47744999999999965,0.16078333333333325,0.794116666666666
acoustic,candidate,matched,intact,1.0,1.0,1.0,1.0,1.0,1.0,0.05024121643674679,0.05024121643674679,0.05024121643674679,0.0024500000000000632,0.0024500000000000632,0.0024500000000000632
acoustic,candidate,timbre,intact,0.75,0.5833333333333334,0.9166666666666666,0.75,0.5833333333333334,0.9166666666666666,1.7646197320730943,0.6217007216488626,2.907538742497326,0.47744999999999965,0.16078333333333325,0.794116666666666
acoustic,present,duration,intact,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,1.8538972761195716,1.7867843344766865,1.9377884531731782,0.8384005208333338,0.8186088541666671,0.8631401041666672
acoustic,present,joint,ambiguous,0.125,0.041666666666666664,0.20833333333333334,0.0,0.0,0.0,3.1173617768352124,2.286237599965266,3.982042424526602,0.9175671874999997,0.8631401041666663,0.9769421874999998
acoustic,present,joint,intact,0.125,0.041666666666666664,0.20833333333333334,0.0,0.0,0.0,3.1173617768352124,2.286237599965266,3.982042424526602,0.9175671874999999,0.8631401041666669,0.9769421874999994
acoustic,present,joint,removal,0.125,0.041666666666666664,0.20833333333333334,0.0,0.0,0.0,3.1173617768352124,2.286237599965266,3.982042424526602,0.9175671874999999,0.8631401041666669,0.9769421874999994
acoustic,present,joint,reset,0.125,0.041666666666666664,0.20833333333333334,0.0,0.0,0.0,3.1173617768352124,2.286237599965266,3.982042424526602,0.9175671874999999,0.8631401041666669,0.9769421874999994
acoustic,present,joint,shuffle,0.125,0.041666666666666664,0.20833333333333334,0.0,0.0,0.0,3.1173617768352124,2.286237599965266,3.982042424526602,0.9175671874999999,0.8631401041666669,0.9769421874999994
acoustic,present,joint,swap,0.125,0.041666666666666664,0.20833333333333334,0.0,0.0,0.0,3.1173617768352124,2.286237599965266,3.982042424526602,0.9175671874999999,0.8631401041666669,0.9769421874999994
acoustic,present,matched,intact,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,1.8538972761195716,1.7867843344766865,1.9377884531731782,0.8384005208333338,0.8186088541666671,0.8631401041666672
acoustic,present,timbre,intact,0.125,0.041666666666666664,0.20833333333333334,0.0,0.0,0.0,3.1173617768352124,2.286237599965266,3.982042424526602,0.9175671874999999,0.8631401041666669,0.9769421874999994
acoustic,recency,duration,intact,0.5,0.2916666666666667,0.7083333333333334,0.5,0.2916666666666667,0.7083333333333334,3.4789982477094417,2.050349484679152,4.907647010739731,0.9524499999999992,0.5566166666666662,1.3482833333333322
acoustic,recency,joint,ambiguous,0.2916666666666667,0.1875,0.3958333333333333,0.0,0.0,0.0,3.929912262630148,3.2416529620632297,4.691476848816884,1.005732877604166,0.9335551432291661,1.1061593505859366
acoustic,recency,joint,intact,0.2916666666666667,0.125,0.4791666666666667,0.25,0.08333333333333333,0.4166666666666667,3.929912262630148,2.700655426111984,5.185885373472574,1.0057328776041659,0.721066088867187,1.291258593749999
acoustic,recency,joint,removal,0.125,0.041666666666666664,0.20833333333333334,0.0,0.0,0.0,3.1173617768352124,2.286237599965266,3.982042424526602,0.9487081380208332,0.8680880208333335,1.0604692057291663
acoustic,recency,joint,reset,0.125,0.041666666666666664,0.20833333333333334,0.0,0.0,0.0,3.1173617768352124,2.286237599965266,3.982042424526602,0.9175671874999999,0.8631401041666669,0.9769421874999994
acoustic,recency,joint,shuffle,0.2916666666666667,0.125,0.4791666666666667,0.25,0.08333333333333333,0.4166666666666667,3.929912262630148,2.657160916377001,5.133104018200084,1.0057328776041659,0.7146647216796872,1.2900981526692696
acoustic,recency,joint,swap,0.2916666666666667,0.125,0.4791666666666667,0.25,0.08333333333333333,0.4166666666666667,3.929912262630148,2.700655426111984,5.185885373472574,1.0057328776041659,0.721066088867187,1.291258593749999
acoustic,recency,matched,intact,0.5,0.2916666666666667,0.7083333333333334,0.5,0.2916666666666667,0.7083333333333334,3.4789982477094417,2.050349484679152,4.907647010739731,0.9524499999999992,0.5566166666666662,1.3482833333333322
acoustic,recency,timbre,intact,0.2916666666666667,0.125,0.4791666666666667,0.25,0.08333333333333333,0.4166666666666667,3.929912262630148,2.700655426111984,5.185885373472574,1.0057328776041659,0.721066088867187,1.291258593749999
acoustic,reference,duration,intact,1.0,1.0,1.0,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07
acoustic,reference,joint,ambiguous,0.375,0.2916666666666667,0.4583333333333333,0.0,0.0,0.0,3.2255253023438732,1.5379135285513374,4.913137076136409,0.7497504800000002,0.5832504800000001,0.9162504800000003
acoustic,reference,joint,intact,0.75,0.5833333333333334,0.9166666666666666,0.75,0.5833333333333334,0.9166666666666666,2.705679931488042,0.9025469641719882,4.508812898804096,0.49950098000000026,0.16650098000000013,0.8325009800000004
acoustic,reference,joint,removal,0.125,0.041666666666666664,0.20833333333333334,0.0,0.0,0.0,6.175403707887092,4.308904229749967,8.087674249633688,1.0621252925000007,0.9372502925000008,1.1870002925000007
acoustic,reference,joint,reset,0.125,0.041666666666666664,0.20833333333333334,0.0,0.0,0.0,6.175403707887092,4.308904229749967,8.087674249633688,1.0621252925000007,0.9372502925000008,1.1870002925000007
acoustic,reference,joint,shuffle,0.75,0.5833333333333334,0.9166666666666666,0.75,0.5833333333333334,0.9166666666666666,2.705679931488042,0.9025469641719882,4.508812898804096,0.49950098000000026,0.16650098000000013,0.8325009800000004
