block_id,event_index_zero_based,onset_s,offset_s,pitch_semitones,pitch_span_cents,phase_fraction,bend_peak_cents,rms_frame_count,rms_mean,rms_max
e05_distractor_0,0,0.1340000033378601,0.22599999606609344,10.58279037475586,0.1760033518075943,1.0,-0.09307997673749924,,,
e05_distractor_0,1,0.29899999499320984,0.38999998569488525,-0.4172993004322052,1.3081414699554443,1.0,0.7860472202301025,,,
e05_distractor_0,2,0.46399998664855957,0.5559999942779541,5.58267068862915,0.5700559616088867,1.0,0.4004349410533905,,,
e05_distractor_0,3,0.6290000081062317,0.7210000157356262,6.58261251449585,0.32485514879226685,1.0,0.2335793673992157,,,
e05_distractor_0,4,0.7940000295639038,0.8849999904632568,12.58271312713623,0.13392320275306702,1.0,-0.09624083340167999,,,
e05_distractor_0,5,0.9580000042915344,1.0509999990463257,3.5829532146453857,1.0628185272216797,1.0,0.6077209711074829,,,
e05_distractor_1,0,0.1340000033378601,0.22499999403953552,-0.4172990620136261,1.3081454038619995,1.0,0.7860251665115356,,,
e05_distractor_1,1,0.2980000078678131,0.39100000262260437,3.5829529762268066,1.063499927520752,1.0,0.6081674695014954,,,
e05_distractor_1,2,0.46399998664855957,0.5550000071525574,12.58271312713623,0.1339234858751297,1.0,-0.09624085575342178,,,
e05_distractor_1,3,0.6290000081062317,0.7210000157356262,5.58267068862915,0.5695507526397705,1.0,0.40008968114852905,,,
e05_distractor_1,4,0.7940000295639038,0.8859999775886536,10.58279037475586,0.17600293457508087,1.0,-0.09307993948459625,,,
e05_distractor_1,5,0.9589999914169312,1.0509999990463257,6.58261251449585,0.32485634088516235,1.0,0.23357996344566345,,,
e05_query_a_delete_closed,0,0.1340000033378601,0.22599999606609344,10.58279037475586,0.1760033518075943,1.0,-0.09307997673749924,19,0.15343746542930603,0.18441960215568542
e05_query_a_delete_closed,1,0.29899999499320984,0.38999998569488525,-0.4172993004322052,1.3081247806549072,1.0,0.7860445380210876,19,0.1539755016565323,0.18438057601451874
e05_query_a_delete_closed,2,0.46399998664855957,0.5559999942779541,6.582613945007324,0.32468029856681824,1.0,0.23328354954719543,19,0.1536569446325302,0.18401731550693512
e05_query_a_delete_closed,3,0.6290000081062317,0.7200000286102295,12.58271312713623,0.13392320275306702,1.0,-0.09624083340167999,19,0.15366454422473907,0.18357127904891968
e05_query_a_delete_closed,4,0.7929999828338623,0.8859999775886536,3.5829532146453857,1.0628185272216797,1.0,0.6077209711074829,19,0.15374089777469635,0.18406380712985992
e05_query_b_delete_closed,0,0.1340000033378601,0.22499999403953552,-0.4172990620136261,1.3081454038619995,1.0,0.7860251665115356,19,0.1539755016565323,0.18438057601451874
e05_query_b_delete_closed,1,0.2980000078678131,0.39100000262260437,3.5829529762268066,1.0635000467300415,1.0,0.6081690192222595,19,0.15374089777469635,0.18406380712985992
e05_query_b_delete_closed,2,0.46399998664855957,0.5559999942779541,5.58267068862915,0.5695847272872925,1.0,0.40011242032051086,19,0.15380385518074036,0.18267884850502014
e05_query_b_delete_closed,3,0.6290000081062317,0.7210000157356262,10.58279037475586,0.17600293457508087,1.0,-0.09307993948459625,19,0.15343746542930603,0.18441960215568542
e05_query_b_delete_closed,4,0.7940000295639038,0.8859999775886536,6.58261251449585,0.32485634088516235,1.0,0.23357996344566345,19,0.1536569446325302,0.18401731550693512
e05_reference_a,0,0.1340000033378601,0.22599999606609344,10.58279037475586,0.1760033518075943,1.0,-0.09307997673749924,,,
e05_reference_a,1,0.29899999499320984,0.38999998569488525,-0.4172993004322052,1.3081247806549072,1.0,0.7860445380210876,,,
e05_reference_a,2,0.46399998664855957,0.5559999942779541,6.582613945007324,0.3246783912181854,1.0,0.23328353464603424,,,
e05_reference_a,3,0.6290000081062317,0.7210000157356262,5.58267068862915,0.5695441365242004,1.0,0.4000851511955261,,,
e05_reference_a,4,0.7940000295639038,0.8849999904632568,12.58271312713623,0.13392440974712372,1.0,-0.09624204784631729,,,
e05_reference_a,5,0.9580000042915344,1.0509999990463257,3.5829532146453857,1.0628185272216797,1.0,0.6077209711074829,,,
e05_reference_b,0,0.1340000033378601,0.22499999403953552,-0.4172990620136261,1.3081454038619995,1.0,0.7860251665115356,,,
e05_reference_b,1,0.2980000078678131,0.39100000262260437,3.5829529762268066,1.0635000467300415,1.0,0.6081690192222595,,,
e05_reference_b,2,0.46399998664855957,0.5559999942779541,5.58267068862915,0.5695847272872925,1.0,0.4001123011112213,,,
e05_reference_b,3,0.6290000081062317,0.7200000286102295,12.58271312713623,0.13392475247383118,1.0,-0.0962420329451561,,,
e05_reference_b,4,0.7940000295639038,0.8859999775886536,10.58279037475586,0.17600306868553162,1.0,-0.09308008849620819,,,
