query_id,split,true_reference,true_score,true_margin,absent_max_ids,absent_max_score,absent_margin,true_minus_absent_max,present_distractor_max_ids,present_distractor_max_score,absent_and_present_impostor_same,true_impostor_gap_within_prior_1e_9_ranking_tolerance,accepted_present,accepted_absent,correct_singleton
e05_query_a_delete_closed,calibration,e05_reference_a,3.626412776084819,-3.441517417712703e-07,e05_distractor_0,3.6264132224483037,1.02211743069347e-07,-4.463634848406173e-07,e05_distractor_0,3.6264132224483037,True,False,e05_distractor_0,e05_distractor_0,False
e05_query_b_delete_closed,calibration,e05_reference_b,3.6264131202365606,0.0,e05_distractor_1,3.626413120118378,-1.1818279688213806e-10,1.1818279688213806e-10,e05_distractor_1,3.626413120118378,True,True,e05_reference_b,,True
e21_query_a_delete_closed,held_out,e21_reference_a,3.626412736448162,-3.8378839839481316e-07,e21_distractor_3,3.6264118440845605,-1.2761520000736937e-06,8.923636016788805e-07,e21_distractor_3,3.6264118440845605,True,False,,,False
e21_query_b_delete_closed,held_out,e21_reference_b,3.6264122287574763,-8.914790843306264e-07,e21_distractor_1,-1.045169196021451,-4.671582316258012,4.671581424778927,e21_distractor_1,-1.045169196021451,True,False,,,False
