query_id,candidate_id,path_index,used_for_support,reference_event,query_event,reference_pitch_semitones,query_pitch_semitones,pitch_residual_semitones,pitch_loss,reference_onset_s,query_onset_s,saved_onset_change_s,timing_residual_s,timing_loss
e05_query_a_delete_closed,e05_distractor_0,0,True,0,0,10.58279037475586,10.58279037475586,0.0,0.0,0.1340000033378601,0.1340000033378601,0.0,0.0,0.0
e05_query_a_delete_closed,e05_distractor_0,0,True,1,1,-0.4172993004322052,-0.4172993004322052,0.0,0.0,0.29899999499320984,0.29899999499320984,0.0,0.03714502638518202,0.06429005277036405
e05_query_a_delete_closed,e05_distractor_0,0,True,3,2,6.58261251449585,6.582613945007324,1.430511474609375e-06,0.0,0.6290000081062317,0.46399998664855957,-0.16500002145767212,-0.05356493559298603,0.09712987118597206
e05_query_a_delete_closed,e05_distractor_0,0,True,4,3,12.58271312713623,12.58271312713623,0.0,0.0,0.7940000295639038,0.6290000081062317,-0.16500002145767212,-0.016419902498663985,0.02283980499732797
e05_query_a_delete_closed,e05_distractor_0,0,True,5,4,3.5829532146453857,3.5829532146453857,0.0,0.0,0.9580000042915344,0.7929999828338623,-0.16500002145767212,0.020499998692309895,0.03099999738461979
e05_query_a_delete_closed,e05_distractor_0,1,False,0,0,10.58279037475586,10.58279037475586,0.0,0.0,0.1340000033378601,0.1340000033378601,0.0,-0.020499998692309895,0.03099999738461979
e05_query_a_delete_closed,e05_distractor_0,1,False,1,1,-0.4172993004322052,-0.4172993004322052,0.0,0.0,0.29899999499320984,0.29899999499320984,0.0,0.016645027692872127,0.023290055385744253
e05_query_a_delete_closed,e05_distractor_0,1,False,2,2,5.58267068862915,6.582613945007324,0.9999432563781738,0.4749716281890869,0.46399998664855957,0.46399998664855957,0.0,0.05379005407805415,0.0975801081561083
e05_query_a_delete_closed,e05_distractor_0,1,False,4,3,12.58271312713623,12.58271312713623,0.0,0.0,0.7940000295639038,0.6290000081062317,-0.16500002145767212,-0.03691990119097388,0.06383980238194777
e05_query_a_delete_closed,e05_distractor_0,1,False,5,4,3.5829532146453857,3.5829532146453857,0.0,0.0,0.9580000042915344,0.7929999828338623,-0.16500002145767212,0.0,0.0
e05_query_a_delete_closed,e05_reference_a,0,True,0,0,10.58279037475586,10.58279037475586,0.0,0.0,0.1340000033378601,0.1340000033378601,0.0,-0.020499998692309895,0.03099999738461979
e05_query_a_delete_closed,e05_reference_a,0,True,1,1,-0.4172993004322052,-0.4172993004322052,0.0,0.0,0.29899999499320984,0.29899999499320984,0.0,0.016645027692872127,0.023290055385744253
e05_query_a_delete_closed,e05_reference_a,0,True,2,2,6.582613945007324,6.582613945007324,0.0,0.0,0.46399998664855957,0.46399998664855957,0.0,0.05379005407805415,0.0975801081561083
e05_query_a_delete_closed,e05_reference_a,0,True,4,3,12.58271312713623,12.58271312713623,0.0,0.0,0.7940000295639038,0.6290000081062317,-0.16500002145767212,-0.03691990119097388,0.06383980238194777
