query_id,candidate_id,path_index,used_for_support,missing_reference_event,hypothesized_onset_s,hypothesized_offset_s,measured_window_start_s,measured_window_end_s,saved_frame_count,measured_max_rms,quiet_threshold_rms,observation,physical_cause,direct_energy_feature_in_support
e05_query_a_delete_closed,e05_distractor_0,0,True,2,0.3897099338781955,0.4609987725157218,0.40970993387819554,0.4409987725157218,7,4.256072383412857e-09,0.0018441960215568544,quiet_at_predicted_location,not_identified,False
e05_query_a_delete_closed,e05_distractor_0,1,False,3,0.5380649209338555,0.6093537595713817,0.5580649209338555,0.5893537595713817,6,0.019966745749115944,0.0018441960215568544,unresolved_observation,not_identified,False
e05_query_a_delete_closed,e05_reference_a,0,True,3,0.5380649209338555,0.6093537595713817,0.5580649209338555,0.5893537595713817,6,0.019966745749115944,0.0018441960215568544,unresolved_observation,not_identified,False
e05_query_a_delete_closed,e05_reference_a,1,False,2,0.3897099338781955,0.4609987725157218,0.40970993387819554,0.4409987725157218,7,4.256072383412857e-09,0.0018441960215568544,quiet_at_predicted_location,not_identified,False
e05_query_b_delete_closed,e05_distractor_1,0,True,2,0.38981241149659046,0.4603546404812025,0.4098124114965905,0.4403546404812025,7,0.0,0.0018441960215568544,quiet_at_predicted_location,not_identified,False
e05_query_b_delete_closed,e05_reference_b,0,True,3,0.5381876214051735,0.6087298503897856,0.5581876214051735,0.5887298503897855,6,0.022553524002432823,0.0018441960215568544,unresolved_observation,not_identified,False
e21_query_a_delete_closed,e21_distractor_3,0,True,2,0.3897500068694347,0.4610500173726766,0.4097500068694347,0.4410500173726766,7,0.0,0.0018463553488254547,quiet_at_predicted_location,not_identified,False
e21_query_a_delete_closed,e21_reference_a,0,True,3,0.5382500260323293,0.6095500365355712,0.5582500260323293,0.5895500365355711,6,0.023196540772914886,0.0018463553488254547,unresolved_observation,not_identified,False
e21_query_b_delete_closed,e21_distractor_1,0,True,1,0.19170000907868834,0.2735999954505389,0.21170000907868833,0.2535999954505389,8,0.12674112617969513,0.0018463553488254547,unresolved_observation,not_identified,False
e21_query_b_delete_closed,e21_distractor_1,0,True,3,0.48870000180692286,0.5715000033559212,0.5087000018069229,0.5515000033559212,9,0.18151645362377167,0.0018463553488254547,unresolved_observation,not_identified,False
e21_query_b_delete_closed,e21_distractor_1,1,False,2,0.3998220692154068,0.47113947084595315,0.4198220692154068,0.4511394708459531,7,0.0,0.0018463553488254547,quiet_at_predicted_location,not_identified,False
e21_query_b_delete_closed,e21_distractor_1,1,False,3,0.5277282846882175,0.5990456863187639,0.5477282846882175,0.5790456863187639,6,0.08711741864681244,0.0018463553488254547,unresolved_observation,not_identified,False
e21_query_b_delete_closed,e21_reference_b,0,True,3,0.5379627771967321,0.6092801788272785,0.5579627771967322,0.5892801788272785,6,0.01988767646253109,0.0018463553488254547,unresolved_observation,not_identified,False
