query_id,impostor_id,feature,true_value,impostor_value,raw_difference,frozen_scale,frozen_coefficient,coefficient_per_raw_unit,additive_gap_contribution
e05_query_a_delete_closed,e05_distractor_0,cost,0.15261832721807,0.1525432877230473,7.503949502271623e-05,28.839434573599693,-0.10067515138039233,-0.003490885063070993,-2.619542523151902e-07
e05_query_a_delete_closed,e05_distractor_0,matched_log,1.791759469228055,1.791759469228055,0.0,0.32247307413628085,0.3237922503675114,1.0040908104801118,0.0
e05_query_a_delete_closed,e05_distractor_0,reference_coverage,0.8333333333333334,0.8333333333333334,0.0,0.16871370270706523,0.8894460940114841,5.271925633425368,0.0
e05_query_a_delete_closed,e05_distractor_0,query_coverage,1.0,1.0,0.0,0.1841884855109096,1.2572359171587626,6.825811687801166,0.0
e05_query_a_delete_closed,e05_distractor_0,mean_pitch_loss,0.0,0.0,0.0,28.85229472495839,-0.04978551389297523,-0.0017255304774739032,-0.0
e05_query_a_delete_closed,e05_distractor_0,exact_pitch_fraction,1.0,1.0,0.0,0.2776053319402254,4.01406717154738,14.459618421204162,0.0
e05_query_a_delete_closed,e05_distractor_0,mean_timing_loss,0.043141992661684024,0.04305194526765677,9.004739402725115e-05,28.853889816902644,-0.05909025700431892,-0.0020479130328453594,-1.8440923180216898e-07
e05_query_a_delete_closed,e05_distractor_0,missing_fraction,0.16666666666666666,0.16666666666666666,0.0,0.16871370270706518,-0.88944609401149,-5.271925633425405,-0.0
e05_query_a_delete_closed,e05_distractor_0,inserted_fraction,0.0,0.0,0.0,0.18418848551090924,-1.2572359171587628,-6.825811687801181,-0.0
e05_query_a_delete_closed,e05_distractor_0,unreliable_query_fraction,0.0,0.0,0.0,0.0759914199575819,-0.1901067659209956,-2.5016872434692288,-0.0
e05_query_a_delete_closed,e05_distractor_0,reference_log,1.9459101490553132,1.9459101490553132,0.0,0.29722327461291553,-0.45896887318568824,-1.5441888720976504,-0.0
e05_query_a_delete_closed,e05_distractor_0,query_log,1.791759469228055,1.791759469228055,0.0,0.34433484181595764,-0.5436830291102611,-1.5789370202648632,-0.0
e05_query_b_delete_closed,e05_distractor_1,cost,0.15256047084370133,0.15256049071191627,-1.9868214934382067e-08,28.839434573599693,-0.10067515138039233,-0.003490885063070993,6.935765474431837e-11
e05_query_b_delete_closed,e05_distractor_1,matched_log,1.791759469228055,1.791759469228055,0.0,0.32247307413628085,0.3237922503675114,1.0040908104801118,0.0
e05_query_b_delete_closed,e05_distractor_1,reference_coverage,0.8333333333333334,0.8333333333333334,0.0,0.16871370270706523,0.8894460940114841,5.271925633425368,0.0
e05_query_b_delete_closed,e05_distractor_1,query_coverage,1.0,1.0,0.0,0.1841884855109096,1.2572359171587626,6.825811687801166,0.0
e05_query_b_delete_closed,e05_distractor_1,mean_pitch_loss,0.0,0.0,0.0,28.85229472495839,-0.04978551389297523,-0.0017255304774739032,-0.0
e05_query_b_delete_closed,e05_distractor_1,exact_pitch_fraction,1.0,1.0,0.0,0.2776053319402254,4.01406717154738,14.459618421204162,0.0
e05_query_b_delete_closed,e05_distractor_1,mean_timing_loss,0.04307256501244161,0.043072588854299536,-2.3841857925421817e-08,28.853889816902644,-0.05909025700431892,-0.0020479130328453594,4.882605157271876e-11
e05_query_b_delete_closed,e05_distractor_1,missing_fraction,0.16666666666666666,0.16666666666666666,0.0,0.16871370270706518,-0.88944609401149,-5.271925633425405,-0.0
e05_query_b_delete_closed,e05_distractor_1,inserted_fraction,0.0,0.0,0.0,0.18418848551090924,-1.2572359171587628,-6.825811687801181,-0.0
e05_query_b_delete_closed,e05_distractor_1,unreliable_query_fraction,0.0,0.0,0.0,0.0759914199575819,-0.1901067659209956,-2.5016872434692288,-0.0
e05_query_b_delete_closed,e05_distractor_1,reference_log,1.9459101490553132,1.9459101490553132,0.0,0.29722327461291553,-0.45896887318568824,-1.5441888720976504,-0.0
e05_query_b_delete_closed,e05_distractor_1,query_log,1.791759469228055,1.791759469228055,0.0,0.34433484181595764,-0.5436830291102611,-1.5789370202648632,-0.0
e21_query_a_delete_closed,e21_distractor_3,cost,0.15262499065448829,0.15277500855824894,-0.00015001790376065194,28.839434573599693,-0.10067515138039233,-0.003490885063070993,5.236952594312816e-07
e21_query_a_delete_closed,e21_distractor_3,matched_log,1.791759469228055,1.791759469228055,0.0,0.32247307413628085,0.3237922503675114,1.0040908104801118,0.0
e21_query_a_delete_closed,e21_distractor_3,reference_coverage,0.8333333333333334,0.8333333333333334,0.0,0.16871370270706523,0.8894460940114841,5.271925633425368,0.0
e21_query_a_delete_closed,e21_distractor_3,query_coverage,1.0,1.0,0.0,0.1841884855109096,1.2572359171587626,6.825811687801166,0.0
e21_query_a_delete_closed,e21_distractor_3,mean_pitch_loss,0.0,0.0,0.0,28.85229472495839,-0.04978551389297523,-0.0017255304774739032,-0.0
e21_query_a_delete_closed,e21_distractor_3,exact_pitch_fraction,1.0,1.0,0.0,0.2776053319402254,4.01406717154738,14.459618421204162,0.0
e21_query_a_delete_closed,e21_distractor_3,mean_timing_loss,0.04314998878538594,0.04333001026989873,-0.00018002148451279343,28.853889816902644,-0.05909025700431892,-0.0020479130328453594,3.6866834432591864e-07
e21_query_a_delete_closed,e21_distractor_3,missing_fraction,0.16666666666666666,0.16666666666666666,0.0,0.16871370270706518,-0.88944609401149,-5.271925633425405,-0.0
e21_query_a_delete_closed,e21_distractor_3,inserted_fraction,0.0,0.0,0.0,0.18418848551090924,-1.2572359171587628,-6.825811687801181,-0.0
