front,group,cell,condition,variant,true_events,predicted_events,matched_events,bounded_matches,precision,recall,f1,split_count,merge_count,split_rate,merge_rate,pitch_accuracy,pitch_availability,mean_pitch_error_available,octave_error_rate,mean_onset_error_s,mean_end_error_s,max_true_end_latency_s,max_inferred_end_latency_s
fixed,civ-08,joint,reset,0,3,3,2,0,0.0,0.0,0.0,0,0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.00021982439999821448,0.0,0.018468750000000003,0.01984375,-0.009875,0.0
oracle-boundary,civ-08,joint,reset,0,3,3,3,3,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,5.930578603321004e-05,0.0,0.0,0.0,0.054125,0.054125
streaming,civ-08,joint,reset,1,3,3,3,3,1.0,1.0,1.0,0,0,0.0,0.0,0.6666666666666666,1.0,6.375209001828065,0.0,0.009854166666666666,0.009916666666666666,0.0945625,0.096
fixed,civ-08,joint,reset,1,3,3,2,0,0.0,0.0,0.0,0,0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.00021982439999821448,0.0,0.018468750000000003,0.01984375,-0.009875,0.0
oracle-boundary,civ-08,joint,reset,1,3,3,3,3,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,5.930578603321004e-05,0.0,0.0,0.0,0.054125,0.054125
streaming,civ-08,joint,removal,0,9,9,9,9,1.0,1.0,1.0,0,0,0.0,0.0,0.5555555555555556,0.8888888888888888,7.1584715227422855,0.0,0.009743055555555555,0.00990277777777778,0.10075,0.104
fixed,civ-08,joint,removal,0,9,10,6,0,0.0,0.0,0.0,1,0,0.1111111111111111,0.0,0.5555555555555556,0.6666666666666666,2.0080033908531396,0.1111111111111111,0.01584375,0.02267708333333333,-0.008875,0.0
oracle-boundary,civ-08,joint,removal,0,9,9,9,9,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,6.840717286418545e-05,0.0,0.0,0.0,0.055125,0.055125
streaming,civ-08,joint,removal,1,9,9,9,9,1.0,1.0,1.0,0,0,0.0,0.0,0.5555555555555556,0.8888888888888888,7.1584715227422855,0.0,0.009743055555555555,0.00990277777777778,0.10075,0.104
fixed,civ-08,joint,removal,1,9,10,6,0,0.0,0.0,0.0,1,0,0.1111111111111111,0.0,0.5555555555555556,0.6666666666666666,2.0080033908531396,0.1111111111111111,0.01584375,0.02267708333333333,-0.008875,0.0
oracle-boundary,civ-08,joint,removal,1,9,9,9,9,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,6.840717286418545e-05,0.0,0.0,0.0,0.055125,0.055125
streaming,civ-08,joint,swap,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.45454545454545453,0.7272727272727273,7.160920636682948,0.0,0.010892045454545455,0.011636363636363637,0.0945625,0.096
fixed,civ-08,joint,swap,0,11,10,8,1,0.1,0.09090909090909091,0.09523809523809523,0,0,0.0,0.0,0.6363636363636364,0.7272727272727273,1.5100317812169024,0.09090909090909091,0.0188984375,0.0191796875,0.00275,0.0
oracle-boundary,civ-08,joint,swap,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,7.865723019235682e-05,0.0,0.0,0.0,0.055125,0.055125
streaming,civ-08,joint,swap,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.45454545454545453,0.7272727272727273,7.159008519365369,0.0,0.010892045454545455,0.011522727272727273,0.0945625,0.096
fixed,civ-08,joint,swap,1,11,10,8,1,0.1,0.09090909090909091,0.09523809523809523,0,0,0.0,0.0,0.6363636363636364,0.7272727272727273,1.5070226299414131,0.09090909090909091,0.0188984375,0.0191796875,0.00275,0.0
oracle-boundary,civ-08,joint,swap,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,7.865723019235682e-05,0.0,0.0,0.0,0.055125,0.055125
