front,precision,precision_lower95,precision_upper95,recall,recall_lower95,recall_upper95,f1,f1_lower95,f1_upper95,split_rate,split_rate_lower95,split_rate_upper95,merge_rate,merge_rate_lower95,merge_rate_upper95,pitch_accuracy,pitch_accuracy_lower95,pitch_accuracy_upper95,pitch_availability,pitch_availability_lower95,pitch_availability_upper95,octave_error_rate,octave_error_rate_lower95,octave_error_rate_upper95,mean_pitch_error_available,mean_pitch_error_available_lower95,mean_pitch_error_available_upper95,mean_onset_error_s,mean_onset_error_s_lower95,mean_onset_error_s_upper95,mean_end_error_s,mean_end_error_s_lower95,mean_end_error_s_upper95,max_true_end_latency_s,max_inferred_end_latency_s
streaming,0.9717592592592592,0.9487268518518519,0.9916666666666667,0.9660493827160495,0.9163860830527497,1.0,0.968314595098146,0.9330113433626692,0.9956458174421561,0.0,0.0,0.0,0.016975308641975308,0.0,0.04180695847362514,0.69760101010101,0.6120931537598204,0.796226150392817,0.9212962962962963,0.864337822671156,0.979868125701459,0.0838945005611672,0.035353535353535345,0.13215488215488214,3.3542615948323915,1.7412368246839545,4.941143365792284,0.008261234618005452,0.007113320707070707,0.009362531565656565,0.009167765201619368,0.008183682058682059,0.009979824284511784,0.12025,0.104
fixed,0.14215932228461253,0.10941992092421014,0.1796813453789073,0.17452300785634114,0.13636363636363635,0.2279741863075196,0.15464321922686491,0.12134810963448728,0.19532315158481242,0.39443041526374856,0.19893378226711558,0.5975028058361391,0.14604377104377103,0.06053591470258137,0.23730359147025815,0.6945847362514029,0.6572671156004489,0.7368125701459035,0.7115600448933782,0.6856060606060606,0.7459315375982043,0.007856341189674524,0.0,0.018518518518518517,0.36244092612282475,0.02691843772951829,0.7872709383073544,0.017507452532517637,0.016966009769069666,0.018152881117724867,0.02166573764054233,0.02048303158068783,0.02270850935570988,0.011875,0.0
oracle-boundary,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0014043635270083606,0.0008724240587715742,0.002098355115174989,0.0,0.0,0.0,0.0,0.0,0.0,0.063875,0.063875
