adapter,family,groups,availability,availability_lower95,availability_upper95,correct,correct_lower95,correct_upper95,mean_absolute_error_available,mean_absolute_error_available_lower95,mean_absolute_error_available_upper95,octave_error_rate,octave_error_rate_lower95,octave_error_rate_upper95,two_octave_error_rate,two_octave_error_rate_lower95,two_octave_error_rate_upper95
old,all,24,1.0,1.0,1.0,0.8067010309278352,0.7139175257731959,0.8943298969072165,2.3196039939193795,1.2680519071758787,3.4330047752675106,0.19329896907216496,0.1056701030927835,0.28608247422680416,0.0,0.0,0.0
old,pure,6,1.0,1.0,1.0,1.0,1.0,1.0,1.5083220178459604e-05,6.609629249748764e-06,2.455045857320637e-05,0.0,0.0,0.0,0.0,0.0,0.0
old,fundamental,6,1.0,1.0,1.0,1.0,1.0,1.0,2.2015971937523925e-05,1.0261862322968095e-05,3.494851575255531e-05,0.0,0.0,0.0,0.0,0.0,0.0
old,overtone,12,1.0,1.0,1.0,0.6134020618556701,0.5283505154639175,0.6984536082474228,4.6391894382427,3.6185661713041317,5.6598108317266975,0.3865979381443299,0.30154639175257736,0.4716494845360824,0.0,0.0,0.0
repaired,all,24,1.0,1.0,1.0,1.0,1.0,1.0,0.004079221575482531,0.0031829985229768058,0.0050132948422182445,0.0,0.0,0.0,0.0,0.0,0.0
repaired,pure,6,1.0,1.0,1.0,1.0,1.0,1.0,0.004332165116910677,0.001985927278163159,0.006872362091441823,0.0,0.0,0.0,0.0,0.0,0.0
repaired,fundamental,6,1.0,1.0,1.0,1.0,1.0,1.0,0.004168346599923535,0.002357114089652041,0.005925267658666743,0.0,0.0,0.0,0.0,0.0,0.0
repaired,overtone,12,1.0,1.0,1.0,1.0,1.0,1.0,0.003908187292547956,0.0029669243008274763,0.0048053912320962155,0.0,0.0,0.0,0.0,0.0,0.0
