adapter,group,family,register,cell,condition,variant,arrival,available,correct,absolute_error,octave_error,two_octave_error
repaired,for-16,fundamental,0,joint,removal,0,7,1.0,1.0,0.005723626116425962,0.0,0.0
old,for-16,fundamental,0,joint,removal,0,11,1.0,1.0,3.1529489380850015e-05,0.0,0.0
repaired,for-16,fundamental,0,joint,removal,0,11,1.0,1.0,0.002260502828990359,0.0,0.0
old,for-16,fundamental,0,joint,removal,0,12,1.0,1.0,2.145911632922548e-05,0.0,0.0
repaired,for-16,fundamental,0,joint,removal,0,12,1.0,1.0,0.003149972581134808,0.0,0.0
old,for-16,fundamental,0,joint,removal,0,13,1.0,1.0,2.437804792521092e-05,0.0,0.0
repaired,for-16,fundamental,0,joint,removal,0,13,1.0,1.0,0.0019105707643909398,0.0,0.0
old,for-16,fundamental,0,joint,removal,1,0,1.0,1.0,6.39834763256136e-05,0.0,0.0
repaired,for-16,fundamental,0,joint,removal,1,0,1.0,1.0,0.009693579214476993,0.0,0.0
old,for-16,fundamental,0,joint,removal,1,1,1.0,1.0,2.7625300753619797e-05,0.0,0.0
repaired,for-16,fundamental,0,joint,removal,1,1,1.0,1.0,0.013511066260936566,0.0,0.0
old,for-16,fundamental,0,joint,removal,1,2,1.0,1.0,3.5376485829630155e-06,0.0,0.0
repaired,for-16,fundamental,0,joint,removal,1,2,1.0,1.0,0.005723626116425962,0.0,0.0
old,for-16,fundamental,0,joint,removal,1,5,1.0,1.0,6.39834763256136e-05,0.0,0.0
repaired,for-16,fundamental,0,joint,removal,1,5,1.0,1.0,0.009693579214476993,0.0,0.0
old,for-16,fundamental,0,joint,removal,1,6,1.0,1.0,9.517469632935871e-05,0.0,0.0
repaired,for-16,fundamental,0,joint,removal,1,6,1.0,1.0,0.01088300551649879,0.0,0.0
old,for-16,fundamental,0,joint,removal,1,7,1.0,1.0,3.5376485829630155e-06,0.0,0.0
repaired,for-16,fundamental,0,joint,removal,1,7,1.0,1.0,0.005723626116425962,0.0,0.0
old,for-16,fundamental,0,joint,removal,1,11,1.0,1.0,3.1529489380850015e-05,0.0,0.0
repaired,for-16,fundamental,0,joint,removal,1,11,1.0,1.0,0.002260502828990359,0.0,0.0
old,for-16,fundamental,0,joint,removal,1,12,1.0,1.0,2.145911632922548e-05,0.0,0.0
repaired,for-16,fundamental,0,joint,removal,1,12,1.0,1.0,0.003149972581134808,0.0,0.0
old,for-16,fundamental,0,joint,removal,1,13,1.0,1.0,2.437804792521092e-05,0.0,0.0
repaired,for-16,fundamental,0,joint,removal,1,13,1.0,1.0,0.0019105707643909398,0.0,0.0
old,for-16,fundamental,0,joint,swap,0,0,1.0,1.0,6.39834763256136e-05,0.0,0.0
repaired,for-16,fundamental,0,joint,swap,0,0,1.0,1.0,0.009693579214476993,0.0,0.0
old,for-16,fundamental,0,joint,swap,0,1,1.0,1.0,2.7625300753619797e-05,0.0,0.0
repaired,for-16,fundamental,0,joint,swap,0,1,1.0,1.0,0.013511066260936566,0.0,0.0
old,for-16,fundamental,0,joint,swap,0,2,1.0,1.0,3.5376485829630155e-06,0.0,0.0
repaired,for-16,fundamental,0,joint,swap,0,2,1.0,1.0,0.005723626116425962,0.0,0.0
old,for-16,fundamental,0,joint,swap,0,3,1.0,1.0,7.316370954413287e-06,0.0,0.0
repaired,for-16,fundamental,0,joint,swap,0,3,1.0,1.0,0.003835515740728823,0.0,0.0
old,for-16,fundamental,0,joint,swap,0,5,1.0,1.0,6.39834763256136e-05,0.0,0.0
repaired,for-16,fundamental,0,joint,swap,0,5,1.0,1.0,0.009693579214476993,0.0,0.0
old,for-16,fundamental,0,joint,swap,0,6,1.0,1.0,9.517469632935871e-05,0.0,0.0
repaired,for-16,fundamental,0,joint,swap,0,6,1.0,1.0,0.01088300551649879,0.0,0.0
old,for-16,fundamental,0,joint,swap,0,7,1.0,1.0,3.5376485829630155e-06,0.0,0.0
repaired,for-16,fundamental,0,joint,swap,0,7,1.0,1.0,0.005723626116425962,0.0,0.0
