group,pitched_events,missing_measurements,availability,mean_support_duration_s,max_extra_processing_seconds
ewr-08,178,0,1.0,0.06197752808988764,0.000834125
ewr-09,178,0,1.0,0.06593258426966292,0.000993416
ewr-10,178,0,1.0,0.06728089887640448,0.001048458
ewr-11,178,0,1.0,0.06862921348314606,0.0010345
ewr-12,180,2,0.9888888888888889,0.061644444444444446,0.000873833
ewr-13,178,0,1.0,0.0663370786516854,0.001205417
ewr-14,178,0,1.0,0.0672808988764045,0.001088125
ewr-15,178,0,1.0,0.06844943820224719,0.001337
