model,group,cell,condition,variant,accuracy,log_loss,brier
repaired/transition1,ewr-08,joint,removal,0,1.0,0.9817763680502767,0.5626252924999999
repaired/transition2,ewr-08,joint,removal,0,1.0,0.9817763680502767,0.5626252924999999
repaired/transition3,ewr-08,joint,removal,0,1.0,0.9817763680502767,0.5626252924999999
streaming/absolute,ewr-08,joint,removal,0,1.0,0.9817763680502767,0.5626252924999999
streaming/present,ewr-08,joint,removal,0,1.0,0.9817763680502767,0.5626252924999999
streaming/recency,ewr-08,joint,removal,0,1.0,1.0293194621721604,0.5694812499999999
streaming/reference,ewr-08,joint,removal,0,1.0,0.9817763680502767,0.5626252924999999
streaming/transition1,ewr-08,joint,removal,0,1.0,0.9817763680502767,0.5626252924999999
streaming/transition2,ewr-08,joint,removal,0,1.0,0.9817763680502767,0.5626252924999999
streaming/transition3,ewr-08,joint,removal,0,1.0,0.9817763680502767,0.5626252924999999
fixed/absolute,ewr-08,joint,removal,0,1.0,0.9817763680502767,0.5626252924999999
fixed/present,ewr-08,joint,removal,0,1.0,0.9817763680502767,0.5626252924999999
fixed/recency,ewr-08,joint,removal,0,0.0,6.907755278982137,1.90245
fixed/reference,ewr-08,joint,removal,0,1.0,0.9817763680502767,0.5626252924999999
fixed/transition1,ewr-08,joint,removal,0,0.0,10.819778284410283,1.99800098
fixed/transition2,ewr-08,joint,removal,0,1.0,0.9817763680502767,0.5626252924999999
fixed/transition3,ewr-08,joint,removal,0,1.0,0.9817763680502767,0.5626252924999999
oracle-boundary/absolute,ewr-08,joint,removal,0,1.0,0.9817763680502767,0.5626252924999999
oracle-boundary/present,ewr-08,joint,removal,0,1.0,0.9817763680502767,0.5626252924999999
oracle-boundary/recency,ewr-08,joint,removal,0,1.0,1.0293194621721604,0.5694812499999999
oracle-boundary/reference,ewr-08,joint,removal,0,1.0,0.9817763680502767,0.5626252924999999
oracle-boundary/transition1,ewr-08,joint,removal,0,1.0,0.9817763680502767,0.5626252924999999
oracle-boundary/transition2,ewr-08,joint,removal,0,1.0,0.9817763680502767,0.5626252924999999
oracle-boundary/transition3,ewr-08,joint,removal,0,1.0,0.9817763680502767,0.5626252924999999
repaired/absolute,ewr-08,joint,removal,1,0.0,0.9817763680502767,0.5626252924999999
repaired/present,ewr-08,joint,removal,1,0.0,0.9817763680502767,0.5626252924999999
