front,group,precision,recall,f1,split_rate,merge_rate,pitch_accuracy,pitch_availability,octave_error_rate,mean_pitch_error_available,mean_onset_error_s,mean_end_error_s,max_true_end_latency_s,max_inferred_end_latency_s
repaired,ewr-08,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0037404085603974357,0.009365249719416387,0.009810395622895624,0.10075,0.104
repaired,ewr-09,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0003070519947092501,0.009073933782267115,0.011460157126823795,0.1164375,0.104
repaired,ewr-10,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.00033676028821369387,0.00994016554433221,0.01015242704826038,0.1134375,0.104
repaired,ewr-11,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0020621054464077374,0.005174593153759821,0.006126332772166105,0.1149375,0.104
repaired,ewr-12,0.9907407407407407,1.0,0.9951690821256037,0.0,0.0,1.0,1.0,0.0,0.0019402509682376616,0.009608094837261502,0.009957842312008981,0.0955,0.096
repaired,ewr-13,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0005337220033187377,0.008505751964085298,0.011161054994388329,0.1134375,0.104
repaired,ewr-14,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0007241438132928542,0.010289632435465768,0.010245019640852972,0.1126875,0.104
repaired,ewr-15,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0050596605958296665,0.01039225589225589,0.011122685185185185,0.12025,0.104
streaming,ewr-08,1.0,1.0,1.0,0.0,0.0,0.6223344556677889,0.8007856341189673,0.0,3.2930008769582666,0.009365249719416387,0.009810395622895624,0.10075,0.104
streaming,ewr-09,1.0,1.0,1.0,0.0,0.0,0.38720538720538716,1.0,0.44893378226711556,8.165441100804582,0.009073933782267115,0.011460157126823795,0.1164375,0.104
streaming,ewr-10,1.0,1.0,1.0,0.0,0.0,0.6958473625140291,1.0,0.0,3.7687360941594963,0.00994016554433221,0.01015242704826038,0.1134375,0.104
streaming,ewr-11,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.05302390797453119,0.005174593153759821,0.006126332772166105,0.1149375,0.104
streaming,ewr-12,0.9907407407407407,1.0,0.9951690821256037,0.0,0.0,0.6616161616161617,0.851290684624018,0.0897867564534231,3.537521358168083,0.009608094837261502,0.009957842312008981,0.0955,0.096
streaming,ewr-13,1.0,1.0,1.0,0.0,0.0,0.5207631874298542,0.9696969696969698,0.19304152637485966,7.503913156882005,0.008505751964085298,0.011161054994388329,0.1134375,0.104
streaming,ewr-14,1.0,1.0,1.0,0.0,0.0,0.5937149270482602,1.0,0.0897867564534231,6.4872228269302274,0.010289632435465768,0.010245019640852972,0.1126875,0.104
streaming,ewr-15,1.0,1.0,1.0,0.0,0.0,0.5707070707070707,1.0,0.0830527497194164,5.657854940288966,0.01039225589225589,0.011122685185185185,0.12025,0.104
fixed,ewr-08,0.17699214365881033,0.1515151515151515,0.16305916305916304,0.09988776655443321,0.0,0.7508417508417508,0.7710437710437711,0.0,0.02555430492537462,0.017858506944444446,0.019913387345679014,0.010375,0.0
fixed,ewr-09,0.12275132275132276,0.1515151515151515,0.1353177257525084,0.3591470258136924,0.1285072951739618,0.6509539842873177,0.8136924803591471,0.010101010101010102,3.5639335307362154,0.016973875661375662,0.021254409171075836,0.008875,0.0
fixed,ewr-10,0.10529100529100528,0.1313131313131313,0.11644466465722506,0.24354657687991021,0.06565656565656565,0.7037037037037037,0.7138047138047138,0.0,0.020920846647119136,0.016992766203703706,0.02054832175925926,0.007375,0.0
fixed,ewr-11,0.08412763253449528,0.1313131313131313,0.10252082953232378,0.7379349046015713,0.2789001122334455,0.7138047138047138,0.7138047138047138,0.0,0.01816138843079194,0.016714120370370372,0.021670717592592592,0.005875,0.0
fixed,ewr-12,0.14567901234567898,0.1313131313131313,0.13783068783068783,0.05050505050505051,0.020202020202020204,0.6711560044893378,0.6711560044893378,0.0,0.015909672120907735,0.01744469246031746,0.021698660714285715,0.011875,0.0
fixed,ewr-13,0.11202686202686202,0.1313131313131313,0.12083735909822864,0.1526374859708193,0.010101010101010102,0.6509539842873177,0.734006734006734,0.07295173961840627,1.5301122602571573,0.016902970679012346,0.023751929012345678,0.0078125,0.0
fixed,ewr-14,0.24238354238354237,0.2940516273849607,0.26492726096590835,0.3047138047138047,0.12345679012345677,0.6711560044893379,0.6812570145903479,0.0,0.3398218009730548,0.017096265983245148,0.02382675540123457,0.0115,0.0
fixed,ewr-15,0.16838419578357658,0.27384960718294044,0.2084862330739392,0.9017957351290684,0.44668911335578,0.6408529741863074,0.6711560044893379,0.010101010101010102,0.8265431560928624,0.019277314814814817,0.022145833333333333,0.0113125,0.0
oracle-boundary,ewr-08,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0024186438276040585,0.0,0.0,0.055125,0.055125
oracle-boundary,ewr-09,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0016859440076688237,0.0,0.0,0.054,0.054
oracle-boundary,ewr-10,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0014183985235854488,0.0,0.0,0.06375,0.06375
oracle-boundary,ewr-11,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0024774480671402982,0.0,0.0,0.06225,0.06225
oracle-boundary,ewr-12,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.000748671916190298,0.0,0.0,0.0635,0.0635
oracle-boundary,ewr-13,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0007573480874195034,0.0,0.0,0.062375,0.062375
oracle-boundary,ewr-14,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0018245377393563407,0.0,0.0,0.06125,0.06125
oracle-boundary,ewr-15,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.005188197559260783,0.0,0.0,0.063875,0.063875
