front,group,cell,condition,variant,true_events,predicted_events,matched_events,bounded_matches,precision,recall,f1,split_count,merge_count,split_rate,merge_rate,pitch_accuracy,pitch_availability,mean_pitch_error_available,octave_error_rate,mean_onset_error_s,mean_end_error_s,max_true_end_latency_s,max_inferred_end_latency_s
streaming,ewr-08,joint,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.45454545454545453,0.7272727272727273,4.826934190065607,0.0,0.01052840909090909,0.010795454545454546,0.0945625,0.096
fixed,ewr-08,joint,intact,0,11,10,8,1,0.1,0.09090909090909091,0.09523809523809523,1,0,0.09090909090909091,0.0,0.7272727272727273,0.7272727272727273,0.011820165848692795,0.0,0.0190234375,0.019953125000000002,0.00275,0.0
oracle-boundary,ewr-08,joint,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00011118950762567214,0.0,0.0,0.0,0.055125,0.055125
repaired,ewr-08,joint,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00038752888586682016,0.0,0.010164772727272729,0.010545454545454545,0.0945625,0.096
streaming,ewr-08,joint,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.45454545454545453,0.7272727272727273,4.828495423699831,0.0,0.010164772727272729,0.010545454545454545,0.0945625,0.096
fixed,ewr-08,joint,intact,1,11,10,8,1,0.1,0.09090909090909091,0.09523809523809523,1,0,0.09090909090909091,0.0,0.7272727272727273,0.7272727272727273,0.015483028032625043,0.0,0.0190234375,0.019953125000000002,0.00275,0.0
oracle-boundary,ewr-08,joint,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00011118950762567214,0.0,0.0,0.0,0.055125,0.055125
repaired,ewr-08,joint,reset,0,3,3,3,3,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0003325664326506346,0.0,0.0071874999999999994,0.0072499999999999995,0.0945625,0.096
streaming,ewr-08,joint,reset,0,3,3,3,3,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.1015956916569365,0.0,0.0071874999999999994,0.0072499999999999995,0.0945625,0.096
fixed,ewr-08,joint,reset,0,3,4,3,0,0.0,0.0,0.0,1,0,0.3333333333333333,0.0,1.0,1.0,0.025239779430941283,0.0,0.015604166666666669,0.024374999999999997,-0.009875,0.0
oracle-boundary,ewr-08,joint,reset,0,3,3,3,3,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0001132357431439986,0.0,0.0,0.0,0.054125,0.054125
repaired,ewr-08,joint,reset,1,3,3,3,3,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0003325664326506346,0.0,0.0071874999999999994,0.0072499999999999995,0.0945625,0.096
streaming,ewr-08,joint,reset,1,3,3,3,3,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.1015956916569365,0.0,0.0071874999999999994,0.0072499999999999995,0.0945625,0.096
fixed,ewr-08,joint,reset,1,3,4,3,0,0.0,0.0,0.0,1,0,0.3333333333333333,0.0,1.0,1.0,0.025239779430941283,0.0,0.015604166666666669,0.024374999999999997,-0.009875,0.0
oracle-boundary,ewr-08,joint,reset,1,3,3,3,3,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0001132357431439986,0.0,0.0,0.0,0.054125,0.054125
repaired,ewr-08,joint,removal,0,9,9,9,9,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0005411300088622268,0.0,0.009298611111111112,0.009458333333333334,0.10075,0.104
streaming,ewr-08,joint,removal,0,9,9,9,9,1.0,1.0,1.0,0,0,0.0,0.0,0.5555555555555556,0.8888888888888888,4.826613403871983,0.0,0.009298611111111112,0.009458333333333334,0.10075,0.104
fixed,ewr-08,joint,removal,0,9,10,6,0,0.0,0.0,0.0,1,0,0.1111111111111111,0.0,0.6666666666666666,0.6666666666666666,0.015057028162327409,0.0,0.01601041666666667,0.02370833333333333,-0.008875,0.0
oracle-boundary,ewr-08,joint,removal,0,9,9,9,9,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00010211194780685736,0.0,0.0,0.0,0.055125,0.055125
repaired,ewr-08,joint,removal,1,9,9,9,9,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0005411300088622268,0.0,0.009298611111111112,0.009458333333333334,0.10075,0.104
streaming,ewr-08,joint,removal,1,9,9,9,9,1.0,1.0,1.0,0,0,0.0,0.0,0.5555555555555556,0.8888888888888888,4.826613403871983,0.0,0.009298611111111112,0.009458333333333334,0.10075,0.104
fixed,ewr-08,joint,removal,1,9,10,6,0,0.0,0.0,0.0,1,0,0.1111111111111111,0.0,0.6666666666666666,0.6666666666666666,0.015057028162327409,0.0,0.01601041666666667,0.02370833333333333,-0.008875,0.0
oracle-boundary,ewr-08,joint,removal,1,9,9,9,9,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00010211194780685736,0.0,0.0,0.0,0.055125,0.055125
repaired,ewr-08,joint,swap,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00038752888586682016,0.0,0.010164772727272729,0.010545454545454545,0.0945625,0.096
streaming,ewr-08,joint,swap,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.45454545454545453,0.7272727272727273,4.828495423699831,0.0,0.010164772727272729,0.010545454545454545,0.0945625,0.096
fixed,ewr-08,joint,swap,0,11,10,8,1,0.1,0.09090909090909091,0.09523809523809523,1,0,0.09090909090909091,0.0,0.7272727272727273,0.7272727272727273,0.015483028032625043,0.0,0.0190234375,0.019953125000000002,0.00275,0.0
oracle-boundary,ewr-08,joint,swap,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00011118950762567214,0.0,0.0,0.0,0.055125,0.055125
repaired,ewr-08,joint,swap,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.009635934205071346,0.0,0.01052840909090909,0.010795454545454546,0.0945625,0.096
streaming,ewr-08,joint,swap,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.45454545454545453,0.7272727272727273,4.826934190065607,0.0,0.01052840909090909,0.010795454545454546,0.0945625,0.096
