group,cell,condition,variant,whole_duration_s,support_duration_s,available,cycles,extra_processing_seconds
ewr-08,joint,intact,0,0.084,0.052,1,9.028062850943918,0.0001495
ewr-08,joint,intact,0,0.084,0.052,1,12.120594569497175,0.000376042
ewr-08,joint,intact,0,0.108,0.076,1,23.645950767106175,0.000212209
ewr-08,joint,intact,0,0.108,0.076,1,17.714649534527812,0.000416042
ewr-08,joint,intact,0,0.076,0.044,1,7.683181361595909,0.000783542
ewr-08,joint,intact,1,0.108,0.076,1,23.645893847525535,0.000611917
ewr-08,joint,intact,1,0.104,0.072,1,16.782186164524404,0.000212209
ewr-08,joint,intact,1,0.084,0.052,1,9.080384383831174,0.000636125
ewr-08,joint,intact,1,0.084,0.052,1,12.120153651002214,0.000196
ewr-08,joint,intact,1,0.108,0.076,1,23.64602442426788,0.000807333
ewr-08,joint,intact,1,0.104,0.072,1,15.840290429060778,0.000390625
ewr-08,joint,intact,1,0.08,0.048,1,8.38121395223498,0.000187291
ewr-08,joint,intact,1,0.076,0.044,1,5.755976640791292,0.000513375
ewr-08,joint,intact,1,0.108,0.076,1,23.645950767106175,0.000208958
ewr-08,joint,intact,1,0.108,0.076,1,17.714649534527812,0.000414541
ewr-08,joint,intact,1,0.076,0.044,1,7.683181361595909,0.000724042
ewr-08,joint,reset,0,0.108,0.076,1,23.645950767106175,0.000206583
ewr-08,joint,reset,0,0.108,0.076,1,17.714649534527812,0.000427208
ewr-08,joint,reset,0,0.076,0.044,1,7.683181361595909,0.000734834
ewr-08,joint,reset,1,0.108,0.076,1,23.645950767106175,0.000207458
ewr-08,joint,reset,1,0.108,0.076,1,17.714649534527812,0.0004395
ewr-08,joint,reset,1,0.076,0.044,1,7.683181361595909,0.000719542
ewr-08,joint,removal,0,0.108,0.076,1,23.645893847525535,0.000633625
ewr-08,joint,removal,0,0.104,0.072,1,16.782186164524404,0.000205458
ewr-08,joint,removal,0,0.064,0.032,1,5.588129987876728,0.000613208
ewr-08,joint,removal,0,0.108,0.076,1,23.64602442426788,0.00079425
ewr-08,joint,removal,0,0.104,0.072,1,15.840290429060778,0.000372917
ewr-08,joint,removal,0,0.064,0.032,1,5.587225119667623,0.000802542
ewr-08,joint,removal,0,0.108,0.076,1,23.645950767106175,0.00021125
ewr-08,joint,removal,0,0.108,0.076,1,17.714649534527812,0.00044275
