model,group,cell,condition,accuracy,paired_success,log_loss,brier
oracle-boundary/recency,ewr-08,joint,intact,0.0,0.0,6.907755278982137,1.90245
oracle-boundary/reference,ewr-08,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/transition1,ewr-08,joint,intact,0.5,0.0,0.69410764165507,0.50000048
oracle-boundary/transition2,ewr-08,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/transition3,ewr-08,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired/absolute,ewr-08,joint,reset,0.5,0.0,0.9817763680502767,0.5626252924999999
repaired/present,ewr-08,joint,reset,0.5,0.0,0.9817763680502767,0.5626252924999999
repaired/recency,ewr-08,joint,reset,0.5,0.0,1.0293194621721604,0.5694812499999999
repaired/reference,ewr-08,joint,reset,0.5,0.0,0.9817763680502767,0.5626252924999999
repaired/transition1,ewr-08,joint,reset,0.5,0.0,0.9817763680502767,0.5626252924999999
repaired/transition2,ewr-08,joint,reset,0.5,0.0,0.9817763680502767,0.5626252924999999
repaired/transition3,ewr-08,joint,reset,0.5,0.0,0.9817763680502767,0.5626252924999999
streaming/absolute,ewr-08,joint,reset,0.5,0.0,0.9817763680502767,0.5626252924999999
streaming/present,ewr-08,joint,reset,0.5,0.0,0.9817763680502767,0.5626252924999999
streaming/recency,ewr-08,joint,reset,0.5,0.0,1.0293194621721604,0.5694812499999999
streaming/reference,ewr-08,joint,reset,0.5,0.0,0.9817763680502767,0.5626252924999999
streaming/transition1,ewr-08,joint,reset,0.5,0.0,0.9817763680502767,0.5626252924999999
streaming/transition2,ewr-08,joint,reset,0.5,0.0,0.9817763680502767,0.5626252924999999
streaming/transition3,ewr-08,joint,reset,0.5,0.0,0.9817763680502767,0.5626252924999999
fixed/absolute,ewr-08,joint,reset,0.5,0.0,0.9817763680502767,0.5626252924999999
fixed/present,ewr-08,joint,reset,0.5,0.0,0.9817763680502767,0.5626252924999999
fixed/recency,ewr-08,joint,reset,0.0,0.0,6.907755278982137,1.90245
fixed/reference,ewr-08,joint,reset,0.5,0.0,0.9817763680502767,0.5626252924999999
fixed/transition1,ewr-08,joint,reset,0.0,0.0,10.819778284410283,1.99800098
fixed/transition2,ewr-08,joint,reset,0.5,0.0,0.9817763680502767,0.5626252924999999
fixed/transition3,ewr-08,joint,reset,0.5,0.0,0.9817763680502767,0.5626252924999999
oracle-boundary/absolute,ewr-08,joint,reset,0.5,0.0,0.9817763680502767,0.5626252924999999
oracle-boundary/present,ewr-08,joint,reset,0.5,0.0,0.9817763680502767,0.5626252924999999
oracle-boundary/recency,ewr-08,joint,reset,0.5,0.0,1.0293194621721604,0.5694812499999999
oracle-boundary/reference,ewr-08,joint,reset,0.5,0.0,0.9817763680502767,0.5626252924999999
oracle-boundary/transition1,ewr-08,joint,reset,0.5,0.0,0.9817763680502767,0.5626252924999999
oracle-boundary/transition2,ewr-08,joint,reset,0.5,0.0,0.9817763680502767,0.5626252924999999
oracle-boundary/transition3,ewr-08,joint,reset,0.5,0.0,0.9817763680502767,0.5626252924999999
repaired/absolute,ewr-08,joint,removal,0.5,0.0,0.9817763680502767,0.5626252924999999
repaired/present,ewr-08,joint,removal,0.5,0.0,0.9817763680502767,0.5626252924999999
repaired/recency,ewr-08,joint,removal,0.5,0.0,1.0293194621721604,0.5694812499999999
repaired/reference,ewr-08,joint,removal,0.5,0.0,0.9817763680502767,0.5626252924999999
repaired/transition1,ewr-08,joint,removal,0.5,0.0,0.9817763680502767,0.5626252924999999
repaired/transition2,ewr-08,joint,removal,0.5,0.0,0.9817763680502767,0.5626252924999999
repaired/transition3,ewr-08,joint,removal,0.5,0.0,0.9817763680502767,0.5626252924999999
streaming/absolute,ewr-08,joint,removal,0.5,0.0,0.9817763680502767,0.5626252924999999
streaming/present,ewr-08,joint,removal,0.5,0.0,0.9817763680502767,0.5626252924999999
streaming/recency,ewr-08,joint,removal,0.5,0.0,1.0293194621721604,0.5694812499999999
streaming/reference,ewr-08,joint,removal,0.5,0.0,0.9817763680502767,0.5626252924999999
streaming/transition1,ewr-08,joint,removal,0.5,0.0,0.9817763680502767,0.5626252924999999
streaming/transition2,ewr-08,joint,removal,0.5,0.0,0.9817763680502767,0.5626252924999999
streaming/transition3,ewr-08,joint,removal,0.5,0.0,0.9817763680502767,0.5626252924999999
fixed/absolute,ewr-08,joint,removal,0.5,0.0,0.9817763680502767,0.5626252924999999
fixed/present,ewr-08,joint,removal,0.5,0.0,0.9817763680502767,0.5626252924999999
fixed/recency,ewr-08,joint,removal,0.0,0.0,6.907755278982137,1.90245
fixed/reference,ewr-08,joint,removal,0.5,0.0,0.9817763680502767,0.5626252924999999
fixed/transition1,ewr-08,joint,removal,0.0,0.0,10.819778284410283,1.99800098
fixed/transition2,ewr-08,joint,removal,0.5,0.0,0.9817763680502767,0.5626252924999999
fixed/transition3,ewr-08,joint,removal,0.5,0.0,0.9817763680502767,0.5626252924999999
oracle-boundary/absolute,ewr-08,joint,removal,0.5,0.0,0.9817763680502767,0.5626252924999999
oracle-boundary/present,ewr-08,joint,removal,0.5,0.0,0.9817763680502767,0.5626252924999999
oracle-boundary/recency,ewr-08,joint,removal,0.5,0.0,1.0293194621721604,0.5694812499999999
oracle-boundary/reference,ewr-08,joint,removal,0.5,0.0,0.9817763680502767,0.5626252924999999
oracle-boundary/transition1,ewr-08,joint,removal,0.5,0.0,0.9817763680502767,0.5626252924999999
oracle-boundary/transition2,ewr-08,joint,removal,0.5,0.0,0.9817763680502767,0.5626252924999999
oracle-boundary/transition3,ewr-08,joint,removal,0.5,0.0,0.9817763680502767,0.5626252924999999
repaired/absolute,ewr-08,joint,swap,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired/present,ewr-08,joint,swap,0.5,0.0,0.9817763680502767,0.5626252924999999
repaired/recency,ewr-08,joint,swap,0.0,0.0,6.907755278982137,1.90245
repaired/reference,ewr-08,joint,swap,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired/transition1,ewr-08,joint,swap,1.0,1.0,0.41011507411802023,0.26275175166553943
repaired/transition2,ewr-08,joint,swap,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired/transition3,ewr-08,joint,swap,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
streaming/absolute,ewr-08,joint,swap,0.5,0.0,0.9817763680502767,0.5626252924999999
streaming/present,ewr-08,joint,swap,0.5,0.0,0.9817763680502767,0.5626252924999999
streaming/recency,ewr-08,joint,swap,0.5,0.0,1.0293194621721604,0.5694812499999999
streaming/reference,ewr-08,joint,swap,0.5,0.0,0.9817763680502767,0.5626252924999999
streaming/transition1,ewr-08,joint,swap,0.5,0.0,0.9817763680502767,0.5626252924999999
streaming/transition2,ewr-08,joint,swap,0.5,0.0,0.9817763680502767,0.5626252924999999
streaming/transition3,ewr-08,joint,swap,0.5,0.0,0.9817763680502767,0.5626252924999999
fixed/absolute,ewr-08,joint,swap,0.5,0.0,0.9817763680502767,0.5626252924999999
fixed/present,ewr-08,joint,swap,0.5,0.0,0.9817763680502767,0.5626252924999999
fixed/recency,ewr-08,joint,swap,0.0,0.0,6.907755278982137,1.90245
fixed/reference,ewr-08,joint,swap,0.5,0.0,0.9817763680502767,0.5626252924999999
fixed/transition1,ewr-08,joint,swap,0.0,0.0,10.819778284410283,1.99800098
fixed/transition2,ewr-08,joint,swap,0.5,0.0,0.9817763680502767,0.5626252924999999
fixed/transition3,ewr-08,joint,swap,0.5,0.0,0.9817763680502767,0.5626252924999999
oracle-boundary/absolute,ewr-08,joint,swap,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/present,ewr-08,joint,swap,0.5,0.0,0.9817763680502767,0.5626252924999999
oracle-boundary/recency,ewr-08,joint,swap,0.0,0.0,6.907755278982137,1.90245
oracle-boundary/reference,ewr-08,joint,swap,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/transition1,ewr-08,joint,swap,0.5,0.0,0.69410764165507,0.50000048
oracle-boundary/transition2,ewr-08,joint,swap,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/transition3,ewr-08,joint,swap,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired/absolute,ewr-08,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired/present,ewr-08,joint,shuffle,0.5,0.0,0.9817763680502767,0.5626252924999999
repaired/recency,ewr-08,joint,shuffle,1.0,1.0,0.05024121643674679,0.0024500000000000632
repaired/reference,ewr-08,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired/transition1,ewr-08,joint,shuffle,0.5,0.0,1.2788865031424625,0.962532600884698
repaired/transition2,ewr-08,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired/transition3,ewr-08,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
streaming/absolute,ewr-08,joint,shuffle,0.5,0.0,0.9817763680502767,0.5626252924999999
streaming/present,ewr-08,joint,shuffle,0.5,0.0,0.9817763680502767,0.5626252924999999
streaming/recency,ewr-08,joint,shuffle,0.5,0.0,1.0293194621721604,0.5694812499999999
streaming/reference,ewr-08,joint,shuffle,0.5,0.0,0.9817763680502767,0.5626252924999999
streaming/transition1,ewr-08,joint,shuffle,0.5,0.0,0.9817763680502767,0.5626252924999999
streaming/transition2,ewr-08,joint,shuffle,0.5,0.0,0.9817763680502767,0.5626252924999999
streaming/transition3,ewr-08,joint,shuffle,0.5,0.0,0.9817763680502767,0.5626252924999999
fixed/absolute,ewr-08,joint,shuffle,0.5,0.0,0.9817763680502767,0.5626252924999999
fixed/present,ewr-08,joint,shuffle,0.5,0.0,0.9817763680502767,0.5626252924999999
fixed/recency,ewr-08,joint,shuffle,0.0,0.0,6.907755278982137,1.90245
fixed/reference,ewr-08,joint,shuffle,0.5,0.0,0.9817763680502767,0.5626252924999999
fixed/transition1,ewr-08,joint,shuffle,0.0,0.0,10.819778284410283,1.99800098
fixed/transition2,ewr-08,joint,shuffle,0.5,0.0,0.9817763680502767,0.5626252924999999
fixed/transition3,ewr-08,joint,shuffle,0.5,0.0,0.9817763680502767,0.5626252924999999
oracle-boundary/absolute,ewr-08,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/present,ewr-08,joint,shuffle,0.5,0.0,0.9817763680502767,0.5626252924999999
oracle-boundary/recency,ewr-08,joint,shuffle,1.0,1.0,0.05024121643674679,0.0024500000000000632
oracle-boundary/reference,ewr-08,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/transition1,ewr-08,joint,shuffle,0.5,0.0,0.69410764165507,0.50000048
oracle-boundary/transition2,ewr-08,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/transition3,ewr-08,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired/absolute,ewr-08,joint,ambiguous,0.5,0.0,1.0175431809309903,0.7377025464369016
repaired/present,ewr-08,joint,ambiguous,0.5,0.0,0.9817763680502767,0.5626252924999999
repaired/recency,ewr-08,joint,ambiguous,0.5,0.0,3.4789982477094417,0.95245
repaired/reference,ewr-08,joint,ambiguous,0.5,0.0,0.8452421187934804,0.6301805521318427
repaired/transition1,ewr-08,joint,ambiguous,0.5,0.0,1.0175431809309903,0.7377025464369016
repaired/transition2,ewr-08,joint,ambiguous,0.5,0.0,1.0175431809309903,0.7377025464369016
repaired/transition3,ewr-08,joint,ambiguous,0.5,0.0,1.0175431809309903,0.7377025464369016
streaming/absolute,ewr-08,joint,ambiguous,0.5,0.0,0.9817763680502767,0.5626252924999999
streaming/present,ewr-08,joint,ambiguous,0.5,0.0,0.9817763680502767,0.5626252924999999
streaming/recency,ewr-08,joint,ambiguous,0.5,0.0,1.0293194621721604,0.5694812499999999
streaming/reference,ewr-08,joint,ambiguous,0.5,0.0,0.9817763680502767,0.5626252924999999
streaming/transition1,ewr-08,joint,ambiguous,0.5,0.0,0.9817763680502767,0.5626252924999999
streaming/transition2,ewr-08,joint,ambiguous,0.5,0.0,0.9817763680502767,0.5626252924999999
streaming/transition3,ewr-08,joint,ambiguous,0.5,0.0,0.9817763680502767,0.5626252924999999
fixed/absolute,ewr-08,joint,ambiguous,0.5,0.0,0.9817763680502767,0.5626252924999999
fixed/present,ewr-08,joint,ambiguous,0.5,0.0,0.9817763680502767,0.5626252924999999
fixed/recency,ewr-08,joint,ambiguous,0.0,0.0,6.907755278982137,1.90245
fixed/reference,ewr-08,joint,ambiguous,0.5,0.0,0.9817763680502767,0.5626252924999999
fixed/transition1,ewr-08,joint,ambiguous,0.0,0.0,10.819778284410283,1.99800098
fixed/transition2,ewr-08,joint,ambiguous,0.5,0.0,0.9817763680502767,0.5626252924999999
fixed/transition3,ewr-08,joint,ambiguous,0.5,0.0,0.9817763680502767,0.5626252924999999
oracle-boundary/absolute,ewr-08,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048
oracle-boundary/present,ewr-08,joint,ambiguous,0.5,0.0,0.9817763680502767,0.5626252924999999
oracle-boundary/recency,ewr-08,joint,ambiguous,0.5,0.0,3.4789982477094417,0.95245
oracle-boundary/reference,ewr-08,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048
oracle-boundary/transition1,ewr-08,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048
oracle-boundary/transition2,ewr-08,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048
