query_id,reference_id,path_index,used_for_support,role,correspondence_order,reference_event,query_event,reference_onset_s,reference_offset_s,reference_pitch_semitones,query_onset_s,query_offset_s,query_pitch_semitones,mapped_reference_onset_s,mapped_reference_offset_s,mapped_reference_pitch_semitones,pitch_residual_semitones,timing_residual_s,absolute_pitch_change_semitones,onset_change_s
e08_query_a_delete_two,e08_distractor_0,0,True,maximum_candidate,0,0,0,0.1340000033378601,0.22499999403953552,5.432331085205078,0.1340000033378601,0.22499999403953552,5.432331085205078,0.1340000033378601,0.17949999868869781,5.432331085205078,0.0,0.0,0.0,0.0
e08_query_a_delete_two,e08_distractor_0,0,True,maximum_candidate,1,2,1,0.46399998664855957,0.5559999942779541,11.43239688873291,0.29899999499320984,0.39100000262260437,11.43239688873291,0.29899999499320984,0.3449999988079071,11.43239688873291,0.0,0.0,0.0,-0.16499999165534973
e08_query_a_delete_two,e08_distractor_1,0,True,maximum_candidate,0,2,0,0.46399998664855957,0.5550000071525574,5.432331085205078,0.1340000033378601,0.22499999403953552,5.432331085205078,0.1340000033378601,0.22500000740542403,5.432331085205078,0.0,0.0,0.0,-0.32999998331069946
e08_query_a_delete_two,e08_distractor_1,0,True,maximum_candidate,1,3,1,0.6290000081062317,0.7210000157356262,11.43239688873291,0.29899999499320984,0.39100000262260437,11.43239688873291,0.29899999499320984,0.39099998600555264,11.43239688873291,0.0,0.0,0.0,-0.33000001311302185
e08_query_a_delete_two,e08_distractor_2,0,True,maximum_candidate,0,1,0,0.29899999499320984,0.38999998569488525,5.432331085205078,0.1340000033378601,0.22499999403953552,5.432331085205078,0.1340000033378601,0.17949999457959032,5.432331085205078,0.0,0.0,0.0,-0.16499999165534973
e08_query_a_delete_two,e08_distractor_2,0,True,maximum_candidate,1,3,1,0.6290000081062317,0.7210000157356262,11.43239688873291,0.29899999499320984,0.39100000262260437,11.43239688873291,0.29899999499320984,0.3449999946536438,11.43239688873291,0.0,0.0,0.0,-0.33000001311302185
e08_query_a_delete_two,e08_distractor_3,0,True,maximum_candidate,0,1,0,0.29899999499320984,0.38999998569488525,5.432331085205078,0.1340000033378601,0.22499999403953552,5.432331085205078,0.1340000033378601,0.22499999403953552,5.432331085205078,0.0,0.0,0.0,-0.16499999165534973
e08_query_a_delete_two,e08_distractor_3,0,True,maximum_candidate,1,2,1,0.46399998664855957,0.5559999942779541,11.43239688873291,0.29899999499320984,0.39100000262260437,11.43239688873291,0.29899999499320984,0.39100000262260437,11.43239688873291,0.0,0.0,0.0,-0.16499999165534973
e08_query_a_delete_two,e08_reference_a,0,True,true_source,0,0,0,0.1340000033378601,0.22499999403953552,5.432331085205078,0.1340000033378601,0.22499999403953552,5.432331085205078,0.1340000033378601,0.22499999403953552,5.432331085205078,0.0,0.0,0.0,0.0
e08_query_a_delete_two,e08_reference_a,0,True,true_source,1,1,1,0.29899999499320984,0.39100000262260437,11.43239688873291,0.29899999499320984,0.39100000262260437,11.43239688873291,0.29899999499320984,0.39100000262260437,11.43239688873291,0.0,0.0,0.0,0.0
