query_id,event_index,frame_order_0_based,original_frame_index,event_onset_s,event_offset_s,time_after_event_onset_s,inside_frozen_18ms_interior,frame_time_s,frame_rms,frame_energy_dbfs,frame_voiced,frame_pitch_hz,frame_spectral_peak_hz,frame_phase_refined,frame_spectral_centroid_hz,pitch_status,spectral_peak_status,pitch_semitones_re_220hz,spectral_peak_semitones_re_220hz
e08_query_a_merged,1,0,58,0.29899999499320984,0.4869999885559082,0.0010000169277191162,False,0.30000001192092896,0.09943117946386337,-20.04954719543457,False,nan,nan,False,529.4349975585938,nan,nan,,
e08_query_a_merged,1,1,59,0.29899999499320984,0.4869999885559082,0.006000012159347534,False,0.3050000071525574,0.1498187780380249,-16.48867416381836,True,425.7938537597656,425.7938537597656,False,529.4136962890625,finite_positive,finite_positive,11.431819214475647,11.431819214475647
e08_query_a_merged,1,2,60,0.29899999499320984,0.4869999885559082,0.011000007390975952,False,0.3100000023841858,0.18569040298461914,-14.624210357666016,True,425.80029296875,425.80029296875,False,529.43115234375,finite_positive,finite_positive,11.432081024115504,11.432081024115504
e08_query_a_merged,1,3,61,0.29899999499320984,0.4869999885559082,0.01600000262260437,False,0.3149999976158142,0.21037551760673523,-13.540096282958984,True,425.8085021972656,425.8085021972656,False,529.4176025390625,finite_positive,finite_positive,11.432414794644975,11.432414794644975
e08_query_a_merged,1,4,62,0.29899999499320984,0.4869999885559082,0.020999997854232788,True,0.3199999928474426,0.2194492369890213,-13.173317909240723,True,425.77874755859375,425.8036804199219,True,529.40283203125,finite_positive,finite_positive,11.431205000965653,11.432218751768065
e08_query_a_merged,1,5,63,0.29899999499320984,0.4869999885559082,0.025999993085861206,True,0.32499998807907104,0.21893872320652008,-13.193548202514648,True,425.7969665527344,425.8009338378906,True,529.4028930664062,finite_positive,finite_positive,11.43194577697601,11.432107080782462
e08_query_a_merged,1,6,64,0.29899999499320984,0.4869999885559082,0.03100001811981201,True,0.33000001311302185,0.22063858807086945,-13.126370429992676,True,425.8118896484375,425.81182861328125,True,529.404296875,finite_positive,finite_positive,11.432552519642275,11.432550038120485
e08_query_a_merged,1,7,65,0.29899999499320984,0.4869999885559082,0.03600001335144043,True,0.33500000834465027,0.2217387557029724,-13.083168029785156,True,425.8067626953125,425.81298828125,True,529.4080200195312,finite_positive,finite_positive,11.43234407057194,11.432597186973672
e08_query_a_merged,1,8,66,0.29899999499320984,0.4869999885559082,0.04100000858306885,True,0.3400000035762787,0.22503849864006042,-12.954863548278809,True,425.8078308105469,425.79766845703125,True,529.4114990234375,finite_positive,finite_positive,11.432387497668568,11.431974315451194
e08_query_a_merged,1,9,67,0.29899999499320984,0.4869999885559082,0.046000003814697266,True,0.3449999988079071,0.2255520522594452,-12.935064315795898,True,425.8094482421875,425.7952880859375,True,529.4124755859375,finite_positive,finite_positive,11.43245325849323,11.431877532605464
e08_query_a_merged,1,10,68,0.29899999499320984,0.4869999885559082,0.050999999046325684,True,0.3499999940395355,0.22349786758422852,-13.014532089233398,True,425.81341552734375,425.8092041015625,True,529.4104614257812,finite_positive,finite_positive,11.432614557571426,11.43244333234702
