query_id,event_index,onset_s,offset_s,interior_start_s,interior_end_s,frame_n,interior_frame_n,absent_array_n,voiced_true_n,phase_refined_true_n,finite_positive_pitch_n,nonfinite_pitch_n,interior_voiced_n,interior_phase_refined_n,interior_finite_positive_pitch_n,first_finite_pitch_time_s,first_finite_pitch_hz,last_finite_pitch_time_s,last_finite_pitch_hz,first_phase_refined_pitch_time_s,first_phase_refined_pitch_hz,frame_rms_min,frame_rms_max,frame_rms_finite_n,frame_energy_dbfs_min,frame_energy_dbfs_max,frame_energy_dbfs_finite_n,frame_pitch_hz_min,frame_pitch_hz_max,frame_pitch_hz_finite_n,frame_spectral_peak_hz_min,frame_spectral_peak_hz_max,frame_spectral_peak_hz_finite_n,frame_spectral_centroid_hz_min,frame_spectral_centroid_hz_max,frame_spectral_centroid_hz_finite_n,pitch_semitones_min,pitch_semitones_max
e08_query_a_merged,1,0.29899999499320984,0.4869999885559082,0.31699999499320985,0.4689999885559082,38,30,0,34,28,34,4,28,28,28,0.3050000071525574,425.7938537597656,0.47999998927116394,268.1565246582031,0.3199999928474426,425.77874755859375,0.06831289827823639,0.2255520522594452,38,-23.309946060180664,-12.935064315795898,38,265.0733337402344,428.7485656738281,34,268.1258239746094,425.81378173828125,34,333.48583984375,529.4349975585938,38,3.2266562312875933,11.551539854193884
e08_query_b_merged,1,0.29899999499320984,0.4869999885559082,0.31699999499320985,0.4689999885559082,38,30,0,34,28,34,4,28,28,28,0.3050000071525574,268.214599609375,0.47999998927116394,337.9642333984375,0.3199999928474426,268.55010986328125,0.07027041912078857,0.22500945627689362,38,-23.06454849243164,-12.955985069274902,38,268.09625244140625,338.2896728515625,34,268.1873474121094,338.18646240234375,34,333.4800109863281,420.2021179199219,38,3.422970349592335,7.449067345641282
e12_query_a_merged,1,0.29899999499320984,0.4869999885559082,0.31699999499320985,0.4689999885559082,38,30,0,34,28,34,4,28,28,28,0.3050000071525574,284.8845520019531,0.47999998927116394,239.66012573242188,0.3199999928474426,284.80145263671875,0.06959880888462067,0.2265838384628296,38,-23.147964477539062,-12.895421028137207,38,239.2152557373047,285.18896484375,34,239.26719665527344,284.9293518066406,34,280.3058776855469,333.72930908203125,38,1.4496705035496658,4.492975622334448
e12_query_b_merged,1,0.29899999499320984,0.4869999885559082,0.31699999499320985,0.4689999885559082,38,30,0,34,28,34,4,28,28,28,0.3050000071525574,380.2660827636719,0.47999998927116394,239.66012573242188,0.3199999928474426,380.2546081542969,0.0693366751074791,0.225959911942482,38,-23.180740356445312,-12.91937255859375,38,236.06024169921875,380.4046936035156,34,239.35537719726562,380.2806701660156,34,280.3058776855469,445.3107604980469,38,1.2198186390377723,9.480378278112505
e14_query_a_merged,3,0.628000020980835,0.8169999718666077,0.646000020980835,0.7989999718666077,38,30,0,34,24,34,4,28,24,28,0.6349999904632568,216.79307556152344,0.8100000023841858,409.2878723144531,0.6499999761581421,211.6598663330078,0.04734744504094124,0.16132153570652008,38,-26.494068145751953,-15.846153259277344,38,210.13851928710938,409.42041015625,34,216.73643493652344,409.4487609863281,34,268.52734375,507.2583923339844,38,-0.7939546241085053,10.752954008228937
e16_query_a_merged,1,0.2980000078678131,0.4869999885559082,0.3160000078678131,0.4689999885559082,38,30,0,34,28,34,4,28,28,28,0.3050000071525574,320.95343017578125,0.47999998927116394,428.500732421875,0.3199999928474426,321.243896484375,0.06774023920297623,0.22549378871917725,38,-23.383066177368164,-12.937308311462402,38,320.7763977050781,428.81219482421875,34,320.95343017578125,428.500732421875,34,447.4614562988281,597.322265625,38,6.528773644699935,11.554108930507674
e16_query_b_merged,1,0.29899999499320984,0.4860000014305115,0.31699999499320985,0.46800000143051146,38,30,0,34,28,34,4,28,28,28,0.3050000071525574,428.4523010253906,0.47999998927116394,360.3670959472656,0.3199999928474426,428.4736328125,0.07038070261478424,0.2244114875793457,38,-23.050928115844727,-12.979098320007324,38,360.1504821777344,428.4980773925781,34,360.12322998046875,428.49444580078125,34,502.2578125,597.3242797851562,38,8.533155744649054,11.541422489320153
e20_query_a_merged,1,0.29899999499320984,0.4869999885559082,0.31699999499320985,0.4689999885559082,38,30,0,34,28,34,4,28,28,28,0.3050000071525574,400.18841552734375,0.47999998927116394,504.2078552246094,0.3199999928474426,400.2446594238281,0.06767822802066803,0.22333863377571106,38,-23.391019821166992,-13.020723342895508,38,400.07598876953125,504.26287841796875,34,400.18841552734375,504.45513916015625,34,537.9840087890625,677.84521484375,38,10.353246261273918,14.36007000822827
e20_query_b_merged,1,0.29899999499320984,0.4860000014305115,0.31699999499320985,0.46800000143051146,38,30,0,34,28,34,4,28,28,28,0.3050000071525574,504.212890625,0.47999998927116394,400.200439453125,0.3199999928474426,504.2174072265625,0.07171767950057983,0.2231432944536209,38,-22.887475967407227,-13.02832317352295,38,399.9837951660156,504.3704833984375,34,400.1004943847656,504.212890625,34,537.9865112304688,677.8449096679688,38,10.349256341784809,14.363763905610522
e21_query_a_merged,2,0.46299999952316284,0.6520000100135803,0.48099999952316286,0.6340000100135803,38,30,0,34,28,34,4,28,28,28,0.4699999988079071,267.2207946777344,0.6449999809265137,673.100830078125,0.48500001430511475,535.42626953125,0.0553475022315979,0.18363745510578156,38,-25.138038635253906,-14.72077465057373,38,267.0787658691406,673.100830078125,34,267.0787658691406,673.100830078125,34,333.083251953125,839.611083984375,38,3.357141061583036,19.359829344933445
