model,cell,condition,accuracy,accuracy_lower95,accuracy_upper95,log_loss,log_loss_lower95,log_loss_upper95,brier,brier_lower95,brier_upper95,entropy,entropy_lower95,entropy_upper95,unknown_mass,unknown_mass_lower95,unknown_mass_upper95,confidence,confidence_lower95,confidence_upper95,paired_success,paired_success_lower95,paired_success_upper95
a32_48/absolute,detached,intact,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07,0.011582902361779928,0.011582902361779928,0.011582902361779928,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.9990199999999999,0.9990199999999999,0.9990199999999999,1.0,1.0,1.0
a32_48/absolute,duration,intact,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07,0.011582902361779928,0.011582902361779928,0.011582902361779928,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.9990199999999999,0.9990199999999999,0.9990199999999999,1.0,1.0,1.0
a32_48/absolute,joint,ambiguous,0.5,0.5,0.5,0.697718130186897,0.6948444811088941,0.7013247277831041,0.5035689673247232,0.5007343704882635,0.507126967942876,0.700244741643011,0.6966615375887273,0.7030518978942052,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.5296105746428984,0.510194089595267,0.5506750370260787,0.0,0.0,0.0
a32_48/absolute,joint,intact,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07,0.011582902361779928,0.011582902361779928,0.011582902361779928,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.9990199999999999,0.9990199999999999,0.9990199999999999,1.0,1.0,1.0
a32_48/absolute,joint,removal,0.0625,0.0,0.1875,5.220279849998905,2.623466180080497,8.634904186977096,1.0933440425,0.9060315425000001,1.2494377925,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995,0.0,0.0,0.0
a32_48/absolute,joint,reset,0.0625,0.0,0.1875,5.220279849998905,2.623466180080497,8.634904186977096,1.0933440425,0.9060315425000001,1.2494377925,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995,0.0,0.0,0.0
a32_48/absolute,joint,shuffle,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07,0.011582902361779928,0.011582902361779928,0.011582902361779928,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.9990199999999999,0.9990199999999999,0.9990199999999999,1.0,1.0,1.0
a32_48/absolute,joint,swap,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07,0.011582902361779928,0.011582902361779928,0.011582902361779928,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.9990199999999999,0.9990199999999999,0.9990199999999999,1.0,1.0,1.0
a32_48/absolute,joint,unrelated,0.0625,0.0,0.1875,5.220279849998905,2.623466180080497,8.634904186977096,1.0933440425,0.9060315425000001,1.2494377925,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995,0.0,0.0,0.0
a32_48/absolute,legato,intact,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07,0.011582902361779928,0.011582902361779928,0.011582902361779928,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.9990199999999999,0.9990199999999999,0.9990199999999999,1.0,1.0,1.0
a32_48/present,detached,intact,0.0625,0.0,0.1875,5.220279849998905,2.623466180080497,8.634904186977096,1.0933440425,0.9060315425000001,1.2494377925,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995,0.0,0.0,0.0
a32_48/present,duration,intact,0.0625,0.0,0.1875,5.220279849998905,2.623466180080497,8.634904186977096,1.0933440425,0.9060315425000001,1.2494377925,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995,0.0,0.0,0.0
a32_48/present,joint,ambiguous,0.0625,0.0,0.1875,5.220279849998905,2.623466180080497,8.634904186977096,1.0933440425,0.9060315425000001,1.2494377925,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995,0.0,0.0,0.0
