model,group,cell,condition,accuracy,paired_success,log_loss,brier,entropy,unknown_mass,confidence
streaming/present,cea-16,joint,intact,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/recency,cea-16,joint,intact,0.0,0.0,6.907755278982137,1.592215625,0.9738837498905897,0.001,0.654125
streaming/reference,cea-16,joint,intact,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/transition1,cea-16,joint,intact,0.0,0.0,10.819778284410283,1.6549381362499997,0.6384029638356644,1.9999999999999998e-05,0.6868324999999998
streaming/transition2,cea-16,joint,intact,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/transition3,cea-16,joint,intact,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/absolute,cea-16,joint,intact,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/present,cea-16,joint,intact,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/recency,cea-16,joint,intact,0.0,0.0,6.907755278982137,1.2819812499999999,1.5615080942797084,0.001,0.35724999999999996
fixed/reference,cea-16,joint,intact,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/transition1,cea-16,joint,intact,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/transition2,cea-16,joint,intact,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/transition3,cea-16,joint,intact,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
oracle-boundary/absolute,cea-16,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
oracle-boundary/present,cea-16,joint,intact,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
oracle-boundary/recency,cea-16,joint,intact,0.0,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
oracle-boundary/reference,cea-16,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
oracle-boundary/transition1,cea-16,joint,intact,0.5,0.0,0.69410764165507,0.50000048,0.7038282854721148,1.9999999999999998e-05,0.4995199999999999
oracle-boundary/transition2,cea-16,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
oracle-boundary/transition3,cea-16,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
map/absolute,cea-16,joint,reset,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
map/present,cea-16,joint,reset,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
map/recency,cea-16,joint,reset,0.0,0.0,6.907755278982137,1.2819812499999999,1.5615080942797084,0.001,0.35724999999999996
map/reference,cea-16,joint,reset,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
map/transition1,cea-16,joint,reset,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
map/transition2,cea-16,joint,reset,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
map/transition3,cea-16,joint,reset,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
mixture/absolute,cea-16,joint,reset,0.0,0.0,11.018678671376886,1.2420493114106668,1.508799496438201,0.18038485738065285,0.30707085652375576
mixture/present,cea-16,joint,reset,0.0,0.0,11.018678671376886,1.2420493114106668,1.508799496438201,0.18038485738065285,0.30707085652375576
mixture/recency,cea-16,joint,reset,0.0,0.0,7.1066556659487405,1.2219666176125314,1.7465705210338902,0.18118809628519789,0.2928133659680811
mixture/reference,cea-16,joint,reset,0.0,0.0,11.018678671376886,1.2420493114106668,1.508799496438201,0.18038485738065285,0.30707085652375576
mixture/transition1,cea-16,joint,reset,0.0,0.0,11.018678671376886,1.2420493114106668,1.508799496438201,0.18038485738065285,0.30707085652375576
mixture/transition2,cea-16,joint,reset,0.0,0.0,11.018678671376886,1.2420493114106668,1.508799496438201,0.18038485738065285,0.30707085652375576
mixture/transition3,cea-16,joint,reset,0.0,0.0,11.018678671376886,1.2420493114106668,1.508799496438201,0.18038485738065285,0.30707085652375576
repaired/absolute,cea-16,joint,reset,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
repaired/present,cea-16,joint,reset,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
repaired/recency,cea-16,joint,reset,0.0,0.0,6.907755278982137,1.2819812499999999,1.5615080942797084,0.001,0.35724999999999996
repaired/reference,cea-16,joint,reset,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
repaired/transition1,cea-16,joint,reset,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
repaired/transition2,cea-16,joint,reset,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
repaired/transition3,cea-16,joint,reset,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/absolute,cea-16,joint,reset,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/present,cea-16,joint,reset,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
