group,window_count,valid_count,candidate_count,cluster_count,concentration,disagreement,unknown_mass,available
cea-16,11.359550561797754,10.814606741573034,1.0786516853932584,1.0786516853932584,0.9541487034302879,0.045851296569711944,0.041419801908325865,1.0
cea-17,12.49438202247191,12.325842696629213,1.0561797752808988,1.0561797752808988,0.9827565490733766,0.017243450926623393,0.013116195278683353,1.0
cea-18,12.426966292134832,11.955056179775282,1.0337078651685394,1.0337078651685394,0.9615323247490186,0.03846767525098132,0.036414558213141504,1.0
cea-19,12.955056179775282,12.898876404494382,1.0,1.0,0.9963462212358296,0.0036537787641704486,0.0036537787641704486,1.0
cea-20,11.629213483146067,11.460674157303371,1.0,1.0,0.9885646100104653,0.011435389989534847,0.011435389989534847,1.0
cea-21,12.224719101123595,11.876404494382022,1.0280898876404494,1.0280898876404494,0.9695934138957544,0.030406586104245653,0.02786411232629057,1.0
cea-22,12.707865168539326,12.370786516853933,1.0786516853932584,1.0786516853932584,0.9717456807768988,0.028254319223101187,0.024394393505853037,1.0
cea-23,10.984924623115578,10.844221105527637,0.9849246231155779,0.9849246231155779,0.8773284576345516,0.12267154236544855,0.11534730791231769,0.8944723618090452
cea-24,11.573033707865168,11.151685393258427,1.0224719101123596,1.0224719101123596,0.9702959560481107,0.02970404395188937,0.028288455121071414,1.0
cea-25,12.831460674157304,12.573033707865168,1.1348314606741574,1.1348314606741574,0.9759044828644668,0.024095517135533255,0.016669965408540714,1.0
cea-26,15.048780487804878,14.945121951219512,1.103658536585366,1.2317073170731707,0.947764816048828,0.052235183951171896,0.014756032109215968,0.926829268292683
cea-27,11.916666666666666,11.864583333333334,0.9375,0.9375,0.9221545172830355,0.07784548271696441,0.07667497857839925,0.9270833333333334
cea-28,11.910112359550562,11.47191011235955,1.1123595505617978,1.1123595505617978,0.9605623479259928,0.039437652074007054,0.029385445849160478,1.0
cea-29,12.595505617977528,12.398876404494382,1.0786516853932584,1.0786516853932584,0.9795558566949591,0.02044414330504079,0.014886580334609439,1.0
cea-30,15.390243902439025,15.21951219512195,1.0731707317073171,1.0731707317073171,0.9860965750733179,0.013903424926682027,0.010353809067444526,1.0
cea-31,15.55151515151515,15.49090909090909,1.0787878787878789,1.1696969696969697,0.9435677288690802,0.056432271130919746,0.02095090492025151,0.9393939393939394
cea-32,12.258426966292134,11.96629213483146,1.0,1.0,0.9812849052362612,0.01871509476373875,0.01871509476373875,1.0
cea-33,15.182926829268293,15.176829268292684,1.0060975609756098,1.0060975609756098,0.999040716023566,0.0009592839764339429,0.000514489424323416,1.0
cea-34,13.359550561797754,13.303370786516854,1.0168539325842696,1.0168539325842696,0.9944200211486237,0.005579978851376209,0.004337153233479816,1.0
cea-35,10.119815668202765,10.055299539170507,0.8940092165898618,0.8940092165898618,0.8123937792640787,0.18760622073592118,0.18333710311446497,0.8202764976958525
cea-36,11.709677419354838,11.526881720430108,0.978494623655914,0.978494623655914,0.9430625797799141,0.0569374202200858,0.05574248627907564,0.956989247311828
cea-37,12.97752808988764,12.651685393258427,1.0842696629213484,1.0842696629213484,0.9702663386827165,0.02973366131728343,0.022901914540956435,1.0
cea-38,13.51685393258427,13.370786516853933,1.0842696629213484,1.0842696629213484,0.9864291687740063,0.013570831225993656,0.009290754372096222,1.0
cea-39,12.791208791208792,12.747252747252746,1.021978021978022,1.021978021978022,0.9732130649750291,0.026786935024970895,0.024553909033176988,0.978021978021978
