front,precision,precision_lower95,precision_upper95,recall,recall_lower95,recall_upper95,f1,f1_lower95,f1_upper95,split_rate,split_rate_lower95,split_rate_upper95,merge_rate,merge_rate_lower95,merge_rate_upper95,pitch_accuracy,pitch_accuracy_lower95,pitch_accuracy_upper95,pitch_availability,pitch_availability_lower95,pitch_availability_upper95,octave_error_rate,octave_error_rate_lower95,octave_error_rate_upper95,mean_pitch_error_available,mean_pitch_error_available_lower95,mean_pitch_error_available_upper95,mean_onset_error_s,mean_onset_error_s_lower95,mean_onset_error_s_upper95,mean_end_error_s,mean_end_error_s_lower95,mean_end_error_s_upper95,max_true_end_latency_s,max_inferred_end_latency_s
map,0.9698702146618814,0.9501514689014688,0.986766975308642,0.9756827534605312,0.9513655069210625,0.9939206883651327,0.9718405306573298,0.9528188362630807,0.9886040228448358,0.0,0.0,0.0,0.012158623269734381,0.0030396558174335953,0.024317246539468762,0.9769453797231575,0.9541011971567528,0.9945520014964458,0.9769453797231575,0.9541011971567528,0.9945520014964458,0.0,0.0,0.0,0.003633084948215768,0.003094558780362471,0.004181226926065577,0.008518551608178345,0.007996310743012132,0.0090089788426594,0.00929141186584763,0.008886290463330395,0.009687555156391962,0.1575,0.104
mixture,0.9698702146618814,0.9501514689014688,0.986766975308642,0.9756827534605312,0.9513655069210625,0.9939206883651327,0.9718405306573298,0.9528188362630807,0.9886040228448358,0.0,0.0,0.0,0.012158623269734381,0.0030396558174335953,0.024317246539468762,0.9769453797231575,0.9541011971567528,0.9945520014964458,0.9769453797231575,0.9541011971567528,0.9945520014964458,0.0,0.0,0.0,0.003633084948215768,0.003094558780362471,0.004181226926065577,0.008518551608178345,0.007996310743012132,0.0090089788426594,0.00929141186584763,0.008886290463330395,0.009687555156391962,0.1575,0.104
repaired,0.9698702146618814,0.9501514689014688,0.986766975308642,0.9756827534605312,0.9513655069210625,0.9939206883651327,0.9718405306573298,0.9528188362630807,0.9886040228448358,0.0,0.0,0.0,0.012158623269734381,0.0030396558174335953,0.024317246539468762,0.9742096894874672,0.9515759446315002,0.9939206883651327,0.9746305649083427,0.9524176954732511,0.9941311260755704,0.0,0.0,0.0,0.0018151201589200257,0.001165160286885802,0.0025729122349784535,0.008518551608178345,0.007996310743012132,0.0090089788426594,0.00929141186584763,0.008886290463330395,0.009687555156391962,0.1575,0.104
streaming,0.9698702146618814,0.9501514689014688,0.986766975308642,0.9756827534605312,0.9513655069210625,0.9939206883651327,0.9718405306573298,0.9528188362630807,0.9886040228448358,0.0,0.0,0.0,0.012158623269734381,0.0030396558174335953,0.024317246539468762,0.7343106995884773,0.6942340067340068,0.7735222596333706,0.9536101758323982,0.9259259259259259,0.978675645342312,0.08258511036288814,0.05008417508417507,0.11658249158249157,3.2830912144218303,2.6516878687957797,3.919551538123463,0.008518551608178345,0.007996310743012132,0.0090089788426594,0.00929141186584763,0.008886290463330395,0.009687555156391962,0.1575,0.104
fixed,0.13085170081052866,0.10848577307609386,0.155128308860679,0.18219229330340436,0.16152263374485595,0.20216049382716048,0.15061281505385157,0.12910072423127752,0.17301418052768117,0.591026000748223,0.4740460157126824,0.6972970445192668,0.11955200149644592,0.08445566778900111,0.15544332210998876,0.7327207257762813,0.684273288439955,0.784768986157875,0.8111204638982418,0.7573419378974936,0.8622802095024317,0.0154320987654321,0.006055929667040778,0.02716984661429106,1.2048342800161382,0.687015711697975,1.7693251195441968,0.020213752861159544,0.01971088411813238,0.020724743315053643,0.019705822141303914,0.019163305675805677,0.020289110433034045,0.0143125,0.0
oracle-boundary,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0019059421079040517,0.0014119552757115336,0.002467287197560892,0.0,0.0,0.0,0.0,0.0,0.0,0.0639375,0.0639375
