model,cell,condition,bin,count,mean_confidence,accuracy
fixed/transition1,legato,intact,7,2,0.7647820435238097,0.0
fixed/transition1,legato,intact,8,2,0.809803204361639,0.0
fixed/transition1,legato,intact,9,15,0.9990199999999999,0.13333333333333333
fixed/transition2,detached,intact,3,43,0.37464499999999995,0.16279069767441862
fixed/transition2,detached,intact,9,5,0.9990199999999998,1.0
fixed/transition2,duration,intact,3,44,0.37464499999999995,0.22727272727272727
fixed/transition2,duration,intact,6,1,0.6011574070622271,0.0
fixed/transition2,duration,intact,9,3,0.9990186610550723,0.0
fixed/transition2,joint,ambiguous,3,48,0.37464499999999995,0.20833333333333334
fixed/transition2,joint,intact,3,44,0.37464499999999995,0.22727272727272727
fixed/transition2,joint,intact,6,1,0.6011574070622271,0.0
fixed/transition2,joint,intact,9,3,0.9990189698265434,0.0
fixed/transition2,joint,removal,3,44,0.37464499999999995,0.22727272727272727
fixed/transition2,joint,removal,9,4,0.99902,0.0
fixed/transition2,joint,reset,3,48,0.37464499999999995,0.20833333333333334
fixed/transition2,joint,shuffle,3,44,0.37464499999999995,0.22727272727272727
fixed/transition2,joint,shuffle,6,1,0.6273654299088998,0.0
fixed/transition2,joint,shuffle,9,3,0.9990199999698941,0.0
fixed/transition2,joint,swap,3,44,0.37464499999999995,0.22727272727272727
fixed/transition2,joint,swap,6,1,0.6011574070622271,0.0
fixed/transition2,joint,swap,9,3,0.9990189698265434,0.0
fixed/transition2,legato,intact,3,48,0.37464499999999995,0.20833333333333334
fixed/transition3,detached,intact,3,43,0.37464499999999995,0.16279069767441862
fixed/transition3,detached,intact,9,5,0.9990199999999998,1.0
fixed/transition3,duration,intact,3,48,0.37464499999999995,0.20833333333333334
fixed/transition3,joint,ambiguous,3,48,0.37464499999999995,0.20833333333333334
fixed/transition3,joint,intact,3,48,0.37464499999999995,0.20833333333333334
fixed/transition3,joint,removal,3,48,0.37464499999999995,0.20833333333333334
fixed/transition3,joint,reset,3,48,0.37464499999999995,0.20833333333333334
fixed/transition3,joint,shuffle,3,48,0.37464499999999995,0.20833333333333334
fixed/transition3,joint,swap,3,48,0.37464499999999995,0.20833333333333334
fixed/transition3,legato,intact,3,48,0.37464499999999995,0.20833333333333334
map/absolute,detached,intact,3,2,0.37464499999999995,0.0
map/absolute,detached,intact,9,46,0.99902,1.0
map/absolute,duration,intact,3,5,0.37464499999999995,0.4
map/absolute,duration,intact,9,43,0.9990199999999999,1.0
map/absolute,joint,ambiguous,3,2,0.37464499999999995,0.5
map/absolute,joint,ambiguous,4,8,0.49960871346724445,0.5
map/absolute,joint,ambiguous,5,34,0.5307495260290099,0.5
map/absolute,joint,ambiguous,6,2,0.6447418166662209,0.5
map/absolute,joint,ambiguous,9,2,0.9990199999999998,0.5
map/absolute,joint,intact,3,3,0.37464499999999995,0.3333333333333333
map/absolute,joint,intact,9,45,0.99902,1.0
map/absolute,joint,removal,3,48,0.37464499999999995,0.20833333333333334
map/absolute,joint,reset,3,48,0.37464499999999995,0.20833333333333334
map/absolute,joint,shuffle,3,4,0.37464499999999995,0.5
map/absolute,joint,shuffle,9,44,0.9990199999999999,1.0
map/absolute,joint,swap,3,3,0.37464499999999995,0.3333333333333333
map/absolute,joint,swap,9,45,0.99902,1.0
map/absolute,legato,intact,3,6,0.37464499999999995,0.3333333333333333
map/absolute,legato,intact,9,42,0.9990199999999999,1.0
map/present,detached,intact,3,48,0.37464499999999995,0.20833333333333334
map/present,duration,intact,3,48,0.37464499999999995,0.20833333333333334
map/present,joint,ambiguous,3,48,0.37464499999999995,0.20833333333333334
map/present,joint,intact,3,48,0.37464499999999995,0.20833333333333334
map/present,joint,removal,3,48,0.37464499999999995,0.20833333333333334
map/present,joint,reset,3,48,0.37464499999999995,0.20833333333333334
map/present,joint,shuffle,3,48,0.37464499999999995,0.20833333333333334
map/present,joint,swap,3,48,0.37464499999999995,0.20833333333333334
map/present,legato,intact,3,48,0.37464499999999995,0.20833333333333334
map/recency,detached,intact,9,48,0.951,0.5
map/recency,duration,intact,3,4,0.35724999999999996,0.5
map/recency,duration,intact,9,44,0.9510000000000001,0.4772727272727273
map/recency,joint,ambiguous,9,48,0.951,0.5
map/recency,joint,intact,3,2,0.35724999999999996,0.0
map/recency,joint,intact,9,46,0.9510000000000001,0.5217391304347826
map/recency,joint,removal,3,48,0.35725,0.20833333333333334
map/recency,joint,reset,3,48,0.35725,0.20833333333333334
map/recency,joint,shuffle,3,2,0.35724999999999996,1.0
map/recency,joint,shuffle,9,46,0.9510000000000001,0.5652173913043478
map/recency,joint,swap,3,2,0.35724999999999996,0.0
map/recency,joint,swap,9,46,0.9510000000000001,0.5217391304347826
map/recency,legato,intact,3,4,0.35724999999999996,0.5
map/recency,legato,intact,9,44,0.9510000000000001,0.4772727272727273
map/reference,detached,intact,3,2,0.37464499999999995,0.0
map/reference,detached,intact,9,46,0.99902,1.0
map/reference,duration,intact,3,5,0.37464499999999995,0.4
map/reference,duration,intact,9,43,0.9990199999999999,1.0
map/reference,joint,ambiguous,3,2,0.37464499999999995,0.5
map/reference,joint,ambiguous,4,4,0.4996577909708748,0.5
map/reference,joint,ambiguous,5,38,0.5213273619623277,0.5
map/reference,joint,ambiguous,6,2,0.6302566388143807,0.5
map/reference,joint,ambiguous,9,2,0.9990199999999998,0.5
map/reference,joint,intact,3,3,0.37464499999999995,0.3333333333333333
map/reference,joint,intact,9,45,0.99902,1.0
map/reference,joint,removal,3,48,0.37464499999999995,0.20833333333333334
map/reference,joint,reset,3,48,0.37464499999999995,0.20833333333333334
map/reference,joint,shuffle,3,4,0.37464499999999995,0.5
map/reference,joint,shuffle,9,44,0.9990199999999999,1.0
map/reference,joint,swap,3,3,0.37464499999999995,0.3333333333333333
map/reference,joint,swap,9,45,0.99902,1.0
map/reference,legato,intact,3,6,0.37464499999999995,0.3333333333333333
map/reference,legato,intact,9,42,0.9990199999999999,1.0
map/transition1,detached,intact,4,5,0.4996855464201384,0.0
map/transition1,detached,intact,5,37,0.5169225450191602,0.6216216216216216
map/transition1,detached,intact,6,2,0.6562493429451473,1.0
map/transition1,detached,intact,9,4,0.9990199999999998,0.5
map/transition1,duration,intact,3,4,0.37464499999999995,0.5
map/transition1,duration,intact,4,4,0.49965888117336343,0.0
map/transition1,duration,intact,5,28,0.527069328632539,0.42857142857142855
map/transition1,duration,intact,6,5,0.6247718370301663,0.8
map/transition1,duration,intact,7,1,0.719242213655773,1.0
map/transition1,duration,intact,9,6,0.9990199999999998,0.8333333333333334
map/transition1,joint,ambiguous,4,4,0.4997772829592396,0.5
map/transition1,joint,ambiguous,5,36,0.5248064003330568,0.5
map/transition1,joint,ambiguous,6,4,0.6422823360080857,0.5
map/transition1,joint,ambiguous,9,4,0.9990199999999998,0.5
map/transition1,joint,intact,3,2,0.37464499999999995,0.0
map/transition1,joint,intact,4,5,0.49977805614105286,0.8
map/transition1,joint,intact,5,29,0.5211554346236866,0.4482758620689655
map/transition1,joint,intact,6,5,0.6231763976835122,0.8
map/transition1,joint,intact,7,1,0.7175909544534422,1.0
map/transition1,joint,intact,9,6,0.9990199999999998,1.0
map/transition1,joint,removal,3,48,0.37464499999999995,0.20833333333333334
map/transition1,joint,reset,3,48,0.37464499999999995,0.20833333333333334
map/transition1,joint,shuffle,3,2,0.37464499999999995,1.0
map/transition1,joint,shuffle,4,5,0.499810270377254,0.6
map/transition1,joint,shuffle,5,29,0.5295640403820515,0.6206896551724138
map/transition1,joint,shuffle,6,5,0.6310964731379002,0.8
map/transition1,joint,shuffle,7,1,0.7200474243574053,1.0
map/transition1,joint,shuffle,9,6,0.9990199999999998,0.6666666666666666
map/transition1,joint,swap,3,2,0.37464499999999995,0.0
map/transition1,joint,swap,4,5,0.49977805614105286,0.8
map/transition1,joint,swap,5,29,0.5211554346236866,0.4482758620689655
map/transition1,joint,swap,6,5,0.6231763976835122,0.8
map/transition1,joint,swap,7,1,0.7175909544534422,1.0
map/transition1,joint,swap,9,6,0.9990199999999998,1.0
map/transition1,legato,intact,3,4,0.37464499999999995,0.5
map/transition1,legato,intact,4,9,0.49977570118839476,0.3333333333333333
map/transition1,legato,intact,5,25,0.5327274832650217,0.76
map/transition1,legato,intact,6,4,0.6315468085977162,1.0
map/transition1,legato,intact,7,1,0.7044727507062873,0.0
map/transition1,legato,intact,9,5,0.9990199999999998,0.6
map/transition2,detached,intact,3,2,0.37464499999999995,0.0
map/transition2,detached,intact,9,46,0.99902,1.0
map/transition2,duration,intact,3,5,0.37464499999999995,0.4
map/transition2,duration,intact,9,43,0.9990199999999999,1.0
map/transition2,joint,ambiguous,3,2,0.37464499999999995,0.5
map/transition2,joint,ambiguous,4,10,0.4996626818961353,0.5
map/transition2,joint,ambiguous,5,30,0.527397540039335,0.5
map/transition2,joint,ambiguous,6,4,0.6240250397017766,0.5
map/transition2,joint,ambiguous,9,2,0.9990199999999998,0.5
map/transition2,joint,intact,3,3,0.37464499999999995,0.3333333333333333
map/transition2,joint,intact,9,45,0.99902,1.0
map/transition2,joint,removal,3,48,0.37464499999999995,0.20833333333333334
map/transition2,joint,reset,3,48,0.37464499999999995,0.20833333333333334
map/transition2,joint,shuffle,3,4,0.37464499999999995,0.5
map/transition2,joint,shuffle,9,44,0.9990199999999999,1.0
map/transition2,joint,swap,3,3,0.37464499999999995,0.3333333333333333
map/transition2,joint,swap,9,45,0.99902,1.0
map/transition2,legato,intact,3,6,0.37464499999999995,0.3333333333333333
map/transition2,legato,intact,9,42,0.9990199999999999,1.0
map/transition3,detached,intact,3,2,0.37464499999999995,0.0
map/transition3,detached,intact,9,46,0.99902,1.0
map/transition3,duration,intact,3,5,0.37464499999999995,0.4
map/transition3,duration,intact,9,43,0.9990199999999999,1.0
map/transition3,joint,ambiguous,3,2,0.37464499999999995,0.5
map/transition3,joint,ambiguous,4,8,0.49960871346724445,0.5
map/transition3,joint,ambiguous,5,34,0.5307495260290099,0.5
map/transition3,joint,ambiguous,6,2,0.6447418166662209,0.5
map/transition3,joint,ambiguous,9,2,0.9990199999999998,0.5
map/transition3,joint,intact,3,3,0.37464499999999995,0.3333333333333333
map/transition3,joint,intact,9,45,0.99902,1.0
map/transition3,joint,removal,3,48,0.37464499999999995,0.20833333333333334
map/transition3,joint,reset,3,48,0.37464499999999995,0.20833333333333334
map/transition3,joint,shuffle,3,4,0.37464499999999995,0.5
map/transition3,joint,shuffle,9,44,0.9990199999999999,1.0
map/transition3,joint,swap,3,3,0.37464499999999995,0.3333333333333333
map/transition3,joint,swap,9,45,0.99902,1.0
map/transition3,legato,intact,3,6,0.37464499999999995,0.3333333333333333
map/transition3,legato,intact,9,42,0.9990199999999999,1.0
mixture/absolute,detached,intact,8,3,0.844428351964503,1.0
mixture/absolute,detached,intact,9,45,0.9883639853035595,0.8666666666666667
mixture/absolute,duration,intact,4,1,0.47395592219506105,1.0
mixture/absolute,duration,intact,5,5,0.5547059006522467,1.0
mixture/absolute,duration,intact,6,4,0.6319823606755746,1.0
mixture/absolute,duration,intact,7,4,0.748102295420553,1.0
mixture/absolute,duration,intact,8,13,0.8573708181003645,1.0
mixture/absolute,duration,intact,9,21,0.9867107231944044,0.47619047619047616
mixture/absolute,joint,ambiguous,3,8,0.36867614926789083,0.5
mixture/absolute,joint,ambiguous,4,20,0.45012241404220976,0.45
mixture/absolute,joint,ambiguous,5,16,0.5211325358366544,0.4375
mixture/absolute,joint,ambiguous,9,4,1.0,0.0
mixture/absolute,joint,intact,5,6,0.5346718803396019,1.0
mixture/absolute,joint,intact,6,8,0.6576248866539866,1.0
mixture/absolute,joint,intact,7,8,0.7316471062400507,1.0
mixture/absolute,joint,intact,8,8,0.8454594483854825,1.0
mixture/absolute,joint,intact,9,18,0.9742940306735272,0.5555555555555556
mixture/absolute,joint,removal,2,10,0.2899886906081131,0.2
mixture/absolute,joint,removal,3,32,0.3394815303279819,0.1875
mixture/absolute,joint,removal,9,6,1.0,0.0
mixture/absolute,joint,reset,3,46,0.35774218943900055,0.1956521739130435
mixture/absolute,joint,reset,9,2,1.0,0.0
mixture/absolute,joint,shuffle,5,2,0.5137264638868269,1.0
mixture/absolute,joint,shuffle,6,10,0.6434524827088265,1.0
mixture/absolute,joint,shuffle,7,8,0.755577425319127,1.0
mixture/absolute,joint,shuffle,8,9,0.8519688638131867,1.0
mixture/absolute,joint,shuffle,9,19,0.9825248268202138,0.6842105263157895
mixture/absolute,joint,swap,5,6,0.5346718803396019,1.0
mixture/absolute,joint,swap,6,8,0.6576248866539866,1.0
mixture/absolute,joint,swap,7,8,0.7316471062400507,1.0
mixture/absolute,joint,swap,8,8,0.8454594483854825,1.0
mixture/absolute,joint,swap,9,18,0.9742940306735272,0.5555555555555556
mixture/absolute,legato,intact,2,1,0.29973584681079174,0.0
mixture/absolute,legato,intact,5,7,0.5779186607760873,1.0
mixture/absolute,legato,intact,6,8,0.6355183225090646,0.75
mixture/absolute,legato,intact,7,1,0.7776914829513835,1.0
mixture/absolute,legato,intact,8,10,0.8572896739061152,1.0
mixture/absolute,legato,intact,9,21,0.9781435879517515,0.6190476190476191
mixture/present,detached,intact,3,42,0.36616993503866074,0.19047619047619047
mixture/present,detached,intact,9,6,1.0,0.0
mixture/present,duration,intact,2,4,0.29345082598523387,0.0
mixture/present,duration,intact,3,31,0.34609334490077504,0.22580645161290322
mixture/present,duration,intact,4,2,0.4659331696120891,0.0
mixture/present,duration,intact,9,11,1.0,0.0
mixture/present,joint,ambiguous,2,8,0.2889291763343934,0.0
mixture/present,joint,ambiguous,3,32,0.34634019532573057,0.1875
mixture/present,joint,ambiguous,4,2,0.41391887987101916,0.0
mixture/present,joint,ambiguous,5,2,0.5087200163214627,0.0
mixture/present,joint,ambiguous,9,4,1.0,0.0
mixture/present,joint,intact,2,8,0.2827313044094428,0.0
mixture/present,joint,intact,3,27,0.3394547096937377,0.2222222222222222
mixture/present,joint,intact,4,5,0.4450309872509492,0.0
mixture/present,joint,intact,9,8,1.0,0.0
mixture/present,joint,removal,2,10,0.2899886906081131,0.2
mixture/present,joint,removal,3,32,0.3394815303279819,0.1875
mixture/present,joint,removal,9,6,1.0,0.0
mixture/present,joint,reset,3,46,0.35774218943900055,0.1956521739130435
mixture/present,joint,reset,9,2,1.0,0.0
mixture/present,joint,shuffle,2,9,0.2874283348226213,0.3333333333333333
mixture/present,joint,shuffle,3,31,0.3451100534750096,0.12903225806451613
mixture/present,joint,shuffle,4,2,0.4537744462617423,0.0
mixture/present,joint,shuffle,9,6,1.0,0.0
mixture/present,joint,swap,2,8,0.2827313044094428,0.0
mixture/present,joint,swap,3,27,0.3394547096937377,0.2222222222222222
mixture/present,joint,swap,4,5,0.4450309872509492,0.0
mixture/present,joint,swap,9,8,1.0,0.0
mixture/present,legato,intact,2,5,0.2863429441225203,0.2
mixture/present,legato,intact,3,31,0.35373430493104724,0.0967741935483871
mixture/present,legato,intact,4,2,0.4236308291337437,0.0
mixture/present,legato,intact,6,2,0.6287135294569681,0.0
mixture/present,legato,intact,9,8,1.0,0.0
mixture/recency,detached,intact,7,1,0.7967421487869435,1.0
mixture/recency,detached,intact,8,8,0.8573382962477507,0.625
mixture/recency,detached,intact,9,39,0.9585384615384616,0.41025641025641024
mixture/recency,duration,intact,5,5,0.5398197195401259,0.6
