group,cell,condition,variant,whole_duration_s,support_duration_s,available,cycles,extra_processing_seconds
cea-16,joint,intact,0,0.112,0.08,1,24.89047867011421,0.000703625
cea-16,joint,intact,0,0.112,0.08,1,20.93039624545723,0.000207958
cea-16,joint,intact,0,0.072,0.04,1,7.399855138454614,0.0005375
cea-16,joint,intact,1,0.096,0.064,1,19.91255494969883,0.000708834
cea-16,joint,intact,1,0.112,0.08,1,20.930615612184535,0.000208625
cea-16,joint,intact,1,0.088,0.056,1,10.360521242043397,0.0006215
cea-16,joint,intact,1,0.084,0.052,1,11.439847588751384,0.000158833
cea-16,joint,intact,1,0.108,0.076,1,23.645640190846837,0.000712083
cea-16,joint,intact,1,0.088,0.056,1,12.319690666580817,0.0004415
cea-16,joint,intact,1,0.1,0.068,1,12.579970347590221,0.000728709
cea-16,joint,intact,1,0.08,0.048,1,7.466955374046262,0.00036475
cea-16,joint,intact,1,0.112,0.08,1,24.89047867011421,0.0007355
cea-16,joint,intact,1,0.112,0.08,1,20.93039624545723,0.00021025
cea-16,joint,intact,1,0.072,0.04,1,7.399855138454614,0.000555
cea-16,joint,reset,0,0.112,0.08,1,24.89047867011421,0.000729625
cea-16,joint,reset,0,0.112,0.08,1,20.93039624545723,0.000209958
cea-16,joint,reset,0,0.072,0.04,1,7.399855138454614,0.000547292
cea-16,joint,reset,1,0.112,0.08,1,24.89047867011421,0.000725833
cea-16,joint,reset,1,0.112,0.08,1,20.93039624545723,0.000206708
cea-16,joint,reset,1,0.072,0.04,1,7.399855138454614,0.0005335
cea-16,joint,removal,0,0.096,0.064,1,19.91255494969883,0.000696042
cea-16,joint,removal,0,0.112,0.08,1,20.930615612184535,0.000208125
cea-16,joint,removal,0,0.072,0.04,1,7.400555383746461,0.00053075
cea-16,joint,removal,0,0.108,0.076,1,23.645640190846837,0.000696667
cea-16,joint,removal,0,0.088,0.056,1,12.319690666580817,0.000436125
cea-16,joint,removal,0,0.084,0.052,1,9.62017637224579,0.000659541
cea-16,joint,removal,0,0.112,0.08,1,24.89047867011421,0.000712708
cea-16,joint,removal,0,0.112,0.08,1,20.93039624545723,0.000210042
cea-16,joint,removal,0,0.072,0.04,1,7.399855138454614,0.000534042
cea-16,joint,removal,1,0.096,0.064,1,19.91255494969883,0.000693666
cea-16,joint,removal,1,0.112,0.08,1,20.930615612184535,0.00020625
cea-16,joint,removal,1,0.072,0.04,1,7.400555383746461,0.000528667
cea-16,joint,removal,1,0.108,0.076,1,23.645640190846837,0.000696833
cea-16,joint,removal,1,0.088,0.056,1,12.319690666580817,0.000433875
cea-16,joint,removal,1,0.084,0.052,1,9.62017637224579,0.000668917
cea-16,joint,removal,1,0.112,0.08,1,24.89047867011421,0.000709042
cea-16,joint,removal,1,0.112,0.08,1,20.93039624545723,0.000207583
cea-16,joint,removal,1,0.072,0.04,1,7.399855138454614,0.000560333
cea-16,joint,swap,0,0.096,0.064,1,19.91255494969883,0.000709875
cea-16,joint,swap,0,0.112,0.08,1,20.930615612184535,0.0002085
cea-16,joint,swap,0,0.088,0.056,1,10.360521242043397,0.000604334
cea-16,joint,swap,0,0.084,0.052,1,11.439847588751384,0.0001565
cea-16,joint,swap,0,0.108,0.076,1,23.645640190846837,0.000706125
cea-16,joint,swap,0,0.088,0.056,1,12.319690666580817,0.000443833
cea-16,joint,swap,0,0.1,0.068,1,12.579970347590221,0.000727
cea-16,joint,swap,0,0.08,0.048,1,7.466955374046262,0.000331167
cea-16,joint,swap,0,0.112,0.08,1,24.89047867011421,0.000723792
cea-16,joint,swap,0,0.112,0.08,1,20.93039624545723,0.000210542
cea-16,joint,swap,0,0.072,0.04,1,7.399855138454614,0.000548667
cea-16,joint,swap,1,0.096,0.064,1,19.91255494969883,0.00069825
cea-16,joint,swap,1,0.112,0.08,1,20.930615612184535,0.00020675
cea-16,joint,swap,1,0.088,0.056,1,10.360521242043397,0.0005835
cea-16,joint,swap,1,0.08,0.048,1,7.467014871356489,0.000192833
cea-16,joint,swap,1,0.108,0.076,1,23.645640190846837,0.000693917
cea-16,joint,swap,1,0.088,0.056,1,12.319690666580817,0.000434666
cea-16,joint,swap,1,0.1,0.068,1,12.579970347590221,0.000729791
cea-16,joint,swap,1,0.084,0.052,1,11.439865389675234,0.000281458
cea-16,joint,swap,1,0.112,0.08,1,24.89047867011421,0.000726416
cea-16,joint,swap,1,0.112,0.08,1,20.93039624545723,0.000208125
cea-16,joint,swap,1,0.072,0.04,1,7.399855138454614,0.000540375
cea-16,joint,shuffle,0,0.108,0.076,1,23.64611973519564,0.000576708
cea-16,joint,shuffle,0,0.088,0.056,1,12.31998977245926,0.000316167
cea-16,joint,shuffle,0,0.1,0.068,1,12.57971956575517,0.000616625
cea-16,joint,shuffle,0,0.084,0.052,1,11.439847588751384,0.000155833
cea-16,joint,shuffle,0,0.1,0.068,1,21.156570393546875,0.000811
cea-16,joint,shuffle,0,0.108,0.076,1,19.88367624927593,0.000329791
cea-16,joint,shuffle,0,0.088,0.056,1,10.359828673052135,0.00071725
cea-16,joint,shuffle,0,0.08,0.048,1,7.466955374046262,0.000325458
cea-16,joint,shuffle,0,0.112,0.08,1,24.89047867011421,0.000695834
cea-16,joint,shuffle,0,0.112,0.08,1,20.93039624545723,0.000207291
cea-16,joint,shuffle,0,0.072,0.04,1,7.399855138454614,0.000538542
cea-16,joint,shuffle,1,0.108,0.076,1,23.64611973519564,0.000572791
cea-16,joint,shuffle,1,0.088,0.056,1,12.31998977245926,0.000317833
cea-16,joint,shuffle,1,0.1,0.068,1,12.57971956575517,0.000597083
cea-16,joint,shuffle,1,0.08,0.048,1,7.467014871356489,0.000197584
cea-16,joint,shuffle,1,0.1,0.068,1,21.156570393546875,0.000806
cea-16,joint,shuffle,1,0.108,0.076,1,19.88367624927593,0.00032975
cea-16,joint,shuffle,1,0.088,0.056,1,10.359828673052135,0.0007235
cea-16,joint,shuffle,1,0.084,0.052,1,11.439865389675234,0.000285708
cea-16,joint,shuffle,1,0.112,0.08,1,24.89047867011421,0.000730667
cea-16,joint,shuffle,1,0.112,0.08,1,20.93039624545723,0.000211333
cea-16,joint,shuffle,1,0.072,0.04,1,7.399855138454614,0.00054375
cea-16,joint,ambiguous,0,0.096,0.064,1,19.91255494969883,0.000699125
cea-16,joint,ambiguous,0,0.112,0.08,1,20.930615612184535,0.000209375
cea-16,joint,ambiguous,0,0.088,0.056,1,10.360521242043397,0.0005985
cea-16,joint,ambiguous,0,0.08,0.048,1,7.467014871356489,0.000193166
cea-16,joint,ambiguous,0,0.1,0.068,1,21.156570393546875,0.000797625
cea-16,joint,ambiguous,0,0.108,0.076,1,19.88367624927593,0.000332292
cea-16,joint,ambiguous,0,0.088,0.056,1,10.359828673052135,0.000717416
cea-16,joint,ambiguous,0,0.084,0.052,1,11.439865389675234,0.000282291
cea-16,joint,ambiguous,0,0.112,0.08,1,24.89047867011421,0.000715208
