kind,model,cell,condition,accuracy,accuracy_lower95,accuracy_upper95,paired_success,paired_success_lower95,paired_success_upper95,log_loss,log_loss_lower95,log_loss_upper95,brier,brier_lower95,brier_upper95
acoustic,candidate,duration,intact,1.0,1.0,1.0,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07
acoustic,candidate,joint,ambiguous,0.25,0.0625,0.4375,0.0,0.0,0.0,5.756942963032676,1.9598164719994715,9.554069454065882,0.9995004800000004,0.62487548,1.3741254800000007
acoustic,candidate,joint,intact,0.5,0.125,0.875,0.5,0.125,0.875,5.410379382462122,1.3533302060010017,9.467428558923242,0.9990009800000005,0.24975098000000018,1.7482509800000008
acoustic,candidate,joint,removal,0.0625,0.0,0.1875,0.0,0.0,0.0,6.34867715741578,3.0206895452019347,9.676664769629626,1.015437651875001,0.8905626518750009,1.124703276875001
acoustic,candidate,joint,reset,0.0625,0.0,0.1875,0.0,0.0,0.0,6.34867715741578,3.0206895452019347,9.676664769629626,1.015437651875001,0.8905626518750009,1.124703276875001
acoustic,candidate,joint,shuffle,0.5,0.125,0.875,0.5,0.125,0.875,5.410379382462122,1.3533302060010017,9.467428558923242,0.9990009800000005,0.24975098000000018,1.7482509800000008
acoustic,candidate,joint,swap,0.5,0.125,0.875,0.5,0.125,0.875,5.410379382462122,1.3533302060010017,9.467428558923242,0.9990009800000005,0.24975098000000018,1.7482509800000008
acoustic,candidate,matched,intact,1.0,1.0,1.0,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07
acoustic,candidate,timbre,intact,0.5,0.125,0.875,0.5,0.125,0.875,5.410379382462122,1.3533302060010017,9.467428558923242,0.9990009800000005,0.24975098000000018,1.7482509800000008
acoustic,present,duration,intact,0.125,0.0,0.3125,0.0,0.0,0.0,1.8268995643572148,1.7255466322290893,1.978928962549403,0.843734526875001,0.8125157768750009,0.8905626518750008
