kind,model,group,cell,condition,accuracy,paired_success,log_loss,brier,target_quantization_error
oracle,retrieval_absolute,cmr-08,joint,reset,0.0,0.0,2.0802818946775288,0.9217814018750008,0.0
oracle,reference,cmr-08,joint,reset,0.5,0.0,0.9817763680502767,0.5626252925000007,0.0
oracle,candidate,cmr-08,joint,reset,0.0,0.0,2.0802818946775288,0.9217814018750008,0.0
acoustic,candidate,cmr-08,joint,removal,0.0,0.0,10.819778284410283,1.171531401875001,8.212439361443558e-06
acoustic,present,cmr-08,joint,removal,0.0,0.0,10.819778284410283,1.171531401875001,8.212439361443558e-06
acoustic,recency,cmr-08,joint,removal,0.0,0.0,6.907755278982137,1.1550671874999983,8.212439361443558e-06
acoustic,reference,cmr-08,joint,removal,0.0,0.0,10.819778284410283,1.311875292500001,8.212439361443558e-06
acoustic,retrieval_absolute,cmr-08,joint,removal,0.0,0.0,10.819778284410283,1.171531401875001,8.212439361443558e-06
acoustic,transition,cmr-08,joint,removal,0.0,0.0,10.819778284410283,1.171531401875001,8.212439361443558e-06
oracle,present,cmr-08,joint,removal,0.0,0.0,2.0802818946775288,0.9217814018750008,0.0
oracle,recency,cmr-08,joint,removal,0.0,0.0,2.1223490426911127,0.9175671875000004,0.0
oracle,transition,cmr-08,joint,removal,0.0,0.0,2.0802818946775288,0.9217814018750008,0.0
oracle,retrieval_absolute,cmr-08,joint,removal,0.0,0.0,2.0802818946775288,0.9217814018750008,0.0
oracle,reference,cmr-08,joint,removal,0.5,0.0,0.9817763680502767,0.5626252925000007,0.0
oracle,candidate,cmr-08,joint,removal,0.0,0.0,2.0802818946775288,0.9217814018750008,0.0
acoustic,candidate,cmr-08,joint,swap,0.0,0.0,10.819778284410283,1.998000980000001,8.212439361443558e-06
acoustic,present,cmr-08,joint,swap,0.0,0.0,10.819778284410283,1.171531401875001,8.212439361443558e-06
acoustic,recency,cmr-08,joint,swap,0.0,0.0,6.907755278982137,1.1550671874999983,8.212439361443558e-06
acoustic,reference,cmr-08,joint,swap,0.0,0.0,10.819778284410283,1.998000980000001,8.212439361443558e-06
acoustic,retrieval_absolute,cmr-08,joint,swap,0.0,0.0,10.819778284410283,1.171531401875001,8.212439361443558e-06
acoustic,transition,cmr-08,joint,swap,0.0,0.0,10.819778284410283,1.171531401875001,8.212439361443558e-06
oracle,present,cmr-08,joint,swap,0.0,0.0,2.0802818946775288,0.9217814018750008,0.0
oracle,recency,cmr-08,joint,swap,0.0,0.0,6.907755278982137,1.9024499999999986,0.0
oracle,transition,cmr-08,joint,swap,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,retrieval_absolute,cmr-08,joint,swap,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,reference,cmr-08,joint,swap,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,candidate,cmr-08,joint,swap,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
acoustic,candidate,cmr-08,joint,shuffle,0.0,0.0,10.819778284410283,1.998000980000001,8.212439361443558e-06
acoustic,present,cmr-08,joint,shuffle,0.0,0.0,10.819778284410283,1.171531401875001,8.212439361443558e-06
acoustic,recency,cmr-08,joint,shuffle,0.0,0.0,6.907755278982137,1.1550671874999983,8.212439361443558e-06
acoustic,reference,cmr-08,joint,shuffle,0.0,0.0,10.819778284410283,1.998000980000001,8.212439361443558e-06
acoustic,retrieval_absolute,cmr-08,joint,shuffle,0.0,0.0,10.819778284410283,1.171531401875001,8.212439361443558e-06
acoustic,transition,cmr-08,joint,shuffle,0.0,0.0,10.819778284410283,1.171531401875001,8.212439361443558e-06
oracle,present,cmr-08,joint,shuffle,0.0,0.0,2.0802818946775288,0.9217814018750008,0.0
oracle,recency,cmr-08,joint,shuffle,1.0,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,transition,cmr-08,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,retrieval_absolute,cmr-08,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,reference,cmr-08,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,candidate,cmr-08,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
acoustic,candidate,cmr-08,joint,ambiguous,0.0,0.0,10.819778284410283,1.4990004800000007,8.212439361443558e-06
acoustic,present,cmr-08,joint,ambiguous,0.0,0.0,10.819778284410283,1.1715314018750007,8.212439361443558e-06
acoustic,recency,cmr-08,joint,ambiguous,0.0,0.0,6.907755278982137,1.1550671875000007,8.212439361443558e-06
acoustic,reference,cmr-08,joint,ambiguous,0.0,0.0,10.819778284410283,1.4990004800000007,8.212439361443558e-06
acoustic,retrieval_absolute,cmr-08,joint,ambiguous,0.0,0.0,10.819778284410283,1.1715314018750007,8.212439361443558e-06
acoustic,transition,cmr-08,joint,ambiguous,0.0,0.0,10.819778284410283,1.1715314018750007,8.212439361443558e-06
oracle,present,cmr-08,joint,ambiguous,0.0,0.0,2.0802818946775288,0.9217814018749997,0.0
oracle,recency,cmr-08,joint,ambiguous,0.5,0.0,3.4789982477094417,0.9524499999999994,0.0
oracle,transition,cmr-08,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048,0.0
oracle,retrieval_absolute,cmr-08,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048,0.0
oracle,reference,cmr-08,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048,0.0
oracle,candidate,cmr-08,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048,0.0
acoustic,candidate,cmr-09,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,1.699739576466186e-05
acoustic,present,cmr-09,matched,intact,0.0,0.0,1.6748701661650265,0.796906401875001,1.699739576466186e-05
acoustic,recency,cmr-09,matched,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632,1.699739576466186e-05
acoustic,reference,cmr-09,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,1.699739576466186e-05
acoustic,retrieval_absolute,cmr-09,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,1.699739576466186e-05
acoustic,transition,cmr-09,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,1.699739576466186e-05
oracle,present,cmr-09,matched,intact,0.0,0.0,1.6748701661650265,0.796906401875001,0.0
oracle,recency,cmr-09,matched,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,transition,cmr-09,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,retrieval_absolute,cmr-09,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,reference,cmr-09,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,candidate,cmr-09,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
acoustic,candidate,cmr-09,timbre,intact,0.0,0.0,10.819778284410283,1.9980009800000011,1.2163913254426006e-07
acoustic,present,cmr-09,timbre,intact,0.0,0.0,10.819778284410283,1.171531401875001,1.2163913254426006e-07
acoustic,recency,cmr-09,timbre,intact,0.0,0.0,6.907755278982137,1.1550671874999983,1.2163913254426006e-07
acoustic,reference,cmr-09,timbre,intact,0.0,0.0,10.819778284410283,1.9980009800000011,1.2163913254426006e-07
acoustic,retrieval_absolute,cmr-09,timbre,intact,0.0,0.0,10.819778284410283,1.171531401875001,1.2163913254426006e-07
acoustic,transition,cmr-09,timbre,intact,0.0,0.0,10.819778284410283,1.171531401875001,1.2163913254426006e-07
oracle,present,cmr-09,timbre,intact,0.0,0.0,1.6748701661650265,0.796906401875001,0.0
oracle,recency,cmr-09,timbre,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,transition,cmr-09,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,retrieval_absolute,cmr-09,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,reference,cmr-09,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,candidate,cmr-09,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
acoustic,candidate,cmr-09,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,1.1278838776718203e-05
acoustic,present,cmr-09,duration,intact,0.0,0.0,1.6748701661650265,0.796906401875001,1.1278838776718203e-05
acoustic,recency,cmr-09,duration,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632,1.1278838776718203e-05
acoustic,reference,cmr-09,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,1.1278838776718203e-05
acoustic,retrieval_absolute,cmr-09,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,1.1278838776718203e-05
acoustic,transition,cmr-09,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,1.1278838776718203e-05
oracle,present,cmr-09,duration,intact,0.0,0.0,1.6748701661650265,0.796906401875001,0.0
oracle,recency,cmr-09,duration,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,transition,cmr-09,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,retrieval_absolute,cmr-09,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,reference,cmr-09,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,candidate,cmr-09,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
acoustic,candidate,cmr-09,joint,intact,0.0,0.0,10.819778284410283,1.9980009800000011,3.715719646635307e-06
