split,length,family,n_available,feature,mean_raw_feature,mean_logit_contribution,frozen_intercept,mean_reconstructed_logit
calibration,4,delete_closed,2,cost,0.20002766770999406,0.004272828971997817,-7.356364000313694,3.5002697791780966
calibration,4,delete_closed,2,matched_log,1.3862943611198906,-0.20693137815060034,-7.356364000313694,3.5002697791780966
calibration,4,delete_closed,2,reference_coverage,0.75,0.7489865193397781,-7.356364000313694,3.5002697791780966
calibration,4,delete_closed,2,query_coverage,1.0,2.2784448194846703,-7.356364000313694,3.5002697791780966
calibration,4,delete_closed,2,mean_pitch_loss,0.0,0.001650201694551244,-7.356364000313694,3.5002697791780966
calibration,4,delete_closed,2,exact_pitch_fraction,1.0,3.369081528900875,-7.356364000313694,3.5002697791780966
calibration,4,delete_closed,2,mean_timing_loss,0.03337022361332542,0.0017566275423979406,-7.356364000313694,3.5002697791780966
calibration,4,delete_closed,2,missing_fraction,0.25,0.7489865193397824,-7.356364000313694,3.5002697791780966
calibration,4,delete_closed,2,inserted_fraction,0.0,2.27844481948467,-7.356364000313694,3.5002697791780966
calibration,4,delete_closed,2,unreliable_query_fraction,0.0,0.0814702909182707,-7.356364000313694,3.5002697791780966
calibration,4,delete_closed,2,reference_log,1.6094379124341003,0.6509790106976309,-7.356364000313694,3.5002697791780966
calibration,4,delete_closed,2,query_log,1.3862943611198906,0.8994919912677667,-7.356364000313694,3.5002697791780966
calibration,4,delete_insert,2,cost,0.35,0.0037492927973327137,-7.356364000313694,-0.2654208755846872
calibration,4,delete_insert,2,matched_log,1.3862943611198906,-0.20693137815060034,-7.356364000313694,-0.2654208755846872
calibration,4,delete_insert,2,reference_coverage,0.75,0.7489865193397781,-7.356364000313694,-0.2654208755846872
calibration,4,delete_insert,2,query_coverage,0.75,0.5719918975343788,-7.356364000313694,-0.2654208755846872
calibration,4,delete_insert,2,mean_pitch_loss,0.0,0.001650201694551244,-7.356364000313694,-0.2654208755846872
calibration,4,delete_insert,2,exact_pitch_fraction,1.0,3.369081528900875,-7.356364000313694,-0.2654208755846872
calibration,4,delete_insert,2,mean_timing_loss,0.0,0.0018249668582446337,-7.356364000313694,-0.2654208755846872
calibration,4,delete_insert,2,missing_fraction,0.25,0.7489865193397824,-7.356364000313694,-0.2654208755846872
calibration,4,delete_insert,2,inserted_fraction,0.25,0.5719918975343743,-7.356364000313694,-0.2654208755846872
calibration,4,delete_insert,2,unreliable_query_fraction,0.0,0.0814702909182707,-7.356364000313694,-0.2654208755846872
calibration,4,delete_insert,2,reference_log,1.6094379124341003,0.6509790106976309,-7.356364000313694,-0.2654208755846872
calibration,4,delete_insert,2,query_log,1.6094379124341003,0.5471623772643888,-7.356364000313694,-0.2654208755846872
calibration,4,delete_rest,2,cost,0.175,0.004360197683370138,-7.356364000313694,3.500425487205315
calibration,4,delete_rest,2,matched_log,1.3862943611198906,-0.20693137815060034,-7.356364000313694,3.500425487205315
calibration,4,delete_rest,2,reference_coverage,0.75,0.7489865193397781,-7.356364000313694,3.500425487205315
calibration,4,delete_rest,2,query_coverage,1.0,2.2784448194846703,-7.356364000313694,3.500425487205315
calibration,4,delete_rest,2,mean_pitch_loss,0.0,0.001650201694551244,-7.356364000313694,3.500425487205315
calibration,4,delete_rest,2,exact_pitch_fraction,1.0,3.369081528900875,-7.356364000313694,3.500425487205315
calibration,4,delete_rest,2,mean_timing_loss,0.0,0.0018249668582446337,-7.356364000313694,3.500425487205315
calibration,4,delete_rest,2,missing_fraction,0.25,0.7489865193397824,-7.356364000313694,3.500425487205315
calibration,4,delete_rest,2,inserted_fraction,0.0,2.27844481948467,-7.356364000313694,3.500425487205315
calibration,4,delete_rest,2,unreliable_query_fraction,0.0,0.0814702909182707,-7.356364000313694,3.500425487205315
calibration,4,delete_rest,2,reference_log,1.6094379124341003,0.6509790106976309,-7.356364000313694,3.500425487205315
